stimulus,channel,subject,round,value,poolable
CLC,eye closure,S01,1,0.0431390546122,True
CLC,eye closure,S02,1,0.189617083947,True
CLC,eye closure,S03,1,0.0536828963795,True
CLC,eye closure,S04,1,0.0484442693974,True
CLC,eye closure,S05,1,0.115803814714,True
CLC,eye closure,S06,1,0.0697368421053,True
CLC,eye closure,S07,1,0.105805958747,True
CLC,eye closure,S08,1,0.113405933158,True
CLC,eye closure,R2-01,2,0.030758491571,True
CLC,eye closure,R2-02,2,0.0363899833925,True
CLC,eye closure,R2-03,2,0.0639942637396,True
CLC,eye closure,R2-04,2,0.0546664789437,True
CLC,pupil dilation,S01,1,3.21186217079,True
CLC,pupil dilation,S02,1,3.62450116223,True
CLC,pupil dilation,S03,1,3.0981248372,True
CLC,pupil dilation,S04,1,3.34825748441,True
CLC,pupil dilation,S05,1,3.22895257973,True
CLC,pupil dilation,S06,1,3.42582329341,True
CLC,pupil dilation,S07,1,3.76035407177,True
CLC,pupil dilation,S08,1,3.96997314774,True
CLC,pupil dilation,R2-01,2,2.77079157441,True
CLC,pupil dilation,R2-02,2,3.99520543423,True
CLC,pupil dilation,R2-03,2,3.83660966004,True
CLC,pupil dilation,R2-04,2,3.8464644152,True
CLC,cognitive load,S01,1,0.599619768242,True
CLC,cognitive load,S02,1,0.499066908689,True
CLC,cognitive load,S03,1,0.565019569288,True
CLC,cognitive load,S04,1,0.637413720756,True
CLC,cognitive load,S05,1,0.54134924614,True
CLC,cognitive load,S06,1,0.541018064035,True
CLC,cognitive load,S07,1,0.520281032086,True
CLC,cognitive load,S08,1,0.529423076605,True
CLC,cognitive load,R2-01,2,0.520130985556,True
CLC,cognitive load,R2-02,2,0.464723247439,True
CLC,cognitive load,R2-03,2,0.53737282493,True
CLC,cognitive load,R2-04,2,0.475527961596,True
CLC,HR,S01,1,77.1009637448,True
CLC,HR,S02,1,70.0651693667,True
CLC,HR,S03,1,87.9583853516,True
CLC,HR,S04,1,95.9960614415,True
CLC,HR,S05,1,63.324828263,True
CLC,HR,S06,1,89.5385964912,True
CLC,HR,S07,1,92.0985485103,True
CLC,HR,S08,1,84.9964157706,True
CLC,HR,R2-01,2,58.7171717172,True
CLC,HR,R2-02,2,69.427184466,True
CLC,HR,R2-03,2,76.8638297872,True
CLC,HR,R2-04,2,72.980952381,True
CLC,gaze deviation variance,S01,1,0.00739283780075,False
CLC,gaze deviation variance,S02,1,0.0103347069616,False
CLC,gaze deviation variance,S03,1,0.00855660471424,False
CLC,gaze deviation variance,S04,1,0.0101382823608,False
CLC,gaze deviation variance,S05,1,0.0109696424805,False
CLC,gaze deviation variance,S06,1,0.0117929731567,False
CLC,gaze deviation variance,S07,1,0.00660259662524,False
CLC,gaze deviation variance,S08,1,0.00882457296854,False
CLC,gaze deviation variance,R2-01,2,0.0111627791078,False
CLC,gaze deviation variance,R2-02,2,0.00982845547486,False
CLC,gaze deviation variance,R2-03,2,0.00641415893199,False
CLC,gaze deviation variance,R2-04,2,0.01119717632,False
CLC,gaze deviation (per-file baseline),S01,1,0.11903780912,False
CLC,gaze deviation (per-file baseline),S02,1,0.167077826177,False
CLC,gaze deviation (per-file baseline),S03,1,0.188436226795,False
CLC,gaze deviation (per-file baseline),S04,1,0.280688439377,False
CLC,gaze deviation (per-file baseline),S05,1,0.135235900815,False
CLC,gaze deviation (per-file baseline),S06,1,0.307845740591,False
CLC,gaze deviation (per-file baseline),S07,1,0.114521457908,False
CLC,gaze deviation (per-file baseline),S08,1,0.120049873841,False
CLC,gaze deviation (per-file baseline),R2-01,2,0.168247341944,False
CLC,gaze deviation (per-file baseline),R2-02,2,0.140243718165,False
CLC,gaze deviation (per-file baseline),R2-03,2,0.121095087891,False
CLC,gaze deviation (per-file baseline),R2-04,2,0.109740020412,False
