source,relation,target,locus,note
ped-sec-25,treats-construct,social presence / co-presence,"pp.8-9, 13-15 (Table 2), 16-17 (Figure 1)","Central namesake construct; origin of the 14-item Gunawardena Social Presence Scale (SPRES), convergent-validity-confirmed against Short/Williams/Christie's bi-polar approach (r=.52-.87, p<.001) (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,treats-construct,affect: enjoyment & intrinsic motivation,"pp.12-14 (Table 3), 17-20","Adjacent-match only: the paper's actual criterion variable is 'satisfaction' (10-item Sat scale), bundling perceived learning, continuation-motivation, and overall valuation, not enjoyment specifically (P/anticipatory-application, flagged not resolved)."
ped-sec-25,treats-construct,self-efficacy,p.13,"Single-item 'Capable' subscale (confidence mastering CMC); measured but does not survive into the final three-predictor model (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,treats-construct,agency / interactivity,"pp.10, 13, 18-20","'Equal' subscale (perceived equal-participation opportunity) enters the final model (~7% variance); Rafaeli's (1988,1990) theoretical presence/interactivity distinction also treated (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,defines,Gunawardena Social Presence Scale (SPRES) (TERM/INSTRUMENT),"pp.13-15, Table 2","14-item Likert instrument operationalizing social presence for group-based CMC, this paper's central named contribution (FE)."
ped-sec-25,defines,GlobalEd Questionnaire (TERM/INSTRUMENT),pp.12-13,"61-item post-conference instrument developed by Gunawardena; 52 Likert items used across nine subscales for this analysis (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,defines,Satisfaction scale / Sat (TERM/INSTRUMENT),"p.14, Table 3","10-item scale measuring perceived learning, valuation, and continuation-motivation; the study's criterion variable (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,"Short, Williams & Christie (1976) (INTERLOCUTOR)","pp.8-10, 16-17","Origin theory of social presence; definition retained as theoretical anchor while operationalization is relocated to group self-report (FAITHFUL-Gunawardena-Zittle, p.9)."
ped-sec-25,extends-reading-of,"Short, Williams & Christie's (1976) social presence model (READING/CLAIM)","pp.8-9, 13-15","Operationalized with a new CMC-context Likert scale (SPRES) as an alternative to the original semantic-differential/bi-polar-item approach, which is retained only as a convergent-validity check (P/anticipatory-application, this cluster's characterization of the move)."
ped-sec-25,cites,Rutter (1987) cuelessness model (INTERLOCUTOR),p.8,"Named as a competing 'social cues perspective' framework, not adopted here (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,"Kiesler, Siegel & McGuire (1984) reduced social cues approach (INTERLOCUTOR)",p.8,"Named as a competing framework, not adopted here (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,"Walther, Joseph B. (1992) (INTERLOCUTOR)","pp.9-10, 22-23","Social information-processing perspective; cited on CMC relational development over time and on incomplete-measurement critiques of 'CMC as impersonal' claims (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,Rafaeli (1988; 1990) (INTERLOCUTOR),p.10,"Distinguishes social presence (subjective) from interactivity (actualized quality of a communication sequence) (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,"Hackman & Walker (1990) (INTERLOCUTOR)","pp.9, 11, 18","Prior finding that teacher immediacy predicts satisfaction/learning in interactive television; the closest existing precedent this study extends into CMC (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,extends-reading-of,Hackman & Walker's (1990) ITV-immediacy finding (READING/CLAIM),p.18,"Extends teacher-immediacy-predicts-satisfaction finding from interactive television into the text-based CMC context (FE, p.18)."
ped-sec-25,cites,"Gunawardena, Charlotte N. (1995) (AUTHOR, self-citation)",p.9,"Lead author's own earlier social-presence-theory literature review, cited as background (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,Argyle & Dean (1965) intimacy concept (INTERLOCUTOR),p.9,"'Intimacy' concept incorporated into the social presence construct (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,Wiener & Mehrabian (1968) immediacy concept (INTERLOCUTOR),p.9,"'Immediacy' concept incorporated into the social presence construct (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,Spears & Lea (1992) (INTERLOCUTOR),p.8,"Taxonomy of three social-psychological 'social cues perspective' CMC approaches this paper adopts (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,Baym (1995) (INTERLOCUTOR),"pp.9-10, 18","Reports positive relational behavior and 'online community' formation in CMC despite reduced nonverbal cues (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,Steinfield (1986) (INTERLOCUTOR),"pp.21-22","Supports the 'rich-get-richer' emoticon-use finding via a study of social vs. task-oriented e-mail use (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,Eastmond (1993) (INTERLOCUTOR),p.23,"Argues interactivity/collaboration/reflectivity are not inherent to the medium but result from design, moderator role, and participation patterns (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,cites,"Johansen, Vallee & Spangler (1988) (INTERLOCUTOR)",p.23,"Claim that social presence 'can be cultured' among teleconferencing participants, supporting the paper's closing design recommendation (FAITHFUL-Gunawardena-Zittle)."
ped-sec-25,instances-in-text,emoticon use (THEME),"pp.10, 21-22","Compensatory socio-emotional expression for missing nonverbal cues; shows a 'rich-get-richer' interaction with social presence on satisfaction (FAITHFUL-Gunawardena-Zittle)."
