source,relation,target,locus,note
bor-sec-36,treats-construct,attentional disengagement / meta-awareness,~p.383,"P/anticipatory-application -- not named as such by the source; the Arousal, mental fatigue and cognitive workload subsection reviews pupil dilation, blink rate, and microsaccade dynamics as indices of reduced task engagement under fatigue/low arousal, and 'attentional disengagement' appears once verbatim in an unrelated ASD gaze-behaviour context (Keehn et al., 2013) (FE, ~p.383)."
bor-sec-36,treats-construct,mind-wandering / task-unrelated thought,~p.383,"P/anticipatory-application -- not named by the source; the same arousal/fatigue subsection's account of degraded oculomotor engagement under low arousal is the nearest functional analogue to task-unrelated-thought accounts of boredom used elsewhere in this cluster (e.g. bor-sec-33 Yuvaraj et al.), a bridge we construct, not a claim the source makes."
bor-sec-36,treats-construct,monotony / meaninglessness,~p.384,"P/anticipatory-application -- not treated as boredom; analogically present via the cited Van Orden et al. (2000) surveillance-tracking (vigilance) task, which combines fixation duration, blink duration, and pupil dilation as a repetitive-task performance predictor, structurally similar to boredom-induction paradigms used elsewhere in the cluster."
bor-sec-36,treats-construct,flow / engagement (contrast pole),~p.391,"One incidental mention ('it allows for better general monitoring of data quality as well as participant performance and engagement') as a rationale for retaining manual eye-tracking data coding; not developed as a construct (FE, ~p.391)."
bor-sec-36,operationalizes-measure,pupil dilation / pupillometry,"p.379, 383-385","Core apparatus/artefact treatment: pupil-size artefact and pupil-foreshortening artefact fully characterized; mental-workload/arousal-pupil-dilation literature reviewed (Kahneman & Beatty 1966 and others); calibration-across-pupil-range guidance given (FAITHFUL-Holmqvist et al., p.379, 383-385)."
bor-sec-36,operationalizes-measure,gaze variance / fixation dispersion,"p.369-370, 389, 393-395","I-DT dispersion threshold (0.75-1.5 deg); RMS-S2S / STD / BCEA precision-dispersion formulas (Eq. 1-2); AOI dwell-time and gaze-transition-entropy higher-order measures built atop dispersion data (FAITHFUL-Holmqvist et al., p.369-370, 389, 393-395)."
bor-sec-36,operationalizes-measure,blink / eye-closure,"p.369, 383","Blink rate and duration reviewed as workload- and expertise-sensitive (mixed direction across cited studies); blinks estimated at ~2% of total eye-tracking data loss (FAITHFUL-Holmqvist et al., p.369, 383)."
bor-sec-36,operationalizes-measure,behavioral (RT / errors / performance-monitoring),"p.383, 402","Saccadic latency and antisaccade error/direction-error rate reviewed as workload-, medication-, and pathology-sensitive measures; a dedicated context-specific checklist (Table 18) covers stimulus-display-latency quantification for saccade reaction-time studies (FAITHFUL-Holmqvist et al., p.383, 402)."
bor-sec-36,operationalizes-measure,ML classification,p.391-392,"GazeNet (Zemblys et al. 2019) and the Deep eye movement classifier (Startsev et al. 2019), end-to-end learned event detectors benchmarked against human expert coders rather than rule-based ground truth (FAITHFUL-Holmqvist et al., p.391-392)."
bor-sec-36,construct-measured-by,attentional disengagement / meta-awareness <- pupil dilation + blink duration + fixation duration (combined vigilance/workload predictor),~p.384,"P/anticipatory-application -- Van Orden et al.'s (2000) regression model combines fixation duration, blink duration, and mean pupil dilation into a single robust predictor of surveillance-tracking (vigilance) performance, the closest analogue in this source to a boredom-adjacent construct-measure pairing (FAITHFUL-Holmqvist et al., ~p.384)."
bor-sec-36,qualifies,EEG alpha/theta power (cross-modal sensitivity comparison),~p.383,"P/anticipatory-application -- Ayres et al.'s (2021) 33-experiment meta-study, cited here, found eye-movement measures of cognitive load more sensitive than heart-rate, skin, and brain (EEG) measures, a direct methodological caution for this cluster's Strand D EEG-centric framing of boredom's physiological signature (FAITHFUL-Holmqvist et al., ~p.383)."
bor-sec-36,defines,accuracy (data quality term),p.367,"The difference between true and reported gaze position, typically reported as error in degrees of visual angle; larger error indicates poorer accuracy (FAITHFUL-Holmqvist et al., p.367)."
bor-sec-36,defines,precision (data quality term),p.367,"The reproducibility of a gaze position from sample to sample under a stable true gaze, typically reported as RMS-S2S or STD (FAITHFUL-Holmqvist et al., p.367)."
bor-sec-36,defines,data loss (data quality term),p.368,"The amount/proportion of eye-tracking data lost, counterpart to tracking ratio or availability (FAITHFUL-Holmqvist et al., p.368)."
bor-sec-36,defines,system latency (data quality term),p.368,"Duration from an actual eye movement to the corresponding gaze sample being output by the eye tracker; also known as end-to-end delay or temporal accuracy (FAITHFUL-Holmqvist et al., p.368, citing Reingold 2014, p.641)."
bor-sec-36,defines,calibration (data quality term),p.367,"The process of mapping eye-tracker measurements to physical gaze direction or position, via fitting procedures, biologically plausible models, or a combination (FAITHFUL-Holmqvist et al., p.367)."
bor-sec-36,defines,Area of Interest (AOI),p.368,"A segment of stimulus space identifying a portion of the stimulus meaningful to the experimental design, enabling dwell-time, hit-rate, and transition calculations (FAITHFUL-Holmqvist et al., p.368)."
bor-sec-36,defines,sampling frequency,p.367,"The number of gaze direction/position measurements made per second (Hz), ranging from ~10Hz in web-camera trackers to 10000Hz in some recordings (FAITHFUL-Holmqvist et al., p.367)."
bor-sec-36,defines,event detection / classification,p.368,"The segmentation of an eye-tracker signal into meaningful events (fixation, saccade, smooth pursuit, etc.) with start, end, and duration; terminology varies across the field (FAITHFUL-Holmqvist et al., p.368, citing Hessels et al. 2018)."
bor-sec-36,cites,"Salvucci, D. D., & Goldberg, J. H. (2000)",~p.391,"Originators of the I-DT (dispersion-threshold) and I-VT (velocity-threshold) fixation/saccade detection algorithms, foundational to nearly all subsequent event-detection software (FE, ~p.391)."
bor-sec-36,cites,"Nyström, M., & Holmqvist, K. (2010)",~p.391,"NH2010 noise-adaptive event-detection algorithm, an improvement on I-VT that adapts the peak-velocity threshold to data noise level and outputs detected post-saccadic oscillations (FE, ~p.391)."
bor-sec-36,cites,"Hessels, R. S., et al. (2017)",~p.391,"I2MC algorithm, designed to be robust against increasing levels of noise and data loss common in infant eye-tracking research (FE, ~p.391)."
bor-sec-36,cites,"Zemblys, R., et al. (2019)",~p.391,"GazeNet, a fully end-to-end machine-learning event detector that learns from examples and detects fixations, saccades, and post-saccadic oscillations with very high resemblance to human expert coders (FE, ~p.391)."
bor-sec-36,cites,"Niehorster, D. C., et al. (2020c)","p.369, 389","Four-measure framework (RMS-S2S, STD, BCEA, power-spectrum-slope 'noise colour') for fully characterizing precision in gaze data, cited throughout the paper's data-quality sections (FAITHFUL-Holmqvist et al., p.369, 389)."
bor-sec-36,cites,"Holmqvist, K., & Andersson, R. (2017)",throughout,"The authors' own eye-tracking methodology textbook, the single most frequently cited background reference throughout the paper (chapters on eye-tracking methods, setup/geometry, event detection, AOI analysis) (FE, throughout)."
bor-sec-36,cites,"Ayres, P., et al. (2021)",~p.383,"Meta-study of 33 experiments concluding eye-movement measures of cognitive load are more sensitive than heart-rate, skin, and brain (EEG) measures (FAITHFUL-Holmqvist et al., ~p.383)."
bor-sec-36,cites,"Pastel, S., et al. (2021)",p.377,"Found precision significantly poorer in SMI Vive VR goggles compared to SMI glasses, though accuracy differed only in some conditions (mostly when fixation-point distance changed) (FAITHFUL-Holmqvist et al., p.377)."
bor-sec-36,cites,"Stein, N., et al. (2021)",p.377,"Found the end-to-end latency of common VR headsets ranged from 45-81ms (FAITHFUL-Holmqvist et al., p.377)."
bor-sec-36,cites,"Kahneman, D., & Beatty, J. (1966)",~p.383,"Foundational demonstration that pupil dilation tracks memory-task load, cited as the origin of the mental-workload/arousal-pupil-dilation literature this paper reviews (FE, ~p.383)."
bor-sec-36,cites,"Van Orden, K. F., et al. (2000)",~p.384,"Regression model combining fixation duration, blink duration, and mean pupil dilation into a robust and reliable predictor of surveillance-tracking-task (vigilance) performance (FAITHFUL-Holmqvist et al., ~p.384)."
bor-sec-36,cites,"Fiedler, S., et al. (2019)",p.395-399,"Source of the 207-study reporting-practices database this paper analyzes in full, and one of the five existing reporting guidelines compared; the only guideline to ask about many experimental-design parameters (FAITHFUL-Holmqvist et al., p.395-399)."
bor-sec-36,cites,"Carter, B. T., & Luke, S. G. (2020)",~p.399,"One of five existing reporting guidelines compared; the only one to ask for basic demographic information and 'a justification for [dependent-variable] selection' (FAITHFUL-Holmqvist et al., ~p.399)."
bor-sec-36,cites,"McConkie, G. W. (1981)","p.366, ~p.391","Earliest-cited call for reporting guidelines in eye-tracking research; recommended that event-detection algorithm details be published in the presenting paper (FAITHFUL-Holmqvist et al., p.366, ~p.391)."
bor-sec-36,cites,"Open Science Collaboration (2015)",p.365,"Estimate that only about one-third of psychological-science findings replicate, the paper's motivating 'replication crisis' citation for why reporting guidelines matter (FE, p.365)."
bor-sec-36,contests,existing eye-tracking reporting guidelines (five compared: Fiedler et al.; Carter & Luke; McConkie; Oakes; Strohmaier et al.),~p.400,"The paper concludes existing guidelines 'are incomplete and inconsistent, and often biased towards specific research fields' (FAITHFUL-Holmqvist et al., ~p.400)."
bor-sec-36,extends,"Fiedler, S., et al. (2019) reporting-practices database",p.395-399,"Extends the 207-study reporting-practices analysis first presented in Fiedler et al. (2019) with a full empirical-foundations review and a newly derived flexible minimal guideline (FE, p.395-399)."
bor-sec-36,qualifies,reporting guideline vs. reporting standard (own conceptual distinction),p.365,"Explicitly distinguishes flexible, informed-choice 'reporting guidelines' from mandatory, authority-approved 'reporting standards,' positioning this paper as delivering only the empirical foundation for the former (FAITHFUL-Holmqvist et al., p.365)."
bor-sec-36,concedes,gaps in the paper's own empirical review,"p.377, 395","Concedes that 'controlled studies of the effect of vibrations on eye-tracking data quality appear to be lacking' and that 'very few studies have been made of the effect on higher-order analyses of changing settings and varying data quality' (FAITHFUL-Holmqvist et al., p.377, 395)."
bor-sec-36,instances-in-text,Table 7: 9-item minimal core reporting checklist,p.399-400,"Full paraphrase of the paper's own strongly-recommended minimal reporting core (eye-tracker details; sampling frequency; setup/geometry; environment; participant instructions; empirically-determined data quality; processing/analysis description; firmware/software versions; exclusion criteria), with direct quotes kept under 12 words and page-anchored (FAITHFUL-Holmqvist et al., p.399-400)."
bor-sec-36,qualifies,boredom-adjacent constructs (confirmed absence),n/a,"P/anticipatory-application -- full-text search of the extracted 53pp source confirms zero occurrences of 'boredom,' 'boring,' or 'monotony'; this source's relevance to the cluster is entirely methodological, not constructual, and should not be overstated in cluster-level synthesis."
bor-sec-36,grounds-measure,Boredom Experiment (VR Attention Study): eye-tracking channel (overall data-quality reporting -- accuracy/precision/data loss/calibration/sampling frequency),n/a,"****** UNVERIFIED: this is the strongest methodological-authority candidate in the whole cluster for the dataset's eye-tracking channel, being the field's own empirically-derived reporting standard (Table 7's 9-item core) rather than a study using one; dataset entry does not exist on disk so exact alignment is unconfirmed (P/anticipatory-application)."
bor-sec-36,grounds-measure,Boredom Experiment (VR Attention Study): pupil-dilation sub-channel,n/a,"****** UNVERIFIED: pupil-size-artefact and pupil-foreshortening-artefact cautions (calibration across pupil-size range, gaze-angle compensation) should govern any VR pupillometry the dataset entry eventually reports; dataset entry does not exist on disk (P/anticipatory-application)."
bor-sec-36,bridges-to-part-iii,Part III VR-headset eye-tracking data-quality caveat (Pastel et al. 2021; Stein et al. 2021),n/a,"P/anticipatory-application -- VR-integrated eye trackers show measurably poorer precision than glasses-based trackers and 45-81ms end-to-end latency; any Part III VR-pole eye-tracking measure should report device-specific precision/latency rather than assuming desktop-eye-tracker benchmarks transfer unmodified."
bor-sec-36,bridges-to-part-iii,Part III cross-modal channel-weighting caution (Ayres et al. 2021 eye > EEG/heart/skin sensitivity),n/a,"P/anticipatory-application -- if Part III instruments both EEG (Strand D) and eye-tracking (Strand E) channels in the same dataset, this source's cited meta-finding that eye-movement measures of cognitive load outperform EEG/heart/skin in sensitivity is a reason to weight the eye-tracking channel as a primary rather than merely confirmatory measure in any convergent-validity analysis."
