source,relation,target,locus,note
ped-sec-34,treats-construct,social presence / co-presence,"p.9, p.11-12","Used only glancingly — two mentions total, both citing VRCL-specific sources (Edirisingha et al. 2009; Denoyelles & Kyeong-Ju Seo 2012), not the CMC-tradition canon; never operationalized by the review's own taxonomy (FE)."
ped-sec-34,treats-construct,presence (spatial/physical),"p.2, p.12","Invoked generally as VR's capacity to make users behave as in the physical world; listed as a contributor to VRCL affordance #1 (FE, citing Jensen & Konradsen 2018)."
ped-sec-34,treats-construct,immersion (technological),"p.6-7, Table 2","Central taxonomic axis 'degree of virtuality' (AR/MR / 3D-non-HMD / HMD VR); operationalized as hardware category across 139 studies: 78.4% non-HMD, 16.5% AR/MR, 7.2% HMD (FE)."
ped-sec-34,treats-construct,embodiment / self-representation,"p.7, Table 2","Coded as 'type of virtual embodiment'; full-body dominant at 67.6%, largely a default of Second Life/OpenSimulator avatar systems (FE)."
ped-sec-34,treats-construct,engagement / flow,"p.5, p.11-12","Coded as 'student engagement' learning goal (31.7%); named as VRCL affordance #1, 'efficient tool to engage and motivate learners' (FE)."
ped-sec-34,treats-construct,learning outcomes: retention & transfer,"p.5, p.10","Folded into 'cognitive domain' learning-goal category (50.4%); knowledge-transfer discussed narratively via Carron et al. 2013 (FE)."
ped-sec-34,treats-construct,learning outcomes: procedural / skills,"p.9, Table 4","The review's own primary RQ1 taxonomy: five skill categories (cultural, domain-specific, learning, physical, social) with worked examples (FE)."
ped-sec-34,tests-condition,review / meta-analytic aggregate,p.3-4,"PRISMA systematic review of 139 empirical studies screened from 1,608 candidate records via Scopus + Web of Science (FE)."
ped-sec-34,tests-condition,IVR (HMD),"p.6-7, Table 2","Coded as one degree-of-virtuality category across the 139 reviewed studies: 7.2% used HMD VR (Oculus Rift, HTC Vive), far less than non-HMD or AR/MR (FE)."
ped-sec-34,tests-condition,desktop-3D / non-immersive VR,"p.6-7, Table 2","Dominant condition across the reviewed literature: 78.4% of studies used non-HMD 3D simulation on flat-surface monitors/displays with general-purpose controls (FE)."
ped-sec-34,cites-cluster-author,ped-sec-33,"p.2, p.12, p.14","Directly cites de Back, Tinga, Nguyen & Louwerse (2020) 'Benefits of immersive collaborative learning in CAVE-based virtual reality' — almost certainly the companion paper to this cluster's ped-sec-33 (De Back, Tinga & Louwerse 2021) (FE)."
ped-sec-34,cites-cluster-author,ped-sec-10,p.11,"Cites Makransky et al. (2019) for HMD VR causing affective/cognitive overloads and distraction, leading to poorer learning outcomes than non-HMD (FE)."
ped-sec-34,cites-cluster-author,ped-sec-13,p.11,"Cites Parong & Mayer (2021) for HMD VR causing high affective and cognitive distractions, echoing Makransky et al.'s finding (FE)."
ped-sec-34,cites-cluster-author,ped-sec-22,p.10-11,"Cites Radianti et al. (2020), with Sousa Santos et al. 2009 and Makransky et al. 2019, for HMD VR's continued lack of empirical evidence of educational value (FE)."
ped-sec-34,cites-cluster-author,ped-sec-04,p.2,"Cites Dalgarno & Lee (dated 2010 in this article's own reference list) for VR's spatial-learning affordance, alongside de Back et al. 2020; note the 2009-vs-2010 citation-year discrepancy, independently also flagged for ped-sec-33's own citation of the same source (FE, qualified)."
ped-sec-34,cites-cluster-author,ped-sec-09,p.11,"Cites Makransky & Lilleholt (2018) for HMD VR's superiority over computer screens in arousal, engagement, and motivation — the affirmative side of the HMD affordance/distraction tension the review stages (FE)."
ped-sec-34,defines,Virtual Reality for Collaborative Learning (VRCL) (TERM),p.2,"The review's own coinage naming its object of study, positioned as an outgrowth of CSCL grounded in social-learning theory (FE)."
ped-sec-34,defines,five affordances of VRCL (THEME),p.11-13,"Efficient engagement/motivation tool; distance-learning/remote-collaboration support via 'immediacy'; multi-/interdisciplinary spaces; social-skill development; fit with CL pedagogical paradigms (FE)."
ped-sec-34,defines,nine VRCL design features (THEME),p.9-11,"Embodiment; communication tools; usability/accessibility; perceived usefulness (incl. social presence); object-interaction; equal-input task design; educator support; learner autonomy; socialization-support (FAITHFUL-vanderMeer, p.9-11)."
ped-sec-34,instances-in-text,taxonomy (Education/System/Evaluation) (TERM),p.3-4,"Three-category coding taxonomy partly built on Bloom's (1956) taxonomy; inter-rater kappa=0.77 (screening, 5 coders) and kappa=0.60/85% agreement (taxonomy, 1 second coder on 30 studies) (FE)."
ped-sec-34,instances-in-text,Girvan's VE/VR definitions (READING/CLAIM),p.10-12,"Adopted to argue VRCL affordances belong to the virtual environment, not the access tool (HMD vs non-HMD), while conceding tool choice still moderates outcomes (FAITHFUL-vanderMeer)."
ped-sec-34,instances-in-text,physiological synchrony as under-used evaluation channel (THEME),p.11,"Only 1 of 139 studies used physiological measures (heart rate); the review argues this is a promising, near-unexplored channel for collaboration-quality assessment (FE)."
ped-sec-34,cites,"Cook, M. et al. (2019) (INTERLOCUTOR)",p.1,"Cited alongside Smith 2019 and Scavarelli et al. 2021 for the field's general lack of pedagogical guidance on VR implementation (FE)."
ped-sec-34,cites,"Scavarelli, A. et al. (2021) (INTERLOCUTOR)",p.2,"One of three prior VRCL literature reviews this article positions itself as extending via first-ever PRISMA methodology; source of the accessibility/interplay/pedagogy/balance gap framing (FAITHFUL-vanderMeer)."
ped-sec-34,cites,"Zheng, L. et al. (2019) (INTERLOCUTOR)",p.2,"One of three prior VRCL reviews; conducted a meta-analysis plus qualitative analysis of VRCL prototypes; source of the pedagogical-strategy-focus recommendation (FAITHFUL-vanderMeer)."
ped-sec-34,cites,"Girvan, Cathy (INTERLOCUTOR)",p.10-12,"Primary external theoretical source for VE/VR definitions used to adjudicate (partially) the HMD-vs-non-HMD affordance-attribution question (FE, citing Girvan 2018)."
ped-sec-34,bridges-to-vle,vle-01-deployment-survey,n/a,"(P/anticipatory-application) This review's 139-study aggregate confirms non-HMD, monitor-based collaboration (78.4%) as the field's actual practice, contextualizing Part III's own desktop-3D-vs-video-only strata: the 'lab=VR' pole is the minority condition in the wider VRCL literature, not the default."
