source,relation,target,locus,note
bor-sec-31,defines,boredom-classification feature-extraction pipeline (ABP/NABP/DE/DASM/RASM),~p.3839-3840,"The paper's central methodological contribution: five feature families extracted from FP1/FP2 EEG data across five frequency bands, yielding 40 base features for classifier training (FAITHFUL-Seo et al., ~p.3839-3840)."
bor-sec-31,treats-construct,situational vs. trait/state boredom,~p.3832,"Explicitly adopted: 'This study treats boredom as a state of emotion,' against Fahlman et al.'s (2013) trait view (FAITHFUL-Seo et al., p.3832)."
bor-sec-31,treats-construct,boredom proneness,~p.3832,"Not measured; cited only as the trait pole set aside by the study's state-boredom framing (FE, p.3832)."
bor-sec-31,treats-construct,attentional disengagement / meta-awareness,~p.3832-3833,"Eastwood et al.'s (2012) three-part attentional definition of boredom is reviewed as one of several surveyed accounts, but not adopted as the study's own operative construct (FAITHFUL-Seo et al., p.3832-3833)."
bor-sec-31,treats-construct,flow / engagement (contrast pole),~p.3842,"Treated only via citation of Katahira et al. (2018), whose frontal-theta-during-flow finding is used as interpretive support for this study's own theta-band result (FAITHFUL-Seo et al., p.3842)."
bor-sec-31,treats-construct,monotony / meaninglessness,~p.3838-3839,"Operationalized without being named: the boredom-evoking stimulus (a small circle tracing a larger circle's boundary at constant slow speed, looping until manually stopped) is a de facto monotony induction (FE, p.3838-3839)."
bor-sec-31,treats-construct,temporality of boredom (time-drag),~p.3832,"Cited only, via Fahlman et al.'s manifestation 'experiencing a slow passage of time'; not independently developed or measured by Seo et al. (FAITHFUL-Seo et al., p.3832)."
bor-sec-31,operationalizes-measure,ML classification,~p.3840-3843,"Weka k-NN/MLP/RF, 10-fold cross-validation, Wrapper Subset Evaluator feature refinement; best result k-NN 86.73% accuracy (feature group 10-2, weight 1/distance, 1-second window) (FAITHFUL-Seo et al., p.3840-3843)."
bor-sec-31,operationalizes-measure,self-report / survey scale,~p.3841-3842,"Five-point Likert boredom-intensity item per video stage, dichotomized into weak (n=30) and strong (n=28) boredom groups to generate ground-truth class labels for all classifiers (FAITHFUL-Seo et al., p.3841-3842)."
bor-sec-31,operationalizes-measure,EEG alpha/theta power,~p.3839-3842,"Alpha and theta sub-bands within ABP/NABP; theta never selected as meaningful by the Wrapper Subset Evaluator, read as convergent with Katahira et al.'s (2018) theta-flow finding (FAITHFUL-Seo et al., p.3839-3842)."
bor-sec-31,operationalizes-measure,EEG frontal alpha asymmetry,~p.3839-3842,"DASM and RASM computed per band (including alpha) from FP1-FP2 differential entropy, grounded in Davidson & Fox (1982)/Davidson (1992) theory; rarely selected by the Wrapper Subset Evaluator, underperforming for boredom specifically (FAITHFUL-Seo et al., p.3839-3840, 3841-3842)."
bor-sec-31,operationalizes-measure,EEG functional connectivity,~p.3839,"Structurally precluded: Zheng et al.'s (2017) vertical-symmetry connectivity-adjacent features require more than two electrode pairs, unavailable with this study's two-electrode montage (FE, p.3839)."
bor-sec-31,operationalizes-measure,heart rate / HRV,~p.3837-3838,"Not operationalized by heart-rate sensor at all; a related autonomic channel (GSR, Grove sensor + Arduino) was collected but explicitly not analyzed, reserved for future EEG+GSR fusion (FAITHFUL-Seo et al., p.3837-3838, 3844)."
bor-sec-31,instances-in-text,Muse EEG headband (FP1/FP2/TP9/TP10 4-electrode consumer wearable),~p.3837,"Apparatus instance: 2014-version Muse headband, 10-20 system electrode placement, raw EEG at 220 Hz and band powers at 10 Hz; TP9/TP10 excluded due to unreliable attachment (FAITHFUL-Seo et al., p.3837, 3839)."
bor-sec-31,instances-in-text,rotating-circle boredom-evoking video stimulus,~p.3838-3839,"Instance of monotony operationalized as stimulus design: small circle tracing a larger circle's boundary at 90 seconds/rotation, looping infinitely until manually stopped (FAITHFUL-Seo et al., p.3838-3839)."
bor-sec-31,cites-cluster-author,"Kim, Joochan, Seo, Jungryul, & Laine, Teemu H. (2018) -- Detecting Boredom from Eye Gaze and EEG",~p.3833-3834; 3838-3839,"Same-cluster unit bor-sec-28 (Strand D); source of the boredom-evoking rotating-circle video stimulus reused directly in this study; shared authorship (Seo, Laine) with the present paper (FAITHFUL-Seo et al.)."
bor-sec-31,extends-reading-of,"Kim, Joochan, Seo, Jungryul, & Laine, Teemu H. (2018) -- Detecting Boredom from Eye Gaze and EEG",~p.3843-3844,"Explicitly claims improvement over bor-sec-28: unlike Kim et al.'s correlational-only EEG-gaze relationship with no prediction model or accuracy figure, this study provides a validated, cross-validated classification model with a reported 86.73% accuracy (FAITHFUL-Seo et al., p.3843-3844)."
bor-sec-31,cites,"Shen, Longfei, Wang, Minjuan, & Shen, Ronghuai (2009)",~p.3833-3834,"Only other prior EEG-based boredom-targeting study among the 26 reviewed; single participant, brain+blood+skin+heart signals, no clearly reported validation method (FAITHFUL-Seo et al., p.3833-3834)."
bor-sec-31,contests-reading-of,"Shen, Longfei, Wang, Minjuan, & Shen, Ronghuai (2009)",~p.3843-3844,"Contests the adequacy of Shen et al.'s single-participant, unvalidated design by contrast with this study's 28-participant sample and validated 10-fold cross-validation (FAITHFUL-Seo et al., p.3843-3844)."
