subject,stimulus,quantity,value,kind
S03,BOR,eye openness,0.823,physiology
S03,CLC,eye openness,0.937,physiology
S03,INT,eye openness,0.867,physiology
S03,BOR,pupil dilation,3.06636286403,physiology
S03,CLC,pupil dilation,3.0981248372,physiology
S03,INT,pupil dilation,3.56273225743,physiology
S03,BOR,cognitive load,0.520318721513,physiology
S03,CLC,cognitive load,0.565019569288,physiology
S03,INT,cognitive load,0.485450672203,physiology
S03,BOR,HR,86.390070922,physiology
S03,CLC,HR,87.9583853516,physiology
S03,INT,HR,95.8778700537,physiology
S03,BOR,gaze deviation variance,0.0094745823527,physiology
S03,CLC,gaze deviation variance,0.00855660471424,physiology
S03,INT,gaze deviation variance,0.00889440595004,physiology
S03,BOR,gaze deviation median,0.198297755913,physiology
S03,CLC,gaze deviation median,0.188436226795,physiology
S03,INT,gaze deviation median,0.167919488119,physiology
S03,BOR,boredom,9,self-report
S03,CLC,boredom,3,self-report
S03,INT,boredom,3,self-report
S03,BOR,engagement,1,self-report
S03,CLC,engagement,7,self-report
S03,INT,engagement,7,self-report
S03,BOR,felt duration (min),60,self-report
S03,CLC,felt duration (min),15,self-report
S03,INT,felt duration (min),30,self-report
