source,relation,target,locus,note
ped-sec-03,bridges-to-vle,vle-01-deployment-survey,"Chow p.11-13 (CSE/PEOU); VLE F1 threshold-foreclosure / F7 presence-and-the-WE","(P/anticipatory-application) Chow's finding that computer self-efficacy is the strongest total predictor of self presence (0.53) offers an individual-determinant lens on vle-01's F1 threshold-foreclosure (install/hardware friction gating VID-stratum access) and its F7 presence-and-the-WE finding (self-report presence far higher in APP than VID stratum): low CSE may explain part of why some students never clear the installer gate, independent of the technology-side friction vle-01 documents directly."
ped-sec-03,bridges-to-part-iii,"Part III dissertation (self-efficacy as an unmeasured covariate)",n/a,"(P/anticipatory-application) Part III's own deployment survey does not measure computer self-efficacy; Chow's SEM result (CSE's total effect on presence = 0.53, more than double PU's 0.36) suggests self-efficacy is a plausible unmeasured confound behind Part III's APP/VID stratification, worth flagging as a limitation rather than resolving."
ped-sec-03,bridges-to-part-iii,"Part III dissertation (self presence vs. the 'WE')",p.2-3,"(P/anticipatory-application) Chow's narrow focus on self presence (avatar-as-self) rather than social presence (co-presence with others) sharpens Part III's F7 finding that VLE students wanted more 'watching with others': F7's gap is a social/co-presence phenomenon Chow's own model does not test, cautioning against reading Chow's self-presence determinants as if they explained social presence too."
ped-sec-03,treats-construct,embodiment / self-representation,"p.2-3; p.11-12","Chow's actual dependent variable is Lee's (2004) 'self presence' — a virtual self experienced as the actual self — operationalized via three avatar-movement items (own avatar walking/moving/being in the ward); PU and CSE jointly explain 52% of its variance (FAITHFUL-Chow, p.2, p.11-12). Source's own term is 'presence'/'self presence'; normalized here to the embodiment/self-representation row since the instrument items are avatar-identification items, not spatial or social items."
ped-sec-03,treats-construct,self-efficacy,"p.7; p.11-13","Computer self-efficacy (CSE) — belief in one's ability to perform a specific task with the technology — is modeled as both a direct antecedent of perceived usefulness and a direct antecedent of self presence; it is the single strongest total predictor of presence in the model (total effect 0.53) (FAITHFUL-Chow, p.7, p.11, p.13)."
ped-sec-03,treats-construct,cognitive load (extraneous vs germane),p.12,"Not modeled as an SEM variable; invoked post-hoc in the Discussion via Sweller's (1988) cognitive load theory to explain CSE's dominant effect — students with low computer self-efficacy expend cognitive resources on navigating the unfamiliar Second Life interface, leaving fewer resources for immersion (FAITHFUL-Chow, p.12)."
ped-sec-03,treats-construct,presence (spatial/physical),p.2,"Treated only as typological backdrop: Chow reproduces Lee's (2004) physical/social/self tripartite division of presence in the literature review before narrowing the study's own focus to self presence exclusively; physical presence itself is not modeled or measured (FAITHFUL-Chow, p.2)."
ped-sec-03,treats-construct,social presence / co-presence,"p.2-3","Also typological backdrop only: Lee's social-presence type (a virtual social actor experienced as an actual social actor) is defined but explicitly set aside — Chow states the study's focus is self presence, not social presence, given the increase in avatar-based self-representation (FAITHFUL-Chow, p.3). Distinguishing this exclusion matters for Strand F, whose CMC-tradition sources treat social presence as their own primary construct."
ped-sec-03,treats-construct,affect: enjoyment & intrinsic motivation,p.3,"Mentioned only in the literature-review synthesis of prior presence-and-learning findings (deByl 2009): presence in situated virtual worlds is said to nurture intrinsic motivation to learn beyond cognitive gain; this claim is not tested by Chow's own SEM, which contains no affect or motivation construct (FE, p.3, reporting others' findings, qualified as lit-review-only by this unit)."
ped-sec-03,treats-construct,representational fidelity,"p.3-4","Named as one of the two 'media characteristics' determinant categories (media form: sensory fidelity, spatial-temporal match, interactivity) in the study's own two-category determinants-of-presence framework, then explicitly set aside as already well-studied so the paper can focus on the understudied user-characteristics category instead (FAITHFUL-Chow, p.3-4)."
