[WARN] chunk secondary-p17-p18: JSON parse failed (stop_reason=end_turn, out_tokens=5376). Raw saved to /tmp/extractor_debug_secondary-p17-p18.txt
[extract] 23 chunks from pages 1-45
  chunk secondary-p1-p2: 30 claims  (63.3s  2917in/5791out  $0.0956)
  chunk secondary-p3-p4: 27 claims  (81.2s  2980in/6064out  $0.0999)
  chunk secondary-p5-p6: 23 claims  (59.5s  2941in/5139out  $0.0859)
  chunk secondary-p7-p8: 27 claims  (75.7s  3014in/6074out  $0.1002)
  chunk secondary-p9-p10: 24 claims  (58.2s  2800in/5051out  $0.0842)
  chunk secondary-p11-p12: 24 claims  (65.5s  2928in/5076out  $0.0849)
  chunk secondary-p13-p14: 28 claims  (87.3s  3059in/6430out  $0.1056)
  chunk secondary-p15-p16: 27 claims  (73.4s  3077in/5800out  $0.0962)
  chunk secondary-p19-p20: 26 claims  (80.1s  3011in/6051out  $0.0998)
  chunk secondary-p21-p22: 26 claims  (83.9s  3103in/6061out  $0.1002)
  chunk secondary-p23-p24: 23 claims  (87.8s  3037in/5553out  $0.0924)
  chunk secondary-p25-p26: 27 claims  (89.0s  3079in/5963out  $0.0987)
  chunk secondary-p27-p28: 24 claims  (72.5s  2990in/5422out  $0.0903)
  chunk secondary-p29-p30: 23 claims  (60.5s  3069in/4937out  $0.0833)
  chunk secondary-p31-p32: 29 claims  (105.6s  3074in/6585out  $0.1080)
  chunk secondary-p33-p34: 23 claims  (74.1s  3157in/5379out  $0.0902)
  chunk secondary-p35-p36: 25 claims  (73.3s  2943in/5548out  $0.0920)
  chunk secondary-p37-p38: 27 claims  (92.9s  3079in/5907out  $0.0978)
  chunk secondary-p39-p40: 22 claims  (86.4s  2962in/5335out  $0.0889)
  chunk secondary-p41-p42: 28 claims  (76.5s  3080in/5909out  $0.0979)
  chunk secondary-p43-p44: 0 claims  (1.6s  2994in/4out  $0.0090)
  chunk secondary-p45-p45: 0 claims  (1.2s  1838in/4out  $0.0056)
  verify batch 1: 20/20 judged  (11.3s  $0.0216)
  verify batch 2: 20/20 judged  (16.4s  $0.0223)
  verify batch 3: 20/20 judged  (15.6s  $0.0255)
  verify batch 4: 20/20 judged  (17.2s  $0.0230)
  verify batch 5: 20/20 judged  (17.9s  $0.0229)
  verify batch 6: 20/20 judged  (17.5s  $0.0235)
  verify batch 7: 20/20 judged  (15.1s  $0.0237)
  verify batch 8: 20/20 judged  (17.8s  $0.0234)
  verify batch 9: 20/20 judged  (16.0s  $0.0254)
  verify batch 10: 20/20 judged  (20.7s  $0.0253)
  verify batch 11: 20/20 judged  (13.7s  $0.0224)
  verify batch 12: 20/20 judged  (11.2s  $0.0221)
  verify batch 13: 20/20 judged  (15.1s  $0.0253)
  verify batch 14: 20/20 judged  (20.2s  $0.0259)
  verify batch 15: 20/20 judged  (15.7s  $0.0246)
  verify batch 16: 20/20 judged  (14.3s  $0.0216)
  verify batch 17: 20/20 judged  (19.9s  $0.0247)
  verify batch 18: 20/20 judged  (19.7s  $0.0245)
  verify batch 19: 20/20 judged  (15.5s  $0.0259)
  verify batch 20: 20/20 judged  (20.4s  $0.0255)
  verify batch 21: 20/20 judged  (12.7s  $0.0228)
  verify batch 22: 20/20 judged  (20.5s  $0.0257)
  verify batch 23: 20/20 judged  (24.1s  $0.0275)
  verify batch 24: 20/20 judged  (19.5s  $0.0248)
  verify batch 25: 15/15 judged  (12.9s  $0.0169)
[extract] done. 513 claims.  $2.593 total, 48 API calls.
wrote 513 claims → /home/dalton/projects/claudeflow-testing/tmp/analysis-upgrade/production-sandbox/data/corpus/index/chalmers-2016/claims.jsonl
