subject,stimulus,n_rows,mean_hz,median_hz,duration_s,pct_valid_gaze,has_hr,has_imu,has_cog,note
R2-01,BOR,132811,120.03,120.05,1106.5,75.8,True,True,True,no-crop-window;full-used
R2-01,CLC,133667,120.02,120.15,1113.7,90.9,True,True,True,no-crop-window;full-used
R2-01,INT,140143,0.0,120.12,1711057218.8,86.4,True,False,True,no-crop-window;full-used
R2-02,BOR,132869,120.03,120.03,1107.0,70.0,False,False,True,no-crop-window;full-used
R2-02,CLC,133361,120.03,120.03,1111.0,91.2,True,True,True,no-crop-window;full-used
R2-02,INT,134305,120.03,120.0,1119.0,91.8,True,True,True,no-crop-window;full-used
R2-03,BOR,148653,120.03,120.13,1238.5,85.1,True,True,True,no-crop-window;full-used
R2-03,CLC,157434,120.02,120.13,1311.7,89.4,True,True,True,no-crop-window;full-used
R2-03,INT,291609,120.03,120.06,2429.5,91.1,True,False,True,no-crop-window;full-used
R2-04,BOR,131937,120.02,120.11,1099.3,86.9,True,True,True,no-crop-window;full-used
R2-04,CLC,137982,120.02,120.13,1149.7,89.5,True,True,True,no-crop-window;full-used
R2-04,INT,133410,120.03,120.11,1111.5,87.7,True,True,True,no-crop-window;full-used
