source,relation,target,locus,note
ped-sec-14,treats-construct,immersion (technological),"pp.2, 7-8","Immersion operationalized architecturally as the VR/3D/2D condition ladder itself (high/medium/low access-cost), not measured via a separate presence scale (FE)."
ped-sec-14,treats-construct,cognitive load (extraneous vs germane),pp.2-4,"Lit review frames Makransky's finding that immersive VR groups often show higher cognitive load than other instruction; invoked as a candidate mechanism but not measured directly (FAITHFUL-Barrett et al., pp.2-4)."
ped-sec-14,treats-construct,learning outcomes: procedural / skills,pp.10, 12-13,"Accuracy (criterion-restricted category-learning performance) and response time are the paper's central learning-outcome measures; equivalent accuracy trajectories across VR/3D/2D (FE, p.12-13)."
ped-sec-14,treats-construct,cybersickness & physical discomfort,"pp.12, 16","6 of 32 VR non-learners withdrew citing physical discomfort (motion sickness, dizziness, fatigue, headache); flagged as a practical cost weighed against VR benefits (FAITHFUL-Barrett et al., p.12, 16)."
ped-sec-14,treats-construct,affect: enjoyment & intrinsic motivation,p.16,"Elevated, non-converging VR fixation counts explained post hoc via novelty/enjoyment of arm-controller interaction rather than access cost (FE, p.16)."
ped-sec-14,treats-construct,agency / interactivity,pp.7-9,"VR/3D require active motor manipulation (hand-controller collision / gamepad D-pad) to reveal features; 2D presents all features simultaneously to a passive, eye-tracked viewer (FE, p.7-9)."
ped-sec-14,treats-construct,representational fidelity,pp.8-9,"Cube stimulus geometry and category structure held identical across VR and desktop-3D; 2D uses a flat triangular analogue of the same three-feature structure, with location/relevance combinations deliberately matched (FAITHFUL-Barrett et al., p.8-9)."
ped-sec-14,treats-construct,engagement / flow,p.16,"Not measured directly: authors speculate VR's higher fixation count reflects participants' unwillingness to rush through trials out of enjoyment; flagged as possibly a single-session novelty effect (FE, p.16)."
ped-sec-14,tests-condition,IVR (HMD),pp.7-12,"HTC Vive headset + hand controllers; n=58 recruited, n=26 final analytic (32 excluded as non-learners, 6 of those withdrew citing physical discomfort); framed as the high-access-cost condition (FAITHFUL-Barrett et al., p.7-12)."
ped-sec-14,tests-condition,desktop-3D / non-immersive VR,pp.7-12,"22-inch flat monitor + gamepad; identical cube stimuli to VR, D-pad rotates cube; n=56 recruited, n=26 final analytic (30 excluded as non-learners); medium-access-cost condition (FAITHFUL-Barrett et al., p.7-12)."
ped-sec-14,tests-condition,2D video / slideshow / text,pp.7-12,"22-inch monitor + Tobii X120 eye tracker (60Hz) + gamepad for category responses only; all three features simultaneously visible; n=65 recruited, only n=8 final analytic after 1 dropout (dizziness) and equipment failure; low-access-cost condition (FAITHFUL-Barrett et al., p.7-12, exclusions p.12)."
ped-sec-14,construct-under-condition,learning outcomes: procedural / skills x IVR (HMD),p.12-13,"No significant accuracy difference vs 3D/2D (chi2=4.043, p=.133 main effect; chi2=9.012, p=.173 interaction) (FAITHFUL-Barrett et al.)."
ped-sec-14,construct-under-condition,learning outcomes: procedural / skills x desktop-3D / non-immersive VR,p.12-13,"Accuracy trajectory statistically indistinguishable from VR and 2D (FAITHFUL-Barrett et al., p.12-13)."
ped-sec-14,construct-under-condition,learning outcomes: procedural / skills x 2D video / slideshow / text,p.12-13,"2D group reaches the same accuracy criterion as VR/3D despite fastest response times and a final n of only 8 (FAITHFUL-Barrett et al., p.12-13)."
ped-sec-14,construct-under-condition,engagement / flow x IVR (HMD),"p.13-14, 16","VR shows the highest fixation count throughout (chi2=13.938, p<.001) and does not reach the lower asymptote 3D/2D reach; read as novelty-driven engagement rather than access cost (FAITHFUL-Barrett et al.)."
ped-sec-14,construct-under-condition,cybersickness & physical discomfort x IVR (HMD),"p.12, 16","6 of 32 VR non-learners withdrew citing physical discomfort within a sub-hour session, against a single 2D dropout for dizziness (FAITHFUL-Barrett et al.)."
ped-sec-14,cites,"Makransky, Guido (INTERLOCUTOR)",pp.2-4,"Cited for the recurring finding that immersive VR groups experience higher cognitive load than other instruction methods, sometimes offset by generative-learning/enactment/pre-training pairings (FAITHFUL-Barrett et al., p.2-4)."
ped-sec-14,cites,"Parong, Jocelyn & Mayer, Richard (INTERLOCUTOR)",pp.4-5,"Cited for the finding that 2D slide-based learning initially outperformed a 12-minute VR biology lesson, with VR catching up once reflection prompts were added in a follow-up experiment (FAITHFUL-Barrett et al., p.4-5)."
ped-sec-14,cites,"Hamilton, D. et al. (INTERLOCUTOR, VR-education review)",p.4,"29-study review: 10 showed no VR-vs-desktop learning-outcome difference, 2 showed worse VR outcomes; cited against a guaranteed VR learning advantage (FAITHFUL-Barrett et al., p.4)."
ped-sec-14,cites,"Angel-Urdinola, D. et al. (INTERLOCUTOR, VR meta-analysis)",pp.4-5,"Meta-analysis reporting an overall positive but more-than-half neutral-positive effect of VR on learning outcomes vs desktop/pen-and-paper instruction (FAITHFUL-Barrett et al., p.4-5)."
