source,relation,target,locus,note
bor-sec-06,treats-construct,temporality of boredom (time-drag),pp.1-6,"organizing thread across all three thinkers; Husserl's blurred living present and Heidegger's three distinct modes of time's passing (FE)"
bor-sec-06,treats-construct,being-bored-by (1st form),p.4,"most familiar ordinary-experience form; leaves us empty and holds us in limbo via slower time and deferred goals (FAITHFUL-Elpidorou, p.4)"
bor-sec-06,treats-construct,being-bored-with (2nd form),pp.4-5,"dinner-party example; retrospectively recognized as boring because inauthentic, not our own (FAITHFUL-Elpidorou, p.4)"
bor-sec-06,treats-construct,profound/deep boredom (FCM 3rd form),pp.5-6,"treated at greatest length; es ist einem langweilig; undifferentiated no one; total withdrawal of significance disclosed as revelatory (FAITHFUL-Elpidorou, p.5)"
bor-sec-06,treats-construct,monotony / meaninglessness,"pp.1, 3, 5, 7","recurs across all three registers: Husserl's empty now, Heidegger's banal dinner party, Sartre's meaningless lecture material (FE)"
bor-sec-06,treats-construct,attentional disengagement / meta-awareness,pp.2-3,"central to the Husserlian construction: boredom as consciousness failing to attend to or be affected by its object (FAITHFUL-Elpidorou, p.2)"
bor-sec-06,treats-construct,mind-wandering / task-unrelated thought,p.7,"bored-student vignette: boredom motivates the subject to mind wander, doodle, talk to classmates, look outside the window (FAITHFUL-Elpidorou, p.7)"
bor-sec-06,treats-construct,boredom-as-regulatory-signal (functional account),pp.6-8,"Sartrean payoff: boredom as an active attempt to re-establish a proper cognitive relationship to the world, not passive deficit (FAITHFUL-Elpidorou, p.8)"
bor-sec-06,treats-construct,situational vs. trait/state boredom,p.1,"light touch: individuals with a high propensity to boredom show characteristic duration-estimation errors (FE)"
bor-sec-06,treats-construct,flow / engagement (contrast pole),"pp.2, 7","never named as such; functions throughout as boredom's implicit negative-defining contrast via 'engage'/'engross'/'absorb' (FE)"
bor-sec-06,construct-measured-by,behavioral (RT / errors / performance-monitoring),pp.1-2,"Danckert and Allman (2005) duration-estimation-error finding cited as evidence for the temporality construct; literature-cited, not first-party data (FE)"
bor-sec-06,construct-measured-by,self-report / survey scale,"p.2, p.7","Martin, Sadlo, and Stew (2006) first-person qualitative reports of time 'stalling,' treated as the nearest self-report analogue; literature-cited, not administered (FE)"
bor-sec-06,bridges-to-fcm,fcm-04-first-form,"FCM §§19-23, book pp.78-105 / this unit p.4","paraphrases Heidegger's diagnosis of the first form as boredom's most familiar register, tied to a determinate boring thing and a bounded dragging interval (P/anticipatory-application)"
bor-sec-06,bridges-to-fcm,fcm-05-second-form,"FCM §§24-28, book pp.106-131 / this unit pp.4-5","stays close to the dinner-party example and the retrospective, 'arises from Dasein itself' character of the second form (P/anticipatory-application)"
bor-sec-06,bridges-to-fcm,fcm-06-third-form,"FCM §§29-36, book pp.132-159 / this unit pp.5-6","keystone reading: es ist einem langweilig, undifferentiated no one, unarticulated unity of the three temporal dimensions, telling refusal (Versagen/Sagen) (P/anticipatory-application)"
bor-sec-06,qualifies,fcm-06-third-form / fcm-07-particular-profound boundary,p.6,"Elpidorou's own citation 'ibid., 148-52, §38' straddles fcm-06's book-page range and fcm-07's section range; flagged as an apparent internal inconsistency in the source's own citation, not a citation of fcm-07's distinct 'contemporary Dasein' material (P/anticipatory-application)"
bor-sec-06,cites,"Husserl, Edmund (interlocutor)",pp.1-3,"On the Phenomenology of the Consciousness of Internal Time (1991); topic (boredom) constructed by Elpidorou, not Husserl's own (FE)"
bor-sec-06,cites,"Heidegger, Martin -- Being and Time",p.4,"Befindlichkeit as ontological structure, moods as its ontic manifestation, fundamental moods (Grundstimmungen) as revelatory -- background architecture for the FCM reading (FE)"
bor-sec-06,cites,"Sartre, Jean-Paul -- Nausea and Sketch for a Theory of Emotions",pp.6-8,"Roquentin's profound boredom in Nausea; STE's functional/magical account of emotion extended to boredom by Elpidorou (FE)"
bor-sec-06,cites,Danckert and Allman (2005),pp.1-2,"duration-estimation errors in boredom-prone individuals, cited as corroborating evidence for boredom's link to distorted time-perception (FE)"
bor-sec-06,cites,"Martin, Sadlo, and Stew (2006)","p.2, p.7","first-person reports of boredom's perceived time-stalling; also cited for the apathetic/agitated boredom distinction (FE)"
bor-sec-06,cites,Wangh (1975),p.2,"quoted for the 'endless present' characterization of boredom's temporal phenomenology (FE)"
bor-sec-06,cites,Greenson (1953),p.7,"source of the apathetic vs. agitated boredom distinction taken up in the Sartre section (FE)"
bor-sec-06,cites,O'Brien (2014),p.7,"cited alongside Martin et al. on the apathetic/agitated boredom distinction (FE)"
bor-sec-06,cites,London and Monello (1974),p.1,"cognitive manipulation of time-perception shown to produce negative appraisals and feelings of boredom (FE)"
bor-sec-06,cites,"Elpidorou, Andreas (2015) -- The Significance of Boredom: A Sartrean Reading","p.6, p.8","author's own earlier Sartrean piece on boredom; NOT itself a unit in this cluster, hence plain cites rather than cites-cluster-author (FE)"
bor-sec-06,cites-cluster-author,bor-sec-25 (Elpidorou -- The Bored Mind Is a Guiding Mind 2018),"p.3, p.8","cited for the aversive/escape features of ordinary boredom (p.3) and as the source's own fuller regulatory-theory account underlying the Sartrean functional reading (p.8) (FE)"
bor-sec-06,defines,Lange-weile ('long while'),p.3,"the temporal cash-out of a blurred living present; Elpidorou's own gloss connecting the German etymology to the Husserlian construction (FAITHFUL-Elpidorou, p.3)"
bor-sec-06,instances-in-text,bored-student lecture vignette,p.7,"illustrates the Sartrean functional account: a student reappraises difficult material as meaningless, licensing mind-wandering and other escape behaviors (FAITHFUL-Elpidorou, p.7)"
bor-sec-06,bridges-to-part-iii,Part III student-boredom framing (deficit vs. adaptive-signal),P/anticipatory-application,"the entry's Sartrean/regulatory reading offers philosophical warrant, independent of Strand D/E's physiological literature, for framing student boredom as potentially adaptive signal rather than mere deficit -- pair with bor-sec-25/26's fuller argument, do not substitute"
bor-sec-06,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study),P/anticipatory-application,"dataset entry not yet built as of 2026-07-14; this source reports no first-party measurement of its own (only secondhand citations of Danckert and Allman 2005 and Martin, Sadlo, and Stew 2006), so no grounds-measure bridge is currently warranted"
