unit	verdict	sim	doc	page_start	page_end	quote
bor-sec-10	EXACT(doc-restricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	1	2	In the Mood for Heideggerian Boredom? Film Viewership as Being-in-the-World
bor-sec-10	EXACT(doc-restricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	6	7	Film Viewership as Being-in-the-(Cinematic-)World
bor-sec-10	FAIL					Temporal Entrancement in *Drive My Car
bor-sec-10	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	0	0	it is boring for one
bor-sec-10	EXACT(doc-restricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	4	6	time itself bores one
bor-sec-10	EXACT(unrestricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	11	12	the boresome nature of our everydayness
bor-sec-10	EXACT(unrestricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	6	7	time itself (originary temporality) bores Dasein
bor-sec-10	EXACT(unrestricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	6	7	as radically meaningless and groundless
bor-sec-10	EXACT(unrestricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	4	6	inauthentic past, present and future
bor-sec-10	EXACT(unrestricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	6	7	the viewer's disclosedness of the film
bor-sec-10	EXACT(unrestricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	1	2	spectatorial experiences and disclosure of meaning
bor-sec-10	EXACT(unrestricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	1	2	allowing characters' being in the film world
bor-sec-10	EXACT(unrestricted)	1.000	Hadjioannou, C. (ed.) - Heidegger on Affect (2019).pdf	126	127	neither subjective nor objective
bor-sec-10	EXACT(doc-restricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	11	12	the exceedingly fast-changing, lonesome world
bor-sec-10	EXACT(doc-restricted)	1.000	Quaranta, Chiara - In the mood for Geideggerian Boredom - Film viewership as being-in-the-world (2024).pdf	6	7	for a thorough account of Heidegger's boredom and temporality
bor-sec-10	EXACT(unrestricted)	1.000	Hernandez-Alvarez-Pallares (1).pdf	1	3	Cinematographic Analytic of Boredom
bor-sec-11	EXACT(unrestricted)	1.000	Hernandez-Alvarez-Pallares (1).pdf	1	3	Heidegger y la fenomenología de la existencia: una analítica cinematográfica del aburrimiento en la modernidad
bor-sec-11	EXACT(unrestricted)	1.000	Hernandez-Alvarez-Pallares (1).pdf	1	3	Heidegger and the Phenomenology of Existence: A Cinematographic Analytic of Boredom in Modern Times
bor-sec-11	EXACT(unrestricted)	1.000	Hernandez-Alvarez-Pallares (1).pdf	1	3	Cinematographic Analytic of Boredom
bor-sec-11	FAIL					transcending the sign-bound limits of writing
bor-sec-11	FAIL					world of the happy/unhappy
bor-sec-11	FAIL					mood is not a mere accompanying tint of experience
bor-sec-11	EXACT(unrestricted)	1.000	Elpidorou and Freeman - Is Profound Boredom Boredom (2019).pdf	4	6	es ist einem langweilig
bor-sec-11	FAIL					to be analyzed psychologically in order to determine and measure the factors that forged [a] neurosis
bor-sec-11	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	96	97	toward nothing in particular
bor-sec-11	FAIL					no possibility of doing nor any possibility of omitting
bor-sec-11	FAIL					the fundamental mood (*Grundstimmung*) of our era
bor-sec-11	FAIL					a *particular* profound boredom
bor-sec-11	EXACT(unrestricted)	1.000	Heidegger, Martin - The Fundamental Concepts of Metaphysics.pdf	0	0	the fundamental attunement of our contemporary Dasein
bor-sec-11	FAIL					the helpless proclamation of the failure of the pastime
bor-sec-11	FAIL					the pastime is the gathering: that itself ends up boring us
bor-sec-11	FAIL					must shoulder its existence
bor-sec-11	FAIL					according to the factical nature of the horizontal relation between Dasein and world
bor-sec-18	EXACT(unrestricted)	1.000	Mansikka, Jan-Erik - Can Boredom Educate Us - Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View (2008).pdf	1	2	Can Boredom Educate Us? Tracing a Mood in Heidegger's Fundamental Ontology from an Educational Point of View
