subject,stimulus,round,engaged_composite,boredom,engagement,category,highlighted
R2-01,BOR,2,-0.490144321366,8,2,concordant-bored,False
R2-02,BOR,2,-0.696923838289,9,1,concordant-bored,False
R2-03,BOR,2,-0.394249912541,3,6,reverse,False
R2-04,BOR,2,-0.751474329615,7,1,concordant-bored,False
S01,BOR,1,-0.346633904888,6,3,concordant-bored,False
S02,BOR,1,-0.911900103313,9,2,concordant-bored,False
S03,BOR,1,-0.543934784991,9,1,concordant-bored,False
S04,BOR,1,-0.703799055618,1,7,reverse,False
S05,BOR,1,-0.226908704029,9,2,concordant-bored,False
S06,BOR,1,-0.552142572434,4,5,reverse,False
S07,BOR,1,-0.590660936287,9,2,concordant-bored,False
S08,BOR,1,-1.15391212796,9,1,concordant-bored,False
R2-01,CLC,2,-0.286395886432,6,4,concordant-bored,True
R2-02,CLC,2,0.34851531695,8,4,divergent,True
R2-03,CLC,2,-0.510464198976,1,8,reverse,True
R2-04,CLC,2,0.140807801303,2,3,concordant-engaged,True
S01,CLC,1,1.00387472118,3,5,concordant-engaged,True
S02,CLC,1,0.336136370903,8,3,divergent,True
S03,CLC,1,0.528704607211,3,7,concordant-engaged,True
S04,CLC,1,0.87582140057,9,1,divergent,True
S05,CLC,1,-0.215992353647,6,5,concordant-bored,True
S06,CLC,1,-0.0811659124198,6,3,concordant-bored,True
S07,CLC,1,0.650711717716,6,7,divergent,True
S08,CLC,1,0.565121163355,7,3,divergent,True
R2-01,INT,2,0.776540207798,3,6,concordant-engaged,False
R2-02,INT,2,0.348408521339,7,6,divergent,False
R2-03,INT,2,0.904714111517,2,8,concordant-engaged,False
R2-04,INT,2,0.610666528312,3,7,concordant-engaged,False
S01,INT,1,-0.657240816293,2,7,reverse,False
S02,INT,1,0.57576373241,3,6,concordant-engaged,False
S03,INT,1,0.0152301777806,3,7,concordant-engaged,False
S04,INT,1,-0.172022344952,3,7,reverse,False
S05,INT,1,0.442901057676,5,4,divergent,False
S06,INT,1,0.633308484854,8,2,divergent,False
S07,INT,1,-0.060050781429,7,6,concordant-bored,False
S08,INT,1,0.588790964605,5,4,divergent,False
