stimulus,channel,subject,round,value,poolable
BOR,eye openness,S01,1,0.904,True
BOR,eye openness,S02,1,0.805,True
BOR,eye openness,S03,1,0.823,True
BOR,eye openness,S04,1,0.916,True
BOR,eye openness,S05,1,0.212,True
BOR,eye openness,S06,1,0.83,True
BOR,eye openness,S07,1,0.562,True
BOR,eye openness,S08,1,0.421,True
BOR,eye openness,R2-01,2,0.771792246124,True
BOR,eye openness,R2-02,2,0.712359542105,True
BOR,eye openness,R2-03,2,0.845229125743,True
BOR,eye openness,R2-04,2,0.868846494918,True
BOR,pupil dilation,S01,1,2.96459598529,True
BOR,pupil dilation,S02,1,3.4959007483,True
BOR,pupil dilation,S03,1,3.06636286403,True
BOR,pupil dilation,S04,1,2.91097288492,True
BOR,pupil dilation,S05,1,3.21932954417,True
BOR,pupil dilation,S06,1,3.24475014203,True
BOR,pupil dilation,S07,1,3.57928615005,True
BOR,pupil dilation,S08,1,3.60642993124,True
BOR,pupil dilation,R2-01,2,2.81828830717,True
BOR,pupil dilation,R2-02,2,3.41066599642,True
BOR,pupil dilation,R2-03,2,3.87969830931,True
BOR,pupil dilation,R2-04,2,3.78077315469,True
BOR,cognitive load,S01,1,0.571258327824,True
BOR,cognitive load,S02,1,0.421736980959,True
BOR,cognitive load,S03,1,0.520318721513,True
BOR,cognitive load,S04,1,0.595359283461,True
BOR,cognitive load,S05,1,0.664864258541,True
BOR,cognitive load,S06,1,0.595438342235,True
BOR,cognitive load,S07,1,0.405013551034,True
BOR,cognitive load,S08,1,0.337761007802,True
BOR,cognitive load,R2-01,2,0.529869192779,True
BOR,cognitive load,R2-02,2,0.471330339342,True
BOR,cognitive load,R2-03,2,0.558786380246,True
BOR,cognitive load,R2-04,2,0.473266306531,True
BOR,HR,S01,1,79.4072543618,True
BOR,HR,S02,1,68.307973665,True
BOR,HR,S03,1,86.390070922,True
BOR,HR,S04,1,98.4739183178,True
BOR,HR,S05,1,57.7666523421,True
BOR,HR,S06,1,92.2900575185,True
BOR,HR,S07,1,93.2565517241,True
BOR,HR,S08,1,89.3710446467,True
BOR,HR,R2-01,2,,True
BOR,HR,R2-02,2,,True
BOR,HR,R2-03,2,78.7041666667,True
BOR,HR,R2-04,2,72.971291866,True
BOR,gaze deviation variance,S01,1,0.0107842078986,False
BOR,gaze deviation variance,S02,1,0.00953065061937,False
BOR,gaze deviation variance,S03,1,0.0094745823527,False
BOR,gaze deviation variance,S04,1,0.0169382654317,False
BOR,gaze deviation variance,S05,1,0.00858120563743,False
BOR,gaze deviation variance,S06,1,0.0156226650676,False
BOR,gaze deviation variance,S07,1,0.0105209882133,False
BOR,gaze deviation variance,S08,1,0.0078297281665,False
BOR,gaze deviation variance,R2-01,2,0.012287364579,False
BOR,gaze deviation variance,R2-02,2,0.0114349703609,False
BOR,gaze deviation variance,R2-03,2,0.008093826179,False
BOR,gaze deviation variance,R2-04,2,0.00975656203734,False
BOR,gaze deviation median,S01,1,0.148497449904,False
BOR,gaze deviation median,S02,1,0.185243758329,False
BOR,gaze deviation median,S03,1,0.198297755913,False
BOR,gaze deviation median,S04,1,0.205063405581,False
BOR,gaze deviation median,S05,1,0.173011560307,False
BOR,gaze deviation median,S06,1,0.241530182077,False
BOR,gaze deviation median,S07,1,0.184352922407,False
BOR,gaze deviation median,S08,1,0.102039080024,False
BOR,gaze deviation median,R2-01,2,0.180532105792,False
BOR,gaze deviation median,R2-02,2,0.194338830954,False
BOR,gaze deviation median,R2-03,2,0.128298153116,False
BOR,gaze deviation median,R2-04,2,0.12182053359,False
