edge_id,source,target,relation,contributor,anchor_pdf,anchor_book,note
US05-E001,irreconcilable-difference,two-cultures,answers-with-qualified-no,Gross & Preston,155,145,Volume titular question receives qualified-No answer; differences are reconcilable only via rhetorical-situational reframing
US05-E002,dissolution-of-two-cultures,incommensurability-response,refuses,Gross & Preston,140,130,Authors explicitly refuse the third-response slot — they DISSOLVE rather than respond to the Snow problem
US05-E003,dissolution-of-two-cultures,consilience-response,refuses,Gross & Preston,140,130,E. O. Wilson + Pinker consilience is reductive and sacrifices local cultural texture
US05-E004,POS-against-consilience-reduction,POS-snow-dichotomy-contested,critiques-via,Gross,140,130,Pinker reads Austen's Sense and Sensibility via Trivers's 'moral emotions' — strawman of consilience approach
US05-E005,phelps-2000-study,fMRI-methodology,exemplifies,Preston,147,137,Phelps et al. 2000 J. Cog. Neuroscience 12.5:729-738 is the chief test object
US05-E006,phelps-experiment-1,modern-racism-scale,does-not-correlate-with,Preston,148,138,Differential amygdala activity in Exp. 1 correlated with UNCONSCIOUS measures (startle, bias) but NOT with MRS self-report
US05-E007,phelps-experiment-1,phelps-experiment-2,is-contrasted-with,Preston,148,138,Exp. 2 with famous + positively regarded faces did NOT reproduce the differential amygdala pattern of Exp. 1
US05-E008,rhetorical-situational-reframing,phelps-2000-study,reframes,Gross,149,139,Gross's signal contribution: Phelps's amygdala-correlate must be referred to racist INSTITUTIONS exceeding any brain state
US05-E009,racism-located-in-institutions,rhetorical-situational-reframing,grounds,Gross,149,139,'Racism is not located primarily in the brain. It is located primarily in the racist institutions — like US race-based slavery and subsequent Jim Crow laws'
US05-E010,familiarity-as-mediation,phelps-experiment-2,critiques,Gross,149-150,139-140,Arsenio Hall familiarity for white subject is televisual/capital mediation NOT face-to-face — Phelps may be correlating CELEBRITY with unconscious racial attitudes
US05-E011,markedness-of-celebrity,phelps-experiment-2,destabilizes,Gross,150,140,Fame + achievement unevenly distributed across Black/White populations; famous Black face carries markedness famous White face does not
US05-E012,mlk-jfk-equivalence,markedness-of-celebrity,instantiates,Gross,150,140,Phelps's pairing of MLK Jr. with JFK as 'roughly equivalent' is itself a rhetorical-political claim about US public memory
US05-E013,familiarity-as-mediation,Olaudah Equiano,cross-references,Gross,150,140,Recall Equiano's Ch.2 'familiarity' with slavemaster Henry Pascal — familiarity did not mitigate racism in racialized slave culture
US05-E014,POS-laboratory-eight-limits,fMRI-methodology,critiques,Preston,141-147,131-137,Eight-point critique: technological + monetary + journal-impact + media + localization + expertise-limits + reverse-inference + technocratic-hierarchy
US05-E015,reverse-inference,fMRI-methodology,methodologically-constrains,Preston,144,134,Poldrack 2006 critique discourages inferring same cognitive process from same brain region across studies
US05-E016,localization-illusion,fMRI-methodology,is-rhetorical-distortion-of,Preston,143,133,'Social brain' (Frith) / 'empathy circuit' (Baron-Cohen) / 'self-related regions' are oversimplified shorthand
