source,relation,target,locus,note
ped-sec-27,treats-construct,social presence / co-presence,"p.34, 38, 40-43","Central construct, re-operationalized: retains Short et al.'s (1976) definition as inherited starting point but resolves it empirically into three factors (social context, online communication, interactivity) via EFA on N=310 (FAITHFUL-Tu)."
ped-sec-27,treats-construct,agency / interactivity,p.41,"Treated as social presence's own constituent 'interactivity' factor (pleasant, immediate-reply, responsive, comfortable-with-familiar-topics), not a manipulated experimental condition (FAITHFUL-Tu, qualified P/anticipatory-application)."
ped-sec-27,cites-cluster-author,ped-sec-25,"p.34, 39","Names Gunawardena & Zittle (1997) directly as the sole prior CMC-context alternative to Short et al.'s scale, then critiques it as still incomplete: privacy, recipients, and topics unaddressed; some items group-specific (FE)."
ped-sec-27,contests-reading-of,"Gunawardena & Zittle's (1997) social-presence instrument (ped-sec-25)","p.34, 39","Judges ped-sec-25's fix an improvement over Short et al. that nonetheless remains incomplete (FE, p.34, 39)."
ped-sec-27,cites-cluster-author,ped-sec-26,p.34 (in-text list),"Cites Garrison, Anderson & Archer (in-text as 2000; same paper as ped-sec-26's Community-of-Inquiry source) among studies postulating social presence's potential for future study (FE)."
ped-sec-27,defines,social presence (TERM),p.34-35,"Retains Short et al.'s (1976) 'salience of another person' definition as inherited starting point, then argues it needs CMC-specific redefinition given CMC's multiple-identity and anonymity characteristics (FE, p.34-35)."
ped-sec-27,defines,Social Presence and Privacy Questionnaire (SPPQ) (TERM),p.38-40,"Tu's own 59-item instrument (17 social-presence items, 13 privacy items, 12 demographic items), adapted from Steinfield (1986) and Witmer (1997) plus literature-derived items (FAITHFUL-Tu, p.38-39)."
ped-sec-27,instances-in-text,e-mail (MEDIA-CONDITION / CMC channel),"p.40-42","One of three CMC channels compared throughout Results; consistently rated highest on social-context, online-communication, and interactivity items (FAITHFUL-Tu)."
ped-sec-27,instances-in-text,bulletin board (MEDIA-CONDITION / CMC channel),p.41-42,"CMC channel rated lowest on conveying feeling/emotion and stimulation; rated most impersonal among the three (FAITHFUL-Tu, p.41-42)."
ped-sec-27,instances-in-text,real-time discussion (MEDIA-CONDITION / CMC channel),p.41,"CMC channel rated highest on immediacy of replies (66%) reflecting its synchronous character (FAITHFUL-Tu, p.41)."
ped-sec-27,cites,"Short, John A., Ederyn Williams & Bruce Christie (INTERLOCUTOR)","p.34, 38-39","Origin theory and origin instrument: the four-item semantic-differential scale and 'salience of another person' definition Tu inherits then contests as too general for CMC (FE)."
ped-sec-27,cites,"Osgood, Charles E., George J. Suci & Percy H. Tannenbaum (INTERLOCUTOR)","p.34, 38","Originators of the semantic-differential technique underlying Short et al.'s instrument; Tu's second critique targets the technique's tendency to invite inconsistent respondent interpretation of keywords (FE)."
ped-sec-27,cites,"Steinfield, Charles W. (INTERLOCUTOR)","p.37, 38-39","Source of the 16-item CMC-attitude instrument adapted into the SPPQ; also reviewed as a prior application-of-social-presence-to-CMC study on organizational e-mail use (FAITHFUL-Tu)."
ped-sec-27,cites,"Witmer, Diane F. (INTERLOCUTOR)","p.36, 39, 43-44","Source of the 32-item perceived-privacy instrument adapted into the SPPQ; her 'Risk-Taking Behavior' finding is invoked to interpret Tu's own 'controversial' privacy results (FAITHFUL-Tu). NOT the same Witmer as ped-sec-02 (Bob G. Witmer & Michael J. Singer)."
ped-sec-27,cites,"Champness, B.G. (INTERLOCUTOR)","p.35-37","Lab studies establishing the social-presence factor's separability from an Aesthetic Appeal factor; source of the 'feeling of privacy' construct (FAITHFUL-Tu)."
ped-sec-27,cites,"Christie, Bruce (INTERLOCUTOR)",p.37,"Further lab studies confirming social presence's separability from Aesthetic Appeal; established text-based media (business letter) as lowest in social presence among tested media (FAITHFUL-Tu)."
ped-sec-27,cites,"Gunawardena, Charlotte N. (solo, 1995) (INTERLOCUTOR)",p.37-38,"Distance-education conferencing study cited as prior evidence learners actively construct social presence in text-based CMC despite lacking non-verbal cues (FAITHFUL-Tu)."
ped-sec-27,cites,"Hackman, Michael Z. & Kathleen B. Walker (INTERLOCUTOR)",p.35,"Prior interactive-television finding (system design + teacher immediacy affect learning/satisfaction) cited as the precedent Gunawardena & Zittle extend to CMC (FE)."
ped-sec-27,cites,"Neumann, Peter (INTERLOCUTOR)",p.35-36,"Source of the 'illusion of privacy' construct (users underestimate visibility to lurkers), incorporated into the SPPQ's privacy review (FAITHFUL-Tu)."
ped-sec-27,cites,"Kerr, Elaine B. & Starr Roxanne Hiltz (INTERLOCUTOR)",p.36,"Source of the 'system privacy' construct (concern messages may be intercepted/reposted), incorporated into the SPPQ's system-privacy factor (FAITHFUL-Tu)."
ped-sec-27,cites,"Garramone, G.M., A.C. Harris & R. Anderson (INTERLOCUTOR)",p.37,"Political-bulletin-board study cited as an early CMC application of social presence theory; found interactive users perceived greater social presence than non-interactive users (FAITHFUL-Tu)."
ped-sec-27,cites,"Perse, E.I. et al. (INTERLOCUTOR)",p.37-38,"College CMC-use study cited as an educational application of social presence theory predicting CMC use from computer attitude and social presence (FAITHFUL-Tu)."
ped-sec-27,defines,online privacy (non-canonical construct),p.35-36,"Five sub-constructs reviewed (feeling of privacy, illusion of privacy, risk-taking behavior, nonchalant attitude, system privacy), later instantiated as two of the SPPQ's five emergent factors (FAITHFUL-Tu)."
ped-sec-27,defines,measurement-instrument validity (non-canonical construct),p.38-40,"Content validity (item-objective matching, lemon items) and construct validity (EFA, Cronbach's alpha) treated as first-order objects of the article's own argument (FE)."
ped-sec-27,qualifies,social presence / co-presence,p.43,"Social presence is jointly a function of media attributes, user perception, and user activity/engagement — not media attributes alone, resisting a purely technology-determinist reading (FE, p.43)."
ped-sec-27,qualifies,online privacy (non-canonical construct),p.43,"Social presence x privacy correlation is significant but weak, r(319)=.30, p<.01; privacy's status as a genuine social-presence dimension left unresolved (FAITHFUL-Tu)."
ped-sec-27,concedes,measurement-instrument validity (non-canonical construct),p.43-44,"SPPQ's alpha values (.74-.85) characterized as 'medium-low'; instrument offered only as 'a first step,' not a finished measure; three dropped items flagged for further scrutiny (FE)."
ped-sec-27,instances-in-text,item-objective matching / lemon items (TERM),p.38-40,"Content-validation method: five-expert panel matches items to eight objectives; three deliberately irrelevant 'lemon' items check panel accuracy; chi-square test of expert independence, chi2(28)=13.51, p<.05, below critical value 41.337 (FAITHFUL-Tu)."
ped-sec-27,bridges-to-vle,vle-01-deployment-survey,n/a,"(P/anticipatory-application) vle-01's survey elicits student-reported perceived social/co-presence with peers, sitting downstream of exactly this measurement lineage; flags that 'social presence' as a self-report construct has an unsettled operational history rather than one canonical scale."
