source,relation,target,locus,note
bor-sec-49,defines,TERM:Befindlichkeit (disposedness),p.105,"basic existential of being disposed; discloses that and how Dasein is (SZ 134-138)"
bor-sec-49,defines,TERM:Stimmung (mood/attunement),p.105-106,"existentiel/ontic correlate felt through disposedness; irreducible to knowing or willing"
bor-sec-49,instances-in-text,THEORY-MODEL:three essential characters of Befindlichkeit,p.106-107,"thrownness-disclosure; equiprimordial disclosure of world/Mitdasein/existence; world-openness and mattering (SZ 137)"
bor-sec-49,treats-construct,CONSTRUCT:monotony / meaninglessness,p.109-111,"angst discloses the meaninglessness of innerworldly beings and of Dasein's own being-in-the-world as such (SZ 186-188); treated as angst's object, not boredom's"
bor-sec-49,treats-construct,CONSTRUCT:flow / engagement (contrast pole),p.115-118,"curiosity's restless distractedness and fallenness's sedating tranquility of absorption analyzed as affectively-marked, inauthentic modes of worldly engagement"
bor-sec-49,treats-construct,CONSTRUCT:attentional disengagement / meta-awareness,p.109,"(P/anticipatory-application) moods can be 'transparent' -- we can be oblivious to the disposedness underlying them; an opacity-of-affect structure analogous to boredom's meta-awareness literature, though the chapter never applies it to boredom"
bor-sec-49,treats-construct,CONSTRUCT:temporality of boredom (time-drag),p.109-111,"(P/anticipatory-application) fear/angst temporal analysis (Gewesenheit, awaiting vs. anticipatory running-ahead) is the general architecture bor-sec-03's boredom-specific temporal account extends to time-drag; this chapter itself never discusses boredom"
bor-sec-49,treats-construct,CONSTRUCT:profound/deep boredom (FCM 3rd form),n.16 p.123,"boredom named only once in the entire chapter, solely inside a citation of Elpidorou and Freeman's companion-essay title ('Temporality, Boredom, and Beyond'); not analyzed here in any respect"
bor-sec-49,defines,DEBATE-AXIS:equiprimordiality-in-doctrine vs. equiprimordiality-in-practice,p.111-113,"Dahlstrom's central critical thesis: Heidegger's explicit doctrine that disposedness and understanding are equiprimordial (SZ 160, 220) contradicted by his own lexical/structural practice"
bor-sec-49,instances-in-text,TERM:Gleichursprünglichkeit (equiprimordiality),p.111-113,"the doctrine that disposedness and understanding are co-equal, non-derivative existentials"
bor-sec-49,contests,READING/CLAIM:Heidegger's equiprimordiality doctrine is fully realized in BT's execution,p.112,"'befindliches Verstehen' surfaces at least fourteen times vs. only four occurrences of the reverse order 'verstehende Befindlichkeit'"
bor-sec-49,instances-in-text,TERM:Seinsverständnis (understanding of being),p.112-113,"pervasive throughout BT with no parallel Seinsbefindlichkeit or Seinsstimmung (SZ 12, 85)"
bor-sec-49,defines,TERM:Begleitphänomenen (accompanying phenomena),p.113,"Heidegger's own diagnosis of how the tradition since Aristotle demotes emotions/feelings to a third class of mental phenomena, alongside presenting and willing"
bor-sec-49,instances-in-text,INTERLOCUTOR:Aristotle,p.108-109; n.29 p.124,"moods 'first for us,' disposedness 'first by nature'; also cited on hexis/pathos/hedone vis-a-vis Heidegger's 1924 lectures on the Grundbegriffe der aristotelischen Philosophie (GA 18)"
bor-sec-49,instances-in-text,INTERLOCUTOR:Max Scheler,p.105-106; p.113,"credited (with Kant, Mendelssohn, Hamilton) for a tradition asserting affectivity's irreducibility to knowing/willing that Heidegger continues but also faults for lacking ontological interpretation"
bor-sec-49,cites,INTERLOCUTOR:Eugene Gendlin,n.1 p.120,"cited for the claim that Befindlichkeit is 'both inward and outward but prior to their differentiation' (1978/1979), supporting 'disposedness' as translation"
bor-sec-49,cites,INTERLOCUTOR:Lauren Freeman (2016 solo),p.106,"cited early for 'attuned through mood' (Freeman 2016, 248) to open the chapter's positive reconstruction"
bor-sec-49,treats-construct,THEME:existential/existentiel distinction,p.108-109,"disposedness (existential/structural) vs. mood/feeling/emotion (existentiel/ontic); moods 'first for us,' disposedness 'first by nature'"
bor-sec-49,instances-in-text,TERM:Angst / Grundbefindlichkeit / Grundstimmung,p.109-111; n.6 p.121-122,"angst analyzed structurally in parallel with fear; note 6 observes Heidegger names Angst both a Grundbefindlichkeit and a Grundstimmung (SZ 188-190, 310)"
bor-sec-49,shifts-debate-axis,DEBATE-AXIS:anxiety vs. profound boredom as candidate Grundstimmung,n.6 p.121-122,"(P/anticipatory-application) independently corroborates bor-sec-02's flagged rarity of 'Grundstimmung' in BT by locating one of its two named occurrences (SZ 310) inside the very resoluteness passage this chapter's §3 analyzes"
bor-sec-49,instances-in-text,TERM:das Man / everydayness,p.114-116,"idle talk, ambiguity, and curiosity surveyed for affective content; curiosity's restlessness/excitement is the one everyday phenomenon Heidegger treats affectively in full"
bor-sec-49,instances-in-text,TERM:Verfallensein / fallenness,p.116-118,"the 'sedating tranquility' of absorption in das Man and the Wirbel (whirlwind) metaphor for the 'dizzying plunge into nothingness'"
bor-sec-49,treats-construct,TERM:Eigentlichkeit / authenticity (Entschlossenheit),p.118-120,"wanting-to-have-a-conscience, uncanniness, angst-preparedness, sober angst and armed joy (SZ 288-310) as the chapter's central test case for the equiprimordiality critique"
bor-sec-49,contests,READING/CLAIM:Heidegger's scope-disclaimer excuses the affective gap in authenticity,p.119-120,"judged 'a dodge or diversion' since Heidegger freely enlists moods (curiosity, tranquility, uncanniness) elsewhere when it suits his purposes"
