source,relation,target,locus,note
bor-sec-27,defines,arousal/activation distinction (EEG-level operationalization),~p.2765-2766,"The paper's core theoretical contribution: separates 'arousal' (current energetic level, global/topography-flat) from 'activation' (task-related energy mobilization, topographically-focal), operationalizing Pribram and McGuinness's (1975) attention-system distinction at the EEG level for the first time (FAITHFUL-Barry et al., ~p.2765-2766)."
bor-sec-27,treats-construct,flow / engagement (contrast pole),~p.2766-2768,"Analogical only, not the authors' framing: the eyes-open visual-fixation/processing condition loosely parallels an 'engaged' state relative to passive eyes-closed rest; offered to meet this strand's mandatory treats-construct requirement honestly given the source never discusses engagement or boredom (P/anticipatory-application)."
bor-sec-27,treats-construct,attentional disengagement / meta-awareness,~p.2766,"Analogical only: eyes-closed rest (no external target, no visual-processing demand) is the paper's closest physiological analogue to reduced external engagement; the source itself never characterizes eyes-closed rest this way (P/anticipatory-application)."
bor-sec-27,operationalizes-measure,EEG eyes-open vs. eyes-closed,~p.2767-2771,"Central paradigm: 32 min alternating 2-min eyes-closed/eyes-open blocks, 'triplet' order-controlled design, 19-site 10-20 system, N=28; global power reductions in all 4 bands with eyes-open, differential topographic patterns per band (FAITHFUL-Barry et al., ~p.2767-2771)."
bor-sec-27,operationalizes-measure,EEG alpha/theta power,~p.2768-2771,"Absolute power via FFT (Welch window); alpha = global arousal marker (uniform ~40% reduction, tracks SCL); theta = activation marker (global reduction, significantly larger posteriorly) (FAITHFUL-Barry et al., ~p.2768-2771)."
bor-sec-27,operationalizes-measure,heart rate / HRV (+ skin conductance),~p.2767-2771,"Skin conductance level (SCL) continuous at 64Hz from non-dominant-hand digit electrodes; increases eyes-closed to eyes-open (F=5.53, p<.05); negatively correlated with alpha at 2 of 3 eyes-closed periods and with the alpha change score (r=-.32) (FAITHFUL-Barry et al., ~p.2767, 2769, 2771)."
bor-sec-27,construct-measured-by,arousal (current energetic level) <- EEG alpha power (global),~p.2770-2771,"The paper's own internal construct-measure pairing: arousal is operationalized via alpha power's uniform, non-topographic, SCL-tracking reduction (FAITHFUL-Barry et al., ~p.2770-2771)."
bor-sec-27,construct-measured-by,activation (task-related energy mobilization) <- EEG topographic delta/theta/beta changes,~p.2769-2771,"The paper's own internal construct-measure pairing: activation is operationalized via regionally-focal (non-uniform) changes in delta, theta, and beta power (FAITHFUL-Barry et al., ~p.2769-2771)."
bor-sec-27,cites,"Berger, H. (1933); Adrian, E.D., & Matthews, B.H.C. (1934); Jasper, H.H. (1936); Smith, J.R. (1938)",~p.2765,"Foundational discovery lineage of occipital alpha suppression with visual stimulation/eye-opening, the phenomenon this paper decomposes into arousal and activation components (FAITHFUL-Barry et al., ~p.2765)."
bor-sec-27,cites,"Volavka, J., Matousek, M., & Roubicek, J. (1967); Gale, A., Coles, M., & Boyd, E. (1971)",~p.2765-2766,"Proponents of the Reticular Activating System (RAS) mediation account of alpha desynchronization to visual input (FAITHFUL-Barry et al., ~p.2765-2766)."
bor-sec-27,cites,"Gevins, A., Smith, M.E., McEvoy, L., & Yu, D. (1997); Basar, E., & Schurmann, M. (1999); Klimesch, W. (1999)",~p.2766,"Proponents of the widespread thalamo-cortical communication account of alpha desynchronization, the rival mechanistic account to RAS mediation (FAITHFUL-Barry et al., ~p.2766)."
bor-sec-27,extends,"Barry, R.J., Clarke, A.R., McCarthy, R., Selikowitz, M., Rushby, J.A. (2005a)",~p.2766,"Extends the CPT study's arousal/activation distinction (previously demonstrated via SCL and behavioral efficiency) into the domain of EEG topography, not examined in the earlier paper (FAITHFUL-Barry et al., ~p.2766)."
bor-sec-27,extends,"Barry, R.J., Rushby, J.A., Wallace, M.J., Clarke, A.R., Johnstone, S.J., Ilinka, Z. (2005b)",~p.2766/2768,"Extends the caffeine study's use of absolute (not relative) EEG power and global-alpha/SCL arousal linkage into a topographic, multi-band eyes-closed/eyes-open design (FAITHFUL-Barry et al., ~p.2766, 2768)."
