source,relation,target,locus,note
ped-sec-08,treats-construct,cognitive load (extraneous vs germane),"p.2-3, 9-10","Central explanatory construct for Experiment 1's deficit; coherence/segmenting principle violations by IVR's continuous 360-degree animation invoked as the mechanism (FAITHFUL-Parong&Mayer)."
ped-sec-08,treats-construct,affect: enjoyment & intrinsic motivation,p.7-8,"Operationalized via 7-point postquestionnaire items (enjoyment, would-learn-this-way-again, happiness, excitement, boredom); IVR significantly higher/lower(boredom) than slideshow (FAITHFUL-Parong&Mayer)."
ped-sec-08,treats-construct,situational interest,"p.3-4, 7","Invoked via interest theory (Schiefele) and Dewey's seductive-details caution; reflected in interest-item ratings (FAITHFUL-Parong&Mayer)."
ped-sec-08,treats-construct,self-efficacy,p.3-4,"Invoked theoretically (Bandura, Schunk, Pintrich) as a second motivational route; not independently operationalized as a distinct scale in this study (FE; P/anticipatory-application on the theory-only status)."
ped-sec-08,treats-construct,engagement / flow,"p.7, 9","Single postquestionnaire item; IVR significantly higher than slideshow (Exp.1); unchanged between VR and VR+ (Exp.2) (FAITHFUL-Parong&Mayer)."
ped-sec-08,treats-construct,learning outcomes: retention & transfer,p.6-9,"Primary dependent variable; 20-item posttest (16 factual MC + 4 conceptual short-answer, alpha=.78), scored total and by item type (FAITHFUL-Parong&Mayer)."
ped-sec-08,tests-condition,IVR (HMD),p.6-7,"HTC Vive HMD + hand controllers, room-scale (~12x12 ft); 'The Body VR: Journey Inside a Cell,' ~12 min, N=27 (Exp.1), N=29/28 (Exp.2 VR/VR+) (FAITHFUL-Parong&Mayer)."
ped-sec-08,tests-condition,2D video / slideshow / text,p.6-7,"Self-paced PowerPoint slideshow, desktop computer, content/wording transcribed verbatim from VR narration, N=28, ~8 min (FAITHFUL-Parong&Mayer)."
ped-sec-08,construct-under-condition,learning outcomes: retention & transfer x IVR (HMD),p.7,"VR group M=10.17/20 total, M=7.74/16 factual, M=2.43/4 conceptual (FAITHFUL-Parong&Mayer, Table 1)."
ped-sec-08,construct-under-condition,learning outcomes: retention & transfer x 2D video / slideshow / text,p.7,"Slideshow group M=13.54/20 total (d=0.92), M=11.00/16 factual (d=1.12), M=2.53/4 conceptual (d=0.08, ns) (FAITHFUL-Parong&Mayer, Table 1)."
