source,relation,target,locus,note
bor-sec-20,defines,Predictive-processing model,"pp.8-13, 16-20","Darling's own THEORY-MODEL apparatus formally operationalizing boredom's mechanism (prediction error, precision-weighting, hyperpriors) rather than reporting first-party data (FAITHFUL-Darling, pp.8-13, 16-20)."
bor-sec-20,treats-construct,Predictive-processing model,"pp.8-13, 16-20","Central formal apparatus: interoceptive, information-theoretic (valence), and computational (Hesp et al.) accounts of affect; mood modeled as hyperprior (FAITHFUL-Darling, pp.8-13)."
bor-sec-20,treats-construct,Boredom-as-regulatory-signal (functional account),"pp.2, 4-6, 12-14","Adopted from Eastwood et al. (2012) and re-derived in SS5.1 as a mechanism tracking the rate, not just presence, of prediction-error reduction relative to an agent's expected rate (FAITHFUL-Darling, pp.12-14)."
bor-sec-20,treats-construct,Monotony / meaninglessness,"pp.4-6, 15, 18-19","Drives boredom's self-regulatory search in SS2 (citing Van Tilburg & Igou; Chan et al. 2018); resurfaces in SS5.3 as existential boredom's affective core, likened to Frankl's 'existential vacuum' (FAITHFUL-Darling, p.19)."
bor-sec-20,treats-construct,Flow / engagement (contrast pole),"pp.4, 6, 13-14, 18-19","Never named as such (no Csikszentmihalyi citation), but functions throughout as boredom's implicit contrast via 'meaningful engagement' and the world's 'affective allure' (Krueger & Colombetti) (FE)."
bor-sec-20,treats-construct,Situational vs. trait/state boredom,"pp.3, 5-6, 20","Engaged via the unitary-vs-plural debate (Elpidorou 2021; Tempelaar & Niculescu 2022); predictive processing's levels/timescales resolution dissolves rather than adjudicates this state/trait-adjacent question (FE)."
bor-sec-20,treats-construct,Boredom proneness,p.15,"Light touch: term not used in Darling's own prose, but the maladaptive-escape discussion leans on a boredom-proneness/addiction literature cluster (FAITHFUL-Darling, p.15)."
bor-sec-20,treats-construct,Profound/deep boredom (FCM 3rd form),"pp.6-9, 15, 18-19","Engaged thematically via Grundstimmung and the 'sticky hyperprior'/depression analysis, not via FCM's own tripartite vocabulary (FE; see readings)."
bor-sec-20,treats-construct,Attentional disengagement / meta-awareness,"pp.4-5, 17","Framed as boredom's central regulatory mechanism ('the mind may wander'); later reframed as a candidate mechanism for precision-estimation (footnote 10) (FAITHFUL-Darling, p.17)."
bor-sec-20,treats-construct,Mind-wandering / task-unrelated thought,p.4,"Named explicitly via the 'mind may wander' phrase; not elaborated as a distinct construct beyond this single mention (FAITHFUL-Darling, p.4)."
bor-sec-20,operationalizes-measure,Behavioral (RT / errors / performance-monitoring),"pp.4, 15","Yakobi et al. (2021), Cheyne et al. (2006), Carriere et al. (2008), and Milyavskaya et al. (2019) cited as literature evidence for attentional lapses and reward-sensitivity; none engaged as first-party data (FAITHFUL-Darling, pp.4, 15)."
bor-sec-20,cites,"Slaby, Jan (2010)",p.2,"Source of the Grundstimmung framing paraphrased at the paper's outset: boredom as a fundamental mood disclosing 'the predicament of human existence' (FAITHFUL-Darling, p.2)."
