subject,stimulus,round,gaze_horiz_range_deg,gaze_vert_median_deg,gaze_deg_median,gaze_deg_p90
R2-01,BOR,2,36.726285414,-0.215070714858,10.3674318998,20.807874279
R2-01,CLC,2,19.6238763817,0.723917018548,9.94038766056,18.8031378758
R2-01,INT,2,32.7672957577,-4.94665355003,9.16683540488,22.023775601
R2-02,BOR,2,33.4129726582,-6.30968439515,11.7541703009,23.1252178355
R2-02,CLC,2,24.5245546304,-4.77469272776,9.01873745134,20.709508242
R2-02,INT,2,31.2873588875,-5.54629879871,10.463958266,22.4358467802
R2-03,BOR,2,26.5055613673,2.70339052721,10.987646576,23.6678176098
R2-03,CLC,2,20.9392385846,-4.12664427927,9.66128945109,19.3568990477
R2-03,INT,2,24.7661268717,-7.57357472726,13.6236949082,24.98611876
R2-04,BOR,2,24.0755332323,4.31948599966,8.68092190582,16.0995292691
R2-04,CLC,2,23.4369136336,3.81815250167,7.87290470723,16.1475037021
R2-04,INT,2,23.7240108947,0.25047940568,6.38837779251,16.098931027
S01,BOR,1,36.792386083,-12.3605298254,15.3543968349,26.2970690641
S01,CLC,1,23.2764043027,-2.35043242601,7.08569107679,19.3019016358
S01,INT,1,29.9767086849,-5.7383126617,9.19540975616,20.8935473604
S02,BOR,1,36.6897546064,-7.702116134,13.2915798551,23.9465991946
S02,CLC,1,27.232640666,-4.18581670916,10.5781568018,23.6686599354
S02,INT,1,36.3558717643,-10.3747435279,14.4113764103,27.638079577
S03,BOR,1,32.9365205427,0.22923772207,11.2522449133,21.369396204
S03,CLC,1,32.7531216285,2.40789105751,11.5521456789,20.0908610952
S03,INT,1,31.7654047381,3.35351422145,10.3992882175,20.6163028519
S04,BOR,1,44.4882382175,5.10625452097,14.7654437423,26.0599051473
S04,CLC,1,29.1689786013,-4.70590101196,16.0855301185,24.655066247
S04,INT,1,40.1267058031,2.46469051624,12.285310819,26.1074024014
S05,BOR,1,34.2727716508,-6.65969814874,11.2384910776,25.0716223629
S05,CLC,1,20.227182649,4.81715232198,9.16401981223,18.3140978075
S05,INT,1,25.9662850929,-9.32390089516,12.3392569554,22.4581086175
S06,BOR,1,37.6969808186,-16.0194205092,20.1677068393,31.2158955924
S06,CLC,1,34.3760181392,-4.41539864402,18.8398235053,29.4051761449
S06,INT,1,31.4868662519,-2.06370041777,10.3553608906,23.0254920085
S07,BOR,1,146.987485822,-10.4260927753,13.6468679207,32.480103271
S07,CLC,1,28.1088339038,-2.52086567702,6.74802970029,19.8932077883
S07,INT,1,37.1383367126,-3.72895610361,11.0763611109,20.7563639352
S08,BOR,1,17.195022963,-13.4750563484,14.7488036004,19.107018764
S08,CLC,1,17.8021207939,0.515750216559,6.9558631527,16.699316935
S08,INT,1,32.5134118953,0.0572924089088,10.2664179002,20.6549039498
