subject,round,category,engaged_composite,boredom,engagement
R2-01,2,divergent,0.295794992633,6,4
R2-02,2,divergent,0.587909135954,8,4
S06,1,divergent,0.121369627746,6,3
S07,1,divergent,0.986476156338,6,7
S08,1,divergent,0.7695059262,7,3
R2-03,2,concordant-engaged,0.576356184451,1,8
R2-04,2,concordant-engaged,0.649480274681,2,3
S01,1,concordant-engaged,0.774808700231,3,5
S03,1,concordant-engaged,0.319203124083,3,7
S02,1,concordant-bored,-0.689703824867,8,3
S04,1,concordant-bored,-0.243594276207,9,1
S05,1,concordant-bored,-0.264750418808,6,5
