source,relation,target,locus,note
ped-sec-30,treats-construct,social presence / co-presence,p.344-347,"Central critical treatment: social presence theory (Short Williams & Christie) is set against Walther's competing time-based account; treated as a disputed explanatory variable, not a settled predictor (FAITHFUL-Kreijns)."
ped-sec-30,treats-construct,social presence / co-presence,"p.340-341","Pitfall-1 operationalization: media richness and communication apprehension identified as CMC-specific barriers reducing perceived social presence relative to face-to-face settings (FAITHFUL-Kreijns, p.340-341)."
ped-sec-30,treats-construct,engagement / flow,p.342-344,"Affective structure (affiliation, impression formation, interpersonal attraction -> cohesion/trust) treated as the unmeasured precondition for sustained collaborative engagement; analogical mapping onto the concordance row, not the source's own vocabulary (P/anticipatory-application)."
ped-sec-30,treats-construct,learning outcomes: retention & transfer,"p.335, 337-338","Opening claim, citation-supported not independently tested, that dialogic collaborative processes support deeper learning, critical thinking, and long-term retention (FE, citing Van der Linden & Renshaw 2001; Garrison Anderson & Archer 2001; Johnson & Johnson 1999)."
ped-sec-30,defines,Pitfall 1 -- automatic-interaction assumption (THEME),p.340-341,"Taking for granted that social interaction automatically occurs because a CSCL environment technologically permits it; availability of communication media is 'necessary, but not sufficient' (FAITHFUL-Kreijns, p.341)."
ped-sec-30,defines,Pitfall 2 -- cognitive-only restriction (THEME),p.341-342,"Restricting designed social interventions to task/cognitive processes while neglecting the social-psychological dimension (trust, warmth, belonging) needed for willing collaboration (FAITHFUL-Kreijns, p.341-342)."
ped-sec-30,defines,affective structure (TERM),p.342-343,"Affiliation + impression formation + interpersonal attraction -> group cohesion and mutual trust (FAITHFUL-Kreijns, p.342-343)."
ped-sec-30,instances-in-text,Valued Learning Experience = F[Pedagogy Content Community] (Gilroy formula) (THEME),p.342,"Adapted multiplicative formula: any of the three factors approaching zero collapses the whole function; illustrative heuristic, not a fitted statistical model (FAITHFUL-Kreijns, adapting Gilroy 2001, p.342)."
ped-sec-30,qualifies,social presence / co-presence,p.346-347,"Walther's time-based counter-account: reduced social-presence effects in CMC may be an artifact of insufficient interaction time for impression development, not a fixed medium property (FAITHFUL-Kreijns, p.346-347)."
ped-sec-30,contests,purely cognitive/functional CSCL design (READING/CLAIM),p.349-350,"Article's own closing critique: environments that solely support cognitive/task processes forget participants are social beings seeking affiliation as well as information, quoting Sproull & Faraj's 'gathering' metaphor (FAITHFUL-Kreijns, p.349-350)."
ped-sec-30,instances-in-text,free-rider / social loafing / sucker effect (THEME),p.339-340,"Catalog of negative collaboration dynamics (Kerr & Bruun; Latané Williams & Harkins; Kerr) that structured collaborative-learning conditions are designed to counter (FE, p.339-340)."
ped-sec-30,defines,epistemic fluency (TERM),p.338,"Morrison & Collins's definition -- the ability to identify and use different ways of knowing across epistemic frameworks -- as the cognitive approach to structuring collaboration (FAITHFUL-Kreijns, p.338)."
ped-sec-30,instances-in-text,zero-history groups (THEME),p.336,"Distinguishing feature of CSCL DLGs vs. face-to-face groups -- members unacquainted, no shared history -- offered as one reason both pitfalls are more salient in CSCL (FAITHFUL-Kreijns, p.336)."
ped-sec-30,cites,"Gunawardena, Charlotte N. (INTERLOCUTOR)","p.340-341, 348-349","Central affirmative interlocutor: social presence and sense of community are the keys to promoting collaborative learning, cultivated through skills/techniques rather than the medium itself (FAITHFUL-Kreijns, p.348-349, citing Gunawardena 1995)."
ped-sec-30,cites-cluster-author,ped-sec-25 (Gunawardena & Zittle - Social Presence Predictor 1997),n/a,"(P/anticipatory-application) Kreijns et al. cite Gunawardena's 1995 monograph and Gunawardena Lowe Constance & Anderson's 1997 conferencing study extensively as the field's leading affirmative social-presence voice; ped-sec-25 is that same author's canonical predictor-of-satisfaction study in this cluster -- same research program, not the identical paper cited in-text."
ped-sec-30,cites,"Rourke, Linda (INTERLOCUTOR)","p.340, 341-342","Cited for the claim that social interaction cannot be taken for granted in computer conferences any more than in face-to-face settings, and for the trust/warmth/belonging prerequisites Rourke identifies for willing collaboration (FAITHFUL-Kreijns, p.340-342)."
ped-sec-30,cites,"Short Williams & Christie (INTERLOCUTOR)",p.345-346,"Originators of social presence theory, quoted on the loss of nonverbal-channel information and its effect on socio-emotional expression in text-based CMC (FAITHFUL-Kreijns, p.345-346)."
ped-sec-30,cites,"Walther, Joseph B. (INTERLOCUTOR)",p.346-347,"Counter-voice: reduced social-presence effects in CMC experiments may reflect insufficient time for impression development rather than a fixed medium property (FAITHFUL-Kreijns, p.346-347, citing Walther 1992, 1993)."
ped-sec-30,cites,"Sproull & Kiesler (INTERLOCUTOR)",p.345-346,"Reduced-social-context-cues account: CMC inhibits transfer of static and dynamic contextual information, producing anonymity and reduced individuality (FAITHFUL-Kreijns, p.345-346)."
ped-sec-30,cites,"Wegerif, Richard (INTERLOCUTOR)","p.341-342, 344","Source of the claim that forming a sense of community is a necessary first step for collaborative learning, and that its absence leaves learners anxious and defensive (FAITHFUL-Kreijns, p.341-342)."
ped-sec-30,cites-cluster-author,ped-sec-27 (Tu - Measurement of Social Presence 2002),p.349,"Kreijns et al. directly cite Tu's 2000 paper for a three-dimensional social-presence factor model (social context, online communication, interactivity); ped-sec-27 is Tu's 2002 measurement follow-up within this cluster (P/anticipatory-application, same author's program)."
ped-sec-30,cites,"Northrup, Pamela (INTERLOCUTOR)","p.339, 341, 347-348","Interaction-attributes framework distinguishing social from instructional interactivity in web-based CSCL environments (FAITHFUL-Kreijns, p.347-348)."
