source,relation,target,locus,note
bor-sec-07,treats-construct,profound/deep boredom (FCM 3rd form),pp.606-609,"Central construct; 'it is boring for one' extended into pedagogical resoluteness and edification (FE)."
bor-sec-07,treats-construct,being-bored-by (1st form),p.605,"Train-station/'passing the time' paraphrase of FCM's first form (FAITHFUL-Gibbs, p.605)."
bor-sec-07,treats-construct,being-bored-with (2nd form),"pp.605-606","Dinner-party example; standing-time/prolonged 'now' (FAITHFUL-Gibbs, pp.605-606)."
bor-sec-07,treats-construct,temporality of boredom (time-drag),"pp.602-603, 605-607","Datable/world time vs. originary temporality; Augenblick unifies past-present-future (FE)."
bor-sec-07,treats-construct,monotony/meaninglessness,"pp.601-602, 606","Simmel's loss-of-goals frame + 'a life going nowhere' for the second form (FAITHFUL-Gibbs, p.606)."
bor-sec-07,treats-construct,flow/engagement (contrast pole),pp.601-603,"'Busyness' and consumerist distraction as the inauthentic alternative that forecloses profound boredom, not a positive engaged state (FE)."
bor-sec-07,treats-construct,boredom-as-regulatory-signal (functional account),"pp.602, 606, 611","Philosophical/edifying functional reading, not an empirical regulatory theory -- distinct from Elpidorou's account (bor-sec-25/26) (P/anticipatory-application)."
bor-sec-07,bridges-to-fcm,fcm-04-first-form,"FCM pp.93-100 (book pp.78-105)","Direct paraphrase of Hingehaltenheit/dragging-time analysis; 'confrontation with time,' 'time drags and paralyzes' (FAITHFUL-Gibbs, p.605)."
bor-sec-07,bridges-to-fcm,fcm-05-second-form,"FCM pp.112-126 (book pp.106-131)","Dinner-party example + standing-time paraphrase closely tracks FCM's own evening-invitation reading (FAITHFUL-Gibbs, pp.605-606)."
bor-sec-07,bridges-to-fcm,fcm-06-third-form,"FCM pp.134-151 (book pp.132-159)","Sustained treatment of das Man, indifference-enveloping-beings-as-a-whole, telling refusal, and the Augenblick as resolute self-disclosure (FAITHFUL-Gibbs, pp.606-609)."
bor-sec-07,bridges-to-fcm,fcm-07-particular-profound,"FCM p.164 (book pp.160-168)","Near-verbatim quotation of the 'learned competencies...suffocation' passage from FCM Ch.5 Sec38a -- precise, previously unflagged locus match (FAITHFUL-Gibbs, p.610)."
bor-sec-07,extends-reading-of,fcm-06-third-form,pp.607-611,"Extends the Augenblick beyond FCM's own 'world' hinge into an explicit workplace/classroom pedagogy and Rortyan edification FCM's text does not itself develop (FE)."
bor-sec-07,extends-reading-of,fcm-07-particular-profound,pp.609-610,"Imports the kairos/phronesis (practical wisdom) analogy (via Dreyfus 2004, Brogan 2005) to gloss resolute self-disclosure -- material external to FCM's own text (FE)."
bor-sec-07,cites,"Dreyfus, H. (Being-in-the-World, 1992)",p.602,"'Total gestalt switch of Dasein's way of being-in-the-world from inauthentic to authentic' quote."
bor-sec-07,cites,"Dreyfus, H. (2004 essay on Div. I/II)","pp.608-609","Phronimos/resolute-individual analogy: acts on past experience and spontaneous situational understanding, not average rule-following."
bor-sec-07,cites,"McNeill, W. (Glance of the Eye, 1999)","pp.608, 611","Augenblick's finite duration ('demands a certain duration'); 'learning to dwell in this very coming' quote."
bor-sec-07,cites,"Blattner, W. (Heidegger's Being and Time, 2006)",p.608,"'Moment of vision encompasses who I find myself to be and am able to go forward as' quote."
bor-sec-07,cites,"Boss, M. (2009)","pp.605-606","Source of the 'I bore myself' gloss and the shared 'being held up and being left empty' formula for forms one and two."
bor-sec-07,cites,"Biceaga, V. (2006)",p.606,"'Having one's possibilities suspended' gloss on the third form's telling refusal."
bor-sec-07,cites,"Rorty, R. (Philosophy and the Mirror of Nature, 1979)","pp.610-611","Edification/ironist framework imported to gloss the pedagogical use of profound boredom; 'edifying discourse is supposed to be abnormal' quote (p.360)."
bor-sec-07,cites,"Rorty, R. (Education as Socialization and as Individualization)",p.611,"Compulsory education as acculturation to das Man vs. higher education as ironist questioning; NOTE Gibbs's in-text date (1979) conflicts with his own reference-list date (1999) for this essay."
bor-sec-07,cites,"Kierkegaard, S. (Either/Or, 2004)",p.601,"Boredom as 'the root of all evil' citation."
bor-sec-07,cites,"Simmel, G. (1991)","pp.601-602","'Loss of identity and meaningfulness' / 'chains of undertaking and institutions' quote; NOTE Gibbs's in-text year (1978) does not match his own reference-list entry (1991) for this source."
bor-sec-07,cites,"Benjamin, W. (Arcades Project / Storyteller, 2002)","pp.601, 606","Epigraph ('boredom is the dream bird that hatches the egg of experiences') + atrophy-of-experience framing."
bor-sec-07,cites,"Svendsen, L. (A Philosophy of Boredom, 2005)",p.601,"'Supplication of meaning' framing of the modernity-boredom link."
bor-sec-07,cites,"Goodstein, E.S. (Experience Without Qualities, 2005)",p.601,"Modernization 'rationalized and commoditised the conditions of human existence' quote."
