subject,stimulus,round,engaged_composite,boredom,engagement,composite,physiology_engaged,selfreport_bored,category
R2-01,BOR,2,-0.759196054686,8,2,A,False,True,concordant-bored
R2-02,BOR,2,-0.792943932006,9,1,A,False,True,concordant-bored
R2-03,BOR,2,-0.210695152124,3,6,A,False,False,reverse
R2-04,BOR,2,-0.885175625797,7,1,A,False,True,concordant-bored
S01,BOR,1,-0.646043194441,6,3,A,False,True,concordant-bored
S02,BOR,1,-0.827437259314,9,2,A,False,True,concordant-bored
S03,BOR,1,-0.77481465105,9,1,A,False,True,concordant-bored
S04,BOR,1,-1.07723161933,1,7,A,False,False,reverse
S05,BOR,1,-0.907671524761,9,2,A,False,True,concordant-bored
S06,BOR,1,-1.07234652626,4,5,A,False,False,reverse
S07,BOR,1,-0.325747231357,9,2,A,False,True,concordant-bored
S08,BOR,1,-1.15380662909,9,1,A,False,True,concordant-bored
R2-01,CLC,2,0.083939126574,6,4,A,True,True,divergent
R2-02,CLC,2,0.833860258721,8,4,A,True,True,divergent
R2-03,CLC,2,0.425193649935,1,8,A,True,False,concordant-engaged
R2-04,CLC,2,0.486279303817,2,3,A,True,False,concordant-engaged
S01,CLC,1,1.08092839687,3,5,A,True,False,concordant-engaged
S02,CLC,1,0.0580281489966,8,3,A,True,True,divergent
S03,CLC,1,0.273780893398,3,7,A,True,False,concordant-engaged
S04,CLC,1,0.824846493551,9,1,A,True,True,divergent
S05,CLC,1,0.0525141071645,6,5,A,True,True,divergent
S06,CLC,1,0.453417267045,6,3,A,True,True,divergent
S07,CLC,1,0.816754636642,6,7,A,True,True,divergent
S08,CLC,1,0.543340697724,7,3,A,True,True,divergent
R2-01,INT,2,0.675256928112,3,6,A,True,False,concordant-engaged
R2-02,INT,2,-0.0409163267156,7,6,A,False,True,concordant-bored
R2-03,INT,2,-0.214498497811,2,8,A,False,False,reverse
R2-04,INT,2,0.39889632198,3,7,A,True,False,concordant-engaged
S01,INT,1,-0.434885202431,2,7,A,False,False,reverse
S02,INT,1,0.769409110318,3,6,A,True,False,concordant-engaged
S03,INT,1,0.501033757651,3,7,A,True,False,concordant-engaged
S04,INT,1,0.252385125782,3,7,A,True,False,concordant-engaged
S05,INT,1,0.855157417596,5,4,A,True,True,divergent
S06,INT,1,0.618929259214,8,2,A,True,True,divergent
S07,INT,1,-0.491007405284,7,6,A,False,True,concordant-bored
S08,INT,1,0.610465931361,5,4,A,True,True,divergent
