source,relation,target,domain,provenance,book_page
mystery,defines,structural-condition-of-hierarchic-difference,rhetoric,burke-direct,115
mystification,defines,concealment-of-specific-by-generic-motive,rhetoric,burke-direct,108
hierarchy,defines,eulogistic-term-for-bureaucracy,rhetoric,burke-direct,118
triplicate-vocabulary,defines,neutral-eulogistic-dyslogistic-system,rhetoric,burke-direct,92
censorial-appellative,defines,assumption-without-its-form,rhetoric,burke-direct,94
covering-motive,defines,tegumen-and-res-tegenda,rhetoric,burke-direct,100
ideology-technical,defines,inverted-genealogy-of-culture,rhetoric,burke-direct,104
mystery,extends,identification,rhetoric,burke-direct,115
mystery,extends,hierarchy,rhetoric,burke-direct,115
mystification,extends,covering-motive,rhetoric,burke-direct,108
covering-motive,extends,identification,rhetoric,burke-direct,100
ideology-technical,extends,triplicate-vocabulary,rhetoric,burke-direct,102
hierarchy,extends,mystery,rhetoric,burke-direct,118
rhetoric-of-courtship-class,extends,mystery,rhetoric,burke-direct,115
ultimate-identification-hero-worship,extends,identification,rhetoric,burke-direct,121
god-term,extends,mystification,rhetoric,burke-direct,111
terministic-reservation,qualifies,mystification,rhetoric,burke-direct,111
terministic-reservation,qualifies,ideology-technical,rhetoric,burke-direct,111
via-negativa-secularized,qualifies,triplicate-vocabulary,rhetoric,burke-direct,95
attitude-tonal,qualifies,censorial-appellative,rhetoric,burke-direct,91
generic-specific-motives,qualifies,ideology-technical,rhetoric,burke-direct,110
Carlyle,contests,Marx,rhetoric,burke-direct,114
Marx,contests,Bentham,rhetoric,burke-direct,101
Bentham,cites,Aristotle,rhetoric,burke-direct,92
Burke,cites,Cromwell,rhetoric,burke-direct,112
Burke,cites,La-Rochefoucauld,rhetoric,burke-direct,113
Burke,cites,Carlyle-Sartor-Resartus,rhetoric,burke-direct,114
Burke,cites,Dionysius-the-Areopagite,rhetoric,burke-direct,118
Burke,cites,Marx-German-Ideology,rhetoric,burke-direct,101
hierarchy,consubstantial-with,mystery,rhetoric,burke-direct,118
symbol-clothes,consubstantial-with,mystery,rhetoric,burke-direct,119
mystery,bridges-to-pipeline,rm-01-identification,inter-unit,burke-direct,115
mystery,bridges-to-pipeline,rm-04-hierarchy,inter-unit,burke-direct,118
rhetoric-of-courtship-class,bridges-to-pipeline,rm-06-courtship,inter-unit,burke-direct,115
symbol-clothes,bridges-to-pipeline,rm-07-pure-persuasion,inter-unit,burke-direct,119
attitude-tonal,bridges-to-pipeline,grammar-attitude-6th-term,inter-unit,burke-direct,91
god-term,bridges-to-pipeline,rm-05-ultimate-terms,inter-unit,burke-direct,111
mystery,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,115
mystification,maps-to-pim-dimension,calleja-ludic-involvement,game-behavior,anticipatory-projection,108
triplicate-vocabulary,maps-to-pim-dimension,calleja-narrative-involvement,game-behavior,anticipatory-projection,92
covering-motive,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,100
hierarchy,maps-to-pentad-term,Scene,pentad,anticipatory-projection,118
mystery,maps-to-pentad-term,Scene,pentad,anticipatory-projection,115
censorial-appellative,maps-to-pentad-term,Agency,pentad,anticipatory-projection,94
covering-motive,maps-to-pentad-term,Agent,pentad,anticipatory-projection,100
ultimate-identification-hero-worship,maps-to-pentad-term,Agent,pentad,anticipatory-projection,121
mystery-elite-player-status,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,115
hidden-game-systems,maps-to-pim-dimension,calleja-ludic-involvement,game-behavior,anticipatory-projection,108
game-moral-naming,maps-to-pim-dimension,calleja-narrative-involvement,game-behavior,anticipatory-projection,92
rare-gear-mystique,maps-to-pim-dimension,calleja-shared-involvement,game-behavior,anticipatory-projection,122
