source,relation,target,domain,evidence,contributor
Moss,defines,the illusion account of akrasia,moral-psychology,DA III.10 433a9-b12 (p.122-130),Moss
illusion account,contests-reading-of,standard minor-premise reading of EN VII.3 (Ross et al.),philology-of-aristotle,p.121;149-152,Moss
phantasia,defines,value-appearance (the appearance of things as good/bad),philosophy-of-mind,DA III.10 433a9-b12,Moss
apparent good (phainomenon agathon),defines,object of appetite as non-doxastic,moral-psychology,EE VII.2 1235b25-29,Moss
phantasia,contests,doxa (located in different part of the soul),philosophy-of-mind,EE VII.2 1235b26-29,Moss
value-appearance,instances-in-text,the sun appears a foot wide though believed larger than earth,philology-of-aristotle,DA III.3 428b2-4,Moss
akrasia,extends-reading-of,perceptual illusion (structural parallel),moral-psychology,Insomn. 460b16-20,Moss
strong pathos,defines,the 'covering over' of intellect,philosophy-of-mind,DA III.3 429a5-8,Moss
rational faculty,defines,the function of noticing-and-contradicting false appearances,philosophy-of-mind,Insomn. 459a6-8,Moss
de Insomniis 460b3-16,instances-in-text,pathe deceive perception (coward sees enemies; feverish see animals in wall-cracks),philology-of-aristotle,Insomn. 460b3-16,Moss
following-against-knowledge,qualifies,default yielding rather than active rational assent,philosophy-of-mind,p.135; Insomn. 461b29-462a8,Moss
Moss,cites,Gallop 1991 (non-doxastic 'acceptance by default'),philosophy-of-mind,p.135,Moss
Moss,cites,Pickave/Whiting 2008 (nondoxastic reading of the fever case),philosophy-of-mind,p.135;141,Moss
Aristotle appearance-vs-acceptance distinction,bridges-to-pipeline,Stoic assent (synkatathesis),moral-psychology,Origen SVF 2.988 (p.136),Moss
illusion account,qualifies,EN VII.3 ignorance account (compatible with and supplements struggle),philology-of-aristotle,EN VII.3 1147a10-18,Moss
body-altering pathos,defines,akratic ignorance as literal physical inability to use knowledge,philosophy-of-mind,Ph. VII.3 247b13; EN VII.3 1147b6-9,Moss
EN VII.6 'logos OR perception',contests,the syllogistic-only reading of akratic appetite,philology-of-aristotle,EN VII.6 1149a34-b1,Moss
beasts,contests,the possibility of animal akrasia (no universal supposition),moral-psychology,EN VII.3 1147b3-5,Moss
'last protasis',extends-reading-of,the conclusion reading (over the minor-premise reading),philology-of-aristotle,EN VII.3 1147b9-18,Moss
illusion account,contests-reading-of,'clear-eyed' akrasia (Davidson's tooth-brusher),moral-psychology,p.153-154,Moss
pathe,defines,the generation of false appearances (not only their non-correction),rhetorical-theory,Rh. II.1 1377b31-1378a5,Moss
practical cognition,contests,the Humean means-end reading,moral-psychology,DA III.10 433a9-b12,Moss
Moss,contests,Ross 1949 (VII.3 leaves no room for moral struggle),philology-of-aristotle,p.121;144,Moss
character-virtue,defines,correct non-rational evaluative phantasia,moral-psychology,n.37; EN X.5 1176a15-22,Moss
Moss 2009,extends-reading-of,Moss 2012 Aristotle on the Apparent Good (ch.5),moral-psychology,n.28,Moss
Moss,cites,Plato (Protagoras; Republic X; Timaeus 86b-c; Laws 645d-e) on the illusion parallel,history-of-philosophy,p.130;154 n.60,Moss
Moss,cites,Lorenz 2006 (the 'covered over' reading; rational/non-rational communication),philosophy-of-mind,p.133;146,Moss
melancholics,instances-in-text,phantasia-prone agents are akrasia-prone,philosophy-of-mind,EN VII.7 1150b25; Mem. 453a21,Moss
