edge_id,source,target,relation,domain,tier,page_anchor,provenance,notes
E01,IG-06-SHARED,C01,defines,game-studies,1,93-97,calleja-direct,Macro-phase MMOG socializing as primary referent
E02,IG-06-SHARED,C10,defines,game-studies,1,100-101,calleja-direct,Micro-phase decomposed into cohabitation/cooperation/competition
E03,C01,C02,extends,game-studies,1,94,calleja-direct,Macro-phase claim that MMOGs are full-fledged on-line societies
E04,C02,C27,instances-in-text,game-studies,3,94,calleja-direct,EVE Online Guiding Hand heist exemplifies society-claim
E05,C01,C03,extends,game-studies,2,95-96,calleja-direct,End-game content forces guild formation
E06,C01,C04,extends,game-studies,2,95-96,calleja-direct,Out-of-game friendships and geographic guilds
E07,IG-06-SHARED,C05,defines,virtual-worlds-theory,1,97-99,calleja-direct,MMOG governance as substantive case
E08,C05,C06,extends,virtual-worlds-theory,1,98,calleja-direct,Magic-circle critique generated from governance case
E09,C05,C07,extends,virtual-worlds-theory,2,98,calleja-direct,Server-consensus self-policing as practical-enforcement mechanism
E10,C01,C08,extends,game-studies,1,99-100,calleja-direct,MMOGs as third places via Steinkuehler-Williams
E11,C08,C09,qualifies,game-studies,2,99-100,calleja-direct,Bridging vs bonding qualification of third-place claim
E12,C10,C12,defines,game-studies,1,101-102,calleja-direct,Cohabitation anchors player spatially and socially
E13,C12,C13,bridges-to-pipeline,game-studies,2,102,calleja-direct,Reeves-Nass media equation grounds AI cohabitation
E14,C12,C14,extends,game-studies,2,103,calleja-direct,MMOG persistence adds reputation layer to cohabitation
E15,C12,C15,extends,game-studies,1,103-104,calleja-direct,Spectatorship as sub-element of cohabitation
E16,C15,C16,instances-in-text,game-studies,3,104,calleja-direct,Clan-trial spectator-mode screening
E17,C10,C17,defines,game-studies,2,104-105,calleja-direct,Cooperation co-op/LAN/split-screen
E18,C17,C18,operationalizes-via-game,game-studies,2,105,calleja-direct,Left 4 Dead designed-interdependence paradigm case
E19,C17,C19,extends,virtual-worlds-theory,2,106,calleja-direct,MMOG group/guild scaffolding for cooperation
E20,C10,C20,defines,game-studies,1,107-108,calleja-direct,Competition via Caillois agon
E21,C20,C21,qualifies,game-studies,2,108,calleja-direct,Direct competition vs conflict-without-shared-goal
E22,C20,C22,bridges-to-pipeline,game-studies,1,109,calleja-direct,Malaby social contingency grounds competition preference for humans
E23,C20,C23,extends,game-studies,2,110-111,calleja-direct,AI limitations: pinpoint accuracy without holistic awareness
E24,C20,C24,extends,game-studies,2,111,calleja-direct,Rambusch et al. individual-to-team-play shift
E25,IG-06-SHARED,C25,defines,game-studies,2,110,calleja-direct,Internalization from conscious to mastery
E26,C25,C26,bridges-to-pipeline,game-studies,3,109-110,calleja-direct,Kinesthetic-prerequisite to social-contingency mapping (intra-volume IG-04)
E27,IG-06-SHARED,I01,cites,game-studies,1,93+99-100,calleja-direct,Steinkuehler & Williams (2006) third-place anchor
E28,IG-06-SHARED,I02,cites,game-studies,1,93+97,calleja-direct,T. L. Taylor (2006) MMOG sociality (twice cited)
E29,IG-06-SHARED,I03,cites,game-studies,1,96,calleja-direct,Castronova (2005) MMOGs as VR-1990s instantiation
E30,IG-06-SHARED,I04,cites,sociology,1,99,calleja-direct,Oldenburg (1999) third places
E31,IG-06-SHARED,I05,cites,human-computer-interaction,1,102,calleja-direct,Reeves & Nass (1996) media equation
E32,IG-06-SHARED,I12,cites,game-studies,1,107,calleja-direct,Caillois (1962) agon
E33,IG-06-SHARED,I13,cites,game-studies,1,109,calleja-direct,Malaby (2007) social/performative contingency
E34,IG-06-SHARED,I14,cites,game-studies,2,111,calleja-direct,Rambusch et al. (2007) individual-to-team-play
E35,IG-06-SHARED,I09,cites,game-studies,2,102+110,calleja-direct,Lim & Reeves (2006) human vs AI arousal/engagement
E36,IG-06-SHARED,I06,cites,human-computer-interaction,2,102,calleja-direct,Gerhard Moore & Hobbs (2004) cohabitation with rudimentary AI
E37,IG-06-SHARED,I07,cites,human-computer-interaction,2,102,calleja-direct,Calo (2010) growing sociality of AI agents
E38,IG-06-SHARED,I10,cites,game-studies,2,104,calleja-direct,Manninen & Kujanpaa (2005) collaboration
E39,IG-06-SHARED,I11,cites,game-studies,2,104,calleja-direct,Heide-Smith (2007) multiplayer collaboration
E40,IG-06-SHARED,I15,cites,game-studies,2,97,calleja-direct,Klastrup (2004) goal-directed activity (jointly with Taylor)
E41,IG-06-SHARED,I16,cites,game-studies,3,98,calleja-direct,Hunter (2006) Blizzard public statement in Sara Andrews case
E42,C05,G01,operationalizes-via-game,virtual-worlds-theory,1,97-99,calleja-direct,World of Warcraft Sara Andrews / Blizzard governance case
E43,C18,G13,operationalizes-via-game,game-studies,2,105,calleja-direct,Left 4 Dead designed-interdependence
E44,C15,G23,operationalizes-via-game,game-studies,2,104,calleja-direct,FIFA 2009 co-located spectatorship
E45,C12,G11,operationalizes-via-game,game-studies,2,102,calleja-direct,GTA IV Dimitri Rascalov betrayal of Nico Bellic
E46,C20,G02,operationalizes-via-game,game-studies,1,106-107,calleja-direct,Planetside mass-collaboration FPS
E47,C24,G15,operationalizes-via-game,game-studies,2,111,calleja-direct,Counter-Strike clan/LAN/tournament arc
E48,C23,G18,operationalizes-via-game,game-studies,2,110,calleja-direct,Empire Total War AI limitations
E49,IG-06-SHARED,T03,marginal-note,game-studies,3,101,calleja-direct,Three-not-four authorial enumeration slip
E50,IG-06-SHARED,T01,marginal-note,game-studies,2,101-103,calleja-direct,Cohabitation-as-co-presence vs shared-involvement-as-interaction tension
E51,IG-06-SHARED,T02,marginal-note,virtual-worlds-theory,2,98,calleja-direct,Magic-circle critique vs designer-cultivated social ties tension
E52,IG-06-SHARED,T04,marginal-note,game-studies,2,99-100,calleja-direct,Bridging-vs-bonding qualification weakens third-place claim
E53,IG-06-SHARED,BCAP-Mitsein,awaits-ontological-grounding-in,phenomenology,1,94-95,anticipatory-projection (dissertation),Strongest Mitsein bridge in volume — full-fledged on-line societies formulation without Heidegger cite
