source,relation,target,locus,provenance,note
§42,defines,comparative examination,(p.176 / GA pp.262 / pdf 100),faithful,"The chosen third path: set stone/animal/man in relief by their differing relation to world."
comparative examination,grounds-question,What is world?,(p.176 / GA pp.262 / pdf 100),faithful,"The comparative path is the route to asking the world-question for the first time."
§42,defines,The stone is worldless,(p.177 / GA pp.263 / pdf 100),faithful,"Guiding thesis [1]; weltlos; lower limit of the comparison."
§42,defines,The animal is poor in world,(p.177 / GA pp.263 / pdf 100),faithful,"Guiding thesis [2]; weltarm; the intermediate thesis from which Ch.3 will begin."
§42,defines,Man is world-forming,(p.177 / GA pp.263 / pdf 100),faithful,"Guiding thesis [3]; weltbildend; upper limit; man 'has' world as master and servant."
having-world,discloses,Man is world-forming,(p.177 / GA pp.262 / pdf 100),faithful,"Man's standing-over-against the world ('having' world) is what the world-forming thesis names."
The animal is poor in world,contests,The stone is worldless,(p.177 / GA pp.263 / pdf 100),faithful,"Poverty-in-world is set against worldlessness: deprivation presupposes a being-open the stone lacks."
kosmos,glosses-greek,What is world?,(p.176 / GA pp.262 / pdf 100),faithful,"kosmos / mundus / 'world' — conceptual history from On the Essence of Ground, §II (exterior only)."
§43,defines,the circle of philosophy,(p.180 / GA pp.266 / pdf 101),faithful,"Content+method difficulty of access to 'life' forces constant circling — the mark of philosophy."
the circle of philosophy,qualifies,comparative examination,(p.180 / GA pp.267 / pdf 101),faithful,"The comparison must presuppose a conception of life to open a path to a conception of life."
§43,concedes,man/animal distinction,(p.179 / GA pp.265 / pdf 101),faithful,"'Rational vs non-rational living being' is easy to state but its metaphysical adequacy is uncertain."
§44,defines,comprehensive questioning,(p.180 / GA pp.268 / pdf 102),faithful,"Metaphysics: beings-as-a-whole included AND the questioner caught up and affected."
fundamental attunement,grounds-question,comprehensive questioning,(p.181 / GA pp.268 / pdf 102),faithful,"Only an intrinsically attuned being can be affected; awakening attunement makes questioning possible."
profound boredom,deepens-into,fundamental attunement,(p.181 / GA pp.268 / pdf 102),faithful,"Part One's interpretation of 'a profound boredom in the ground of our Dasein' awakens the fundamental attunement."
fundamental attunement,grounds-question,What is finitude?,(p.181 / GA pp.268 / pdf 102),faithful,"The three questions are drawn from the attunement; finitude is 'the most originary and most central'."
fundamental attunement,grounds-question,What is individuation?,(p.181 / GA pp.268 / pdf 102),faithful,"Third question developed from the awakened fundamental attunement."
comprehensive questioning,extends,profound boredom,(p.181 / GA pp.268 / pdf 102),faithful,"Part Two's questioning derives its justification and import from Part One's boredom analysis."
guideline [5],qualifies,fundamental attunement,(p.182 / GA pp.269 / pdf 102),faithful,"Every genuine attunement liberates/deepens the others; known through Dasein, not a psychology of feelings."
philosophy,temporalizes-as,melancholy,(p.183 / GA pp.270 / pdf 103),faithful,"As creative human activity philosophy stands in the fundamental attunement of melancholy (Schwermut)."
melancholy,qualifies,comprehensive questioning,(p.183 / GA pp.270 / pdf 103),faithful,"Melancholy concerns the form not the content, yet prescribes an attunement delimiting questioning's content."
Aristotle,cites,melancholy,(p.183 / GA pp.270 / pdf 103),faithful,"Problemata XXX.1 (953a10ff. Bekker): why are exceptional men melancholics? Empedocles, Socrates, Plato."
Mut / Gemüt / Schwermut / Armut,glosses-german,melancholy,(p.183 / GA pp.270-72 / pdf 103),faithful,"Translator's note on the Mut word-family; Armut anchors the animal's weltarm in §46."
§44,marginal-note,Mut / Gemüt / Schwermut / Armut,(p.183 / GA pp.270-72 / pdf 103),faithful,"Translator footnote rendering :umute sein / Schwermut / Gemüt; flags the Armut cognate for §46."
profound boredom,bridges-to-pipeline,King-Salvo boredom stimulus,(p.181 / GA pp.268 / pdf 102),faithful,"FCM frames boredom as an attunement to awaken/interpret — the bridge's warrant for treating the lab's boring stimulus as more than a feeling-state."
guideline [5],interprets-experiment-finding,EEG/gaze/phenomenological triangulation,(p.182 / GA pp.269 / pdf 102),faithful,"'Not through a psychology of feelings' parallels the team's demotion of single physiological proxies toward triangulation."
melancholy,interprets-experiment-finding,clinical-video surface/depth split,(p.183 / GA pp.270 / pdf 103),faithful,"Form-not-content claim underwrites the second-form reading of gaze-engaged-surface vs EEG-bored-depth."
