source_id,relation,target_id,domain,evidence_pdf_page,evidence_book_page,contributor,notes
US-01-DARWIN,defines,C-US01-01,concept,38,28,Gross,"Rhetoricity of emotion as Darwin's foregrounded methodological feature — medium/occasion/social-situation"
US-01-DARWIN,defines,C-US01-16,concept,45,35,Gross,"Rhetorical model of cognition situated in brain-body-world nexus"
US-01-DARWIN,defines,C-US01-17,concept,44,34,Gross,"Impoverished Darwinianism — the Ekman-Damasio reception strips out interpretive openness"
US-01-DARWIN,defines,C-US01-20,concept,59,49,Gross,"Second-order discomfort produced in reader when narrator pseudo-resolves character discomfort diegetically"
US-01-DARWIN,cites,INT-US01-01,interlocutor,38,28,Gross,"Darwin Expression 139-140 chimpanzee passage opens chapter"
US-01-DARWIN,cites,INT-US01-02,interlocutor,40,30,Gross,"Ekman 1998 third-edition Commentaries quoted directly"
US-01-DARWIN,cites,INT-US01-03,interlocutor,41,31,Gross,"Damasio amygdala-trustworthiness Nature 393 (1998)"
US-01-DARWIN,cites,INT-US01-04,interlocutor,43,33,Gross,"Noé 'The New Phrenology?' Out of Our Heads"
US-01-DARWIN,cites,INT-US01-05,interlocutor,44,34,Gross,"Kagan What Is Emotion? 23, 214 — category mistake"
US-01-DARWIN,cites,INT-US01-06,interlocutor,47,37,Gross,"Berlant Compassion intro p.3 — compassionate-conservatism passage"
US-01-DARWIN,cites,INT-US01-07,interlocutor,51,41,Gross,"Charles Bell Anatomy and Philosophy of Expression — polemical foil; Fig. 1.7"
US-01-DARWIN,cites,INT-US01-08,interlocutor,41,31,Gross,"Duchenne 1862 Mécanisme — French caption Fig. 1.2"
US-01-DARWIN,cites,INT-US01-10,interlocutor,50,40,Gross,"Shakespeare envy/jealousy via Darwin E 260"
US-01-DARWIN,cites,INT-US01-11,interlocutor,50,40,Gross,"Spenser suspicion via Darwin E 260"
US-01-DARWIN,cites,INT-US01-12,interlocutor,55,45,Gross,"Sterne Sentimental Journey peasants passage p.120"
US-01-DARWIN,cites,INT-US01-13,interlocutor,57,47,Gross,"Austen Emma p.321 'no unhappy reverie'"
US-01-DARWIN,cites,INT-US01-22,interlocutor,57,47,Gross,"Horn Natural History of Negation xiii, 303-304 — litotes"
US-01-DARWIN,cites,INT-US01-23,interlocutor,60,50,Gross,"Roughgarden Evolution's Rainbow — balanced portfolio"
US-01-DARWIN,contests,INT-US01-02,interlocutor,38,28,Gross,"Darwin 'outstrips' Ekman's anti-rhetorical science of emotion — chapter's animating polemic"
US-01-DARWIN,contests,P-US01-02,position,44,34,Gross,"Impoverished Darwinianism diagnosis — Ekman+legions leave Darwin behind with sleight of hand"
US-01-DARWIN,contests,INT-US01-17,interlocutor,46,36,Gross,"Crane Shakespeare's Brain lexical analysis fails at the cognitive-science situating move"
US-01-DARWIN,contests,INT-US01-21,interlocutor,56,46,Gross,"Zunshine Cartesian-computing-machine theory-of-mind contested as desensitizing"
US-01-DARWIN,contests,INT-US01-14,interlocutor,58,48,Gross,"Dreyfus background-of-intentionality inadequate for literature; satisfactory-gestalt-causes-action distinction"
US-01-DARWIN,contests,INT-US01-26,interlocutor,55,45,Gross,"Pinker 'cheesecake for the mind' literary-Darwinism rejected — Sterne escapes virtual-experience model"
US-01-DARWIN,extends,INT-US01-04,interlocutor,39,29,Gross,"Aligns Darwin with Noé situated-cognition program"
US-01-DARWIN,extends,INT-US01-15,interlocutor,54,44,Gross,"Chalmers 'extended emotion' formulation — Gross radicalizes via Darwin"
US-01-DARWIN,extends,P-US01-09,position,59,49,Gross,"Uncomfortable-situatedness thesis — volume's titular concept crystallized via Sterne"
US-01-DARWIN,concedes,INT-US01-02,interlocutor,50,40,Gross,"Ekman recognizes the complication of love/hatred/envy/jealousy duration but circumvents by relabeling"
US-01-DARWIN,qualifies,P-US01-10,position,60,50,Gross,"Indeterminacy as in-built (Griffiths-Scarantino) but 'not radical indeterminacy' (PDF 59)"
US-01-DARWIN,bridges-to-pipeline,HR-01-GROSS,bridge,41,31,Gross,"Footnote 11 explicitly cites Gross Secret History of Emotion 21-50 for extended Damasio critique"
US-01-DARWIN,bridges-to-pipeline,US-04-AUSTEN,bridge,56,46,Gross,"'That's one function of negation as we will see in Austen as well' — explicit forward-reference to Ch.4"
US-01-DARWIN,instances-in-text,FIG-1.1,figure,39,29,Gross,"Chimpanzee disappointed and sulky — Darwin Expression p.139 / Wellcome Library"
US-01-DARWIN,instances-in-text,FIG-1.2,figure,41,31,Gross,"Horror and Agony — Duchenne photograph Darwin Expression p.307"
US-01-DARWIN,instances-in-text,FIG-1.3,figure,42,32,Gross,"Rejlander astonishment top / Duchenne 24-person-judgment-experiment bottom"
US-01-DARWIN,instances-in-text,FIG-1.4,figure,43,33,Gross,"Uncropped Duchenne photograph"
US-01-DARWIN,instances-in-text,FIG-1.5,figure,43,33,Gross,"Ekman initial basic-emotion image set — anger/fear/disgust/surprise/joy/sadness/contempt(Ekman-himself)"
US-01-DARWIN,instances-in-text,FIG-1.6,figure,52,42,Gross,"Laocoön and Sons — Hellenistic marble"
