edge_id,source,relation,target,domain,tier,provenance,page_anchor,note
E01,C-IG11-07,contests,IG-02:immersion-as-suspension-of-disbelief,game-studies,1,exegetical (Calleja-attested),"181-182 (lines 6309-6318)","Suspension-of-disbelief diagnosis dismissed as ill-fitting for digital games because belief is enacted rather than withheld; Coleridge unnamed"
E02,C-IG11-08,contests,IG-02:here-there-dichotomy-of-immersion-presence,game-studies,1,exegetical (Calleja-attested),"183 (lines 6362-6370)","Here/there dichotomy critique of immersion + presence — Conclusion-level restatement of IG-10's central displacement move"
E03,C-IG11-08,replaces-prior-construct,IG-02:immersion-presence-cluster,game-studies,1,exegetical (Calleja-attested),"183 (lines 6366-6370)","Incorporation supplants immersion/presence by being coextensive with physical being rather than positing virtual-replaces-physical"
E04,C-IG11-06,glosses,IG-10:incorporation,game-studies,1,exegetical (Calleja-attested),"182 (lines 6323-6331)","Cybernetic looping of simulation and imagination is the Conclusion's compressed restatement of incorporation"
E05,C-IG11-09,recapitulates,IG-00:tripartite-frame-introduction,game-studies,2,exegetical (Calleja-attested),"182-183 (lines 6348-6357)","Volume-level tripartite media-object/player/sociocultural-context frame restated as the binary-displacing apparatus"
E06,C-IG11-01,recapitulates,IG-03:PIM-as-the-model,game-studies,1,exegetical (Calleja-attested),"184 (line 6388)","'as the model has shown' — Conclusion's compressed citation of IG-03's PIM apparatus"
E07,C-IG11-02,defines,future-research:phenomenology-of-incorporation,phenomenology,1,exegetical (Calleja-attested),"182 (lines 6343-6346)","Calleja: experiential state has a phenomenology with specificities that bear further scrutiny. Single most leveraged future-research line."
E08,C-IG11-03,defines,future-research:decouple-play-from-current-media-objects,game-studies,1,exegetical (Calleja-attested),"184 (lines 6390-6392)","Decoupling play from media-objects-currently-called-games as future-research charge"
E09,C-IG11-01,defines,future-research:more-evolved-and-sensitive-modeling,game-studies,1,exegetical (Calleja-attested),"184 (lines 6426-6430)","First considered step toward more evolved and sensitive modeling — volume's reflexive self-positioning"
E10,C-IG11-04,defines,future-research:cultural-historical-arc-of-imagined-world-transmission,new-media,1,exegetical (Calleja-attested),"185 (lines 6445-6453)","Spoken word -> print -> mechanical moving image -> networked digital simulation as future-trajectory anchor"
E11,C-IG11-05,defines,future-research:poststructural-successor-modeling,game-studies,1,exegetical (Calleja-attested),"184 (lines 6411-6420)","Structuralism-challenged-by-poststructuralism arc as canonical successor trajectory for PIM"
E12,C-IG11-02,awaits-ontological-grounding-in,Phantasia-Cluster + BCAP + Bowin-AMT,phenomenology,1,anticipatory-projection (dissertation),"182 (lines 6343-6346)","DISSERTATION POSITIONING: Calleja's 'phenomenology bears further scrutiny' invitation directly authorizes Layer-A Aristotelian/Heideggerian augmentation"
E13,P-IG11-06,bridges-to-pipeline,Dalton-dissertation,dissertation-instrument,1,anticipatory-projection (dissertation),"184 (6426-6430) + 182 (6343-6346)","Dissertation occupies precisely the successor position Calleja anticipates; STRONGEST POSITIONING LEVERAGE in the volume"
E14,C-IG11-03,bridges-to-pipeline,Dalton-dissertation,dissertation-instrument,1,anticipatory-projection (dissertation),"184 (lines 6390-6392)","Decoupling play from current media-objects = dissertation's media-archaeological reach (Aristotelian play-as-practice can analyze pre-digital and non-game play alike)"
E15,IG-11,cites,Genette-1980-Narrative-Discourse,literary-theory,1,exegetical (Calleja-attested),"183-184 (lines 6393-6397)","Genette's Narrative Discourse cited as exemplar of an incisive structural model"
E16,IG-11,cites,Genette-1988-Narrative-Discourse-Revisited,literary-theory,1,exegetical (Calleja-attested),"184 (lines 6398-6403)","Narrative Discourse Revisited cited as the model-revision vehicle responding to criticism of the 1980 work"
E17,IG-11,cites,Proust-A-la-recherche-du-temps-perdu,literary-theory,2,exegetical (Calleja-attested),"183 (line 6397)","Proust cited as the structuralist analytic target of Genette's narrative-time taxonomy"
E18,C-IG11-13,defines,canonical-model-revision-trajectory,literary-theory,1,exegetical (Calleja-attested),"183-184 (lines 6393-6420)","Genette case generalizes to the canonical structural-modelling-then-revision arc"
E19,C-IG11-05,extends,literary-theory:structuralism-to-poststructuralism,literary-theory,1,exegetical (Calleja-attested),"184 (lines 6411-6420)","Poststructuralism's greater attentiveness to taxonomy-undoing elements invoked as successor trajectory for any incisive analytic model"
