source,relation,target,locus,note
Wendt,defines,phenomenological-design-thinking,p.153-154 / pdf 155-156,"Applying phenomenology to design as a medium of meaning formation; an evolution of post-phenomenology whose next step is grounded in design thinking."
phenomenological-design-thinking,extends,post-phenomenology,p.154 / pdf 156,"Wendt-says: not terribly different from post-phenomenology; simply an evolution that pushes classical phenomenology into the realm of design."
Wendt,cites,Mads-Folkmann,p.153 / pdf 155,"Chapter epigraph framing: design relates to and possibly changes the constituents of experience; addresses present and future of experience."
Wendt,defines,praxis,p.154 / pdf 156,"Theory-informed practice; cyclical theory<->practice relation where the process matters as much as the result."
praxis,contests,academia-industry-dichotomy,p.154 / pdf 156,"Wendt-says: the walls between academia/industry and theory/practice are detrimental and counterintuitive; goals are wrapped up in one another."
Wendt,glosses,Dasein-care,p.154 / pdf 156,"Being-in as being-involved; care/concern carries over to how Dasein uses designed objects."
Dasein-care,applies-to-design,designing-for-care,p.154 / pdf 156,"Designers must always work around the care with which humans interact with their world."
Wendt,contests,user-personas,p.154-155 / pdf 156-157,"Personas decontextualize; a persona does not experience anything (humans do); they reinforce Cartesian dualism and represent detached understanding."
Wendt,qualifies,design-methods,p.155 / pdf 157,"Aim is not to replace old practices but to point out their limitations; how designers frame practices makes all the difference."
Wendt,defines,experience-design,p.155 / pdf 157,"Understanding systems of things and how humans experience them; experience design always has an object."
Wendt,glosses,present-at-hand-ready-to-hand-continuum,p.155-156 / pdf 157-158,"Heideggerian object-relations as a continuum, not exclusive categories; constant back-and-forth movement (keyboard example)."
present-at-hand-ready-to-hand-continuum,applies-to-design,invisibility-not-a-design-goal,p.156 / pdf 158,"Invisibility/intuition/readiness-to-hand cannot stand as design goals; judged good/bad only by context of use."
Wendt,cites,Don-Ihde,p.156 / pdf 158,"Four relations (embodied, hermeneutic, alterity, background) none qualitatively superior; later the telescope figure for concealment/unconcealment."
Wendt,defines,multistability,p.156 / pdf 158,"Human-technology relationship is multistable; creative misuse beats the clearest affordances."
multistability,applies-to-design,usability-testing-as-observing-coping,p.156 / pdf 158,"Reframes usability testing from removing un-intuitive features to observing users' coping strategies as core insights."
Wendt,defines,problem-solution-paradox,p.156-157 / pdf 158-159,"Named the hermeneutic circle of design; parts to whole and whole to parts; calls for fluid play."
problem-solution-paradox,contests,waterfall-development,p.157 / pdf 159,"Waterfall's hyper-linear positivism (gather-plan-execute) mirrors the Cartesian split and leaves no room to adapt."
Wendt,cites,Henk-Oosterling,p.157 / pdf 159,"Design as an 'un-throwing': humans design to take an active part in the world."
Wendt,applies-to-design,maintain-specialization-for-care,p.158 / pdf 160,"Care erodes when spread thinly; complex projects need maintained specialization so designers sustain concern."
Wendt,concedes,phenomenology-not-revolutionary,p.158 / pdf 160,"Nothing in the book is revolutionary; phenomenology explains/augments current practices rather than supplying new ones."
Wendt,glosses,abductive-gesture,p.158 / pdf 160,"Design pushes into the future, using knowledge of the past via abduction; analytical and creative thinking with equal importance."
Wendt,defines,familiarization-de-familiarization,p.158-159 / pdf 160-161,"Key design movement enacted in ethnographic research that disturbs hyper-familiar bias (terminal-patient caregiver example)."
Wendt,defines,concealment-unconcealment,p.158-159 / pdf 160-161,"Macro/micro foreground-background movement in diagramming; the designer decides when to conceal and unconceal."
Wendt,applies-to-design,humans-exist-in-context,p.160 / pdf 162,"Statement 1: use documents (personas, diagrams) as thinking aids not deliverables; real value is understanding from thinking through the object."
Wendt,applies-to-design,thinking-does-not-precede-action,p.160-161 / pdf 162-163,"Statement 2: new end-goals emerge in use; praxis generates theory through practical outputs (swim-lesson example)."
Wendt,applies-to-design,intention-not-primary,p.161-162 / pdf 163-164,"Statement 3: subordinate intent to adaptability; launch is a step toward understanding; design with multistability for serendipity."
Wendt,cites,Peter-Paul-Verbeek,p.162 / pdf 164,"Theory of mediation: users adopt devices as interpretive objects; objects affect users as much as users affect objects."
technological-objects,mediates,user-world-relationship,p.162-163 / pdf 164-165,"Wendt-says (via Verbeek): weapons/machines/devices mediate to the point the user literally changes (gun example)."
Wendt,cites,Bruno-Latour,p.163 / pdf 165,"Hotel-key example: the weighted keychain makes the return decision, disclosing the activity/agency of objects."
Latour-hotel-key,discloses,activity-of-objects,p.163 / pdf 165,"The keychain decides for the guest; objects have systemic effects long after the client's check is cashed."
objects-more-than-material,designs-for,preferable-worlds,p.163 / pdf 165,"Statement 4: experience designers advocate not only for users but for preferable worlds; resist persuasive design / dark patterns."
Wendt,cites,Klaus-Krippendorff,p.164 / pdf 166,"Product semantics: identify and optimize opportunities for creating meaning through interaction; shifts evaluation from functionality to meaning."
utility-does-not-trump-meaning,applies-to-design,design-with-meaning,p.163-164 / pdf 165-166,"Statement 5: products need not be functionally perfect; the meaning created in interaction is the ultimate concern; design with multistability."
phenomenological-design-thinking,co-evolves-with,actualization-of-desire-rhetorical-ontology,p.154-156 / pdf 156-158,"RO-hook (provenance: anticipatory-application): praxis-as-being-in-the-world + the ready-to-hand/present-at-hand continuum map onto the chain's embodied energeia and its disruption-to-deliberation hinge."
Wendt,defines,book-aim-base-of-knowledge,p.164-165 / pdf 166-167,"In Conclusion: establish a base of knowledge on phenomenological philosophy others can build on; not a grand narrative redefining experience design."
