source,relation,target,locus,note
bor-sec-41,defines,GazeMotive (demonstration system) / gaze-to-feedback architecture (TERM),p.544-547,"Names and describes the working Windows-desktop application: a Tobii eye tracker plus self-report feed previously-built logistic regression models, whose motivational-state inferences drive a pedagogical agent's real-time personalised text/picture feedback (FE, p.544-547)."
bor-sec-41,treats-construct,flow / engagement (contrast pole),p.544-546,"The paper's real organizing construct: the system exists to detect and remediate low motivation/engagement and sustain 'motivation-enhanced learning experience and better learning performance'; 'motivation and engagement' are named together as the target outcome (FE, p.544-546)."
bor-sec-41,treats-construct,attentional disengagement / meta-awareness,p.546-547,"Treated only indirectly, via two gaze-detected proxies rather than the paper's own vocabulary: a 'negative reading experience' flagged during a learning page, and a user detected as 'having not put enough effort' during a quiz (FE, p.546-547, Fig.2) (P/anticipatory-application for the construct mapping)."
bor-sec-41,treats-construct,situational vs. trait/state boredom,p.546,"Not treated as boredom, but the motivation model draws a parallel stability split: Self-Efficacy/Attitudes Toward School are trait-like and assessed once via self-report, while Confirmed Fit/Reading Experience vary dynamically and are assessed continuously from gaze -- a motivation-domain analogue, not a boredom-domain claim (FE, p.546)."
bor-sec-41,operationalizes-measure,gaze variance / fixation dispersion,p.545-546,"Tobii Eye Tracker 4C; AOI-based gaze features including fixation number, computed per learning-material page; accuracy figure (up to 81.3%) borrowed from the cited prior study ref [5], no new figure reported here (FE, p.545-546)."
bor-sec-41,operationalizes-measure,pupil dilation / pupillometry,p.545-546,"Average pupil diameter, cited from ref [5]'s prior experiment as one of two gaze features (with fixation number) carrying significant motivation-prediction weight (FE, p.545-546)."
bor-sec-41,operationalizes-measure,self-report / survey scale,p.545-546,"Self-input data collected at session start for stable intrinsic-motivation factors (Attitudes Toward School, Self-Efficacy), plus the multi-item questionnaire study underlying the original motivation model (refs [1],[2]) (FE, p.545-546)."
bor-sec-41,operationalizes-measure,ML classification,p.545-546,"Previously-built logistic regression models (from ref [5]) mapping gaze features to motivational-factor scores; GazeMotive states it 'improved the prediction models by including only the gaze features that have significant prediction power,' reporting no new accuracy figure (FE, p.545-546)."
bor-sec-41,operationalizes-measure,behavioral (RT / errors / performance-monitoring),p.546-547,"Quiz-answer correctness combined with gaze-detected effort level to trigger quiz-stage personalised feedback (FE, p.546-547, Fig.2b)."
bor-sec-41,construct-measured-by,"flow / engagement (motivation broadly) <- ML classification (logistic regression on gaze features)",p.545-546,"The paper's own internal construct-measure pairing: motivational-factor states (feeding the engagement-sustaining feedback loop) are inferred from gaze features via the reused logistic regression models (FE, p.545-546)."
bor-sec-41,construct-measured-by,"attentional disengagement / meta-awareness (negative reading experience / insufficient effort) <- gaze variance/fixation dispersion + pupil dilation",p.546-547,"The paper's own internal construct-measure pairing: the two named feedback triggers are detected directly from gaze features (fixation, pupil diameter) rather than from self-report (FE, p.546-547, Fig.2)."
bor-sec-41,instances-in-text,attentional disengagement / meta-awareness,p.546-547,"Concrete instantiation via Fig.2's two screenshots: (a) a learning-page feedback message triggered by gaze-detected 'negative reading experience'; (b) a quiz-stage feedback message triggered by an incorrect answer co-occurring with gaze-detected low effort (FE, p.546-547)."
bor-sec-41,cites,"Wang, R., Chen, L., Solheim, I., Schulz, T., Ayesh, A. (2017) -- Conceptual motivation modeling for students with dyslexia for enhanced assistive learning",p.544-545,"Source of the conceptual motivation model (intrinsic/extrinsic factors, mediators) that GazeMotive implements (FE, p.544-545, ref [1])."
bor-sec-41,cites,"Wang, R., Chen, L., Solheim, I. -- Modeling dyslexic students' motivation for enhanced learning in E-learning systems (submitted, ACM TiiS)",p.545,"Companion modeling paper for the same motivation model (FE, p.545, ref [2])."
bor-sec-41,cites,"Poole, A., Ball, L. (2006) -- Eye tracking in human-computer interaction and usability research",p.545,"Background citation establishing eye gaze as an index of cognitive process (problem solving) (FE, p.545, ref [3])."
bor-sec-41,cites,"Alghowinem, S., Alshehri, M., Goecke, R. (2014) -- Exploring eye activity as an indication of emotional states using an eye-tracking sensor",p.545,"Background citation for pupil dilation as an indicator of emotional states (FE, p.545, ref [4])."
bor-sec-41,cites,"Wang, R., Chen, L., Ayesh, A., Shell, J., Solheim, I. -- Gaze-based assessment of dyslexic students' motivation within an E-learning environment (accepted, IEEE UIC 2019)",p.545-546,"The key prior empirical study GazeMotive draws its gaze features (pupil diameter, fixation number), logistic regression models, and 81.3% accuracy figure from; GazeMotive itself reports no new validation (FE, p.545-546, ref [5])."
bor-sec-41,qualifies,situational vs. trait/state boredom,p.546,"Qualifies the mapping onto the controlled construct axis: the paper's stable-vs-dynamic motivational-factor split is a motivation-domain analogue of the trait/state distinction, not itself a claim about boredom (P/anticipatory-application, p.546)."
bor-sec-41,grounds-measure,Boredom Experiment (VR Attention Study) -- gaze-based motivation/engagement channel,n/a,"****** UNVERIFIED: GazeMotive's AOI-plus-average-pupil-diameter-plus-fixation-number feature set, and its trait/state-like split between self-report- and gaze-assessed motivational factors, sketch a plausible template for a future VR attention study's engagement/motivation channel, but VR headset-integrated eye tracking differs substantially in geometry (3D gaze vectors, headset-relative AOIs) from this study's screen-based Tobii 4C setup; linkage requires the dataset entry's own instrumentation to be confirmed (P/anticipatory-application)."
bor-sec-41,bridges-to-part-iii,motivation/engagement decline as gaze-detectable without self-report,n/a,"P/anticipatory-application -- GazeMotive offers Part III a concrete existence-proof that motivation/engagement decline (framed here as 'negative reading experience' / low effort) is operationally detectable from gaze features alone, relevant to Part III's student-boredom/engagement frame even though the source paper never names boredom."
bor-sec-41,bridges-to-part-iii,accuracy-figure provenance caution (81.3% belongs to ref [5] not to GazeMotive itself),n/a,"P/anticipatory-application -- because GazeMotive is a demonstration rather than a validation study, Part III should attribute the 81.3% gaze-based motivation-prediction accuracy to the cited companion study (ref [5]), not to this paper, and should not read the demo's existence as independent confirmation of that figure."
bor-sec-41,bridges-to-part-iii,"thematic parallel to e-learning eye-tracking-for-motivation units (bor-sec-35, bor-sec-39)",n/a,"P/anticipatory-application -- GazeMotive likely sits in a small thematic cluster with bor-sec-35 (Charoenpit & Ohkura) and bor-sec-39 (Sharma et al.), both e-learning eye-tracking-for-motivation units; if those exist on disk, cross-reference is worth checking for shared apparatus (Tobii-class trackers), shared AOI methodology, or convergent/divergent accuracy claims -- not verified here."
