source,target,relation,edge_domain,units,note
Aletheia,Truth-correspondence,contrasts_with,ontological,BT-Intro-U2,"Aletheia (unconcealment) is primordial; correspondence (adequatio) is derivative (§7B, H.33–34)."
Alltaeglichkeit,Dasein,operationalizes,methodological,BT-D1-U1,"Average everydayness is the starting point for the analytic (§9, H.43–44)."
Ambiguity,Understanding,is_meaning_of,existentiale-structural,BT-D1-U7,"Ambiguity is the fallen mode of understanding (§37, H.173)."
Anticipation,Awaiting,contrasts_with,temporal,BT-D2-U4,Authentic vs. inauthentic future (§68a).
Anticipation,Being-towards-death,operationalizes,existential,BT-D2-U1,"Anticipation is authentic Being-towards-death (§53, H.261–267)."
Anticipation,Dasein-as-whole,supports,existentiale-structural,BT-D2-U1,"Anticipation includes taking the whole of Dasein in advance (§53, H.264–265)."
Anticipation,Expecting,contrasts_with,existential,BT-D2-U1,"Expecting leaps to the actual; anticipation stays with possibility (§53, H.261–262)."
Anticipation,Freedom-towards-death,explains,existential,BT-D2-U1,"Anticipation discloses freedom towards death (§53, H.266)."
Anticipatory-Resoluteness,Being-guilty,depends_on,existential,BT-D2-U3,"Anticipatory resoluteness projects upon Being-guilty (§62, H.305–306)."
Anticipatory-Resoluteness,Being-towards-death,depends_on,existential,BT-D2-U3,"Resoluteness becomes authentic only as anticipation of death (§62, H.305–307)."
Anticipatory-Resoluteness,Resoluteness,refines,existential,BT-D2-U3,"Anticipatory resoluteness is resoluteness plus death (§62, H.305–309)."
Anxiety,Being-towards-death,operationalizes,existential,BT-D2-U1,"Anxiety discloses Being-towards-death (§50, H.251)."
Anxiety,Care,operationalizes,existentiale-structural,BT-D1-U8,Anxiety discloses Dasein's Being as care (§§39–41).
Anxiety,Falling,explains,existential,BT-D1-U8,"Falling is grounded in anxiety (§40, H.184–185)."
Anxiety,Fear,contrasts_with,existentiale-structural,BT-D1-U8,"Fear vs. anxiety: definite entity vs. 'nothing and nowhere' (§40, H.185–186)."
Anxiety,Having-been,depends_on,temporal,BT-D2-U4,Anxiety is grounded primarily in having-been (§68b).
Anxiety,Individuation,operationalizes,existential,BT-D1-U8,"Anxiety individualizes Dasein (§40, H.187–188)."
Anxiety,State-of-mind,refines,existentiale-structural,BT-D1-U8,Anxiety is the most primordial state-of-mind (§§39–40).
Apophantical-As,Hermeneutical-As,contrasts_with,existentiale-structural,BT-D1-U6,"Hermeneutical 'as' reaches into involvements; apophantical restricts to presence-at-hand (§33, H.158)."
Apophantical-As,Hermeneutical-As,depends_on,existentiale-structural,BT-D1-U6,"The apophantical 'as' is levelled from the hermeneutical 'as' (§33, H.158)."
Aristotle-Rhetoric-Pathe,State-of-mind,historicizes,genealogical,BT-D1-U5,"Aristotle's Rhetoric II is the first systematic hermeneutic of pathe (§29, H.138)."
Aristotle-time-definition,Temporality,presupposes,genealogical,BT-D2-U6,Aristotle's definition presupposes primordial temporality (§81).
Aristotle-time-definition,Within-time-ness,explains,genealogical,BT-D2-U6,Aristotle's definition is an interpretation of within-time-ness (§81).
As-structure,Interpretation,explains,existentiale-structural,BT-D1-U6,"The as-structure constitutes interpretation (§32, H.149)."
As-structure,Temporality,depends_on,existentiale-structural,BT-D2-U4,The as-structure is grounded in temporality (§69a).
Assertion,Interpretation,depends_on,existentiale-structural,BT-D1-U6,"Assertion is a derivative mode of interpretation (§33, H.153–157)."
Assertion,Logos,refines,methodological,BT-D1-U6,"Heidegger's three significations refine the Greek logos (§33, H.154–160)."
Assertion,Presence-at-hand,operationalizes,ontological,BT-D1-U6,"In assertion, ready-to-hand becomes present-at-hand (§33, H.158)."
Assertion,Truth-as-uncovering,operationalizes,ontological,BT-D1-U9,"Assertion is a derivative mode expressing uncoveredness (§44b, H.224–225)."
Averageness,Das-Man,operationalizes,existential,BT-D1-U4,"Averageness constitutes the 'they' (§27, H.127)."
Being-guilty,Care,depends_on,existentiale-structural,BT-D2-U2,"Care is permeated with nullity; Dasein as such is guilty (§58, H.284–285)."
Being-guilty,Moral-guilt,contrasts_with,ontological,BT-D2-U2,"Primordial Being-guilty is prior to moral guilt (§58, H.286)."
Being-guilty,Nullity,is_meaning_of,ontological,BT-D2-U2,"Being-guilty = Being-the-basis-of-a-nullity (§58, H.283)."
Being-in-the-world,Dasein,explains,existentiale-structural,BT-D1-U1,"Being-in-the-world is the unitary basic state of Dasein (§12, H.52–53)."
Being-in-the-world,Subject-Object-Schema,undermines,ontological,BT-D1-U1,"Being-in-the-world undermines the subject-object schema (§§12–13, H.54–62)."
Being-towards-death,Care,operationalizes,existentiale-structural,BT-D2-U1,"Being-towards-death defined in terms of care's three moments (§50, H.249–252)."
Being-towards-death,Conscience,presupposes,existential,BT-D2-U1,"Factical attestation requires conscience (§53, H.267)."
Being-towards-the-end,Being-at-an-end,contrasts_with,existential,BT-D2-U1,"Death is not Being-at-an-end but Being-towards-the-end (§48, H.245)."
Being-with,Being-in-the-world,operationalizes,existential,BT-D1-U4,"Being-with is equiprimordial with Being-in-the-world (§26, H.117–118)."
Being-with,Significance,supports,existential,BT-D1-U4,"Being-with goes to make up significance/worldhood (§26, H.123–124)."
Besorgen,In-Sein,operationalizes,existentiale-structural,BT-D1-U1,"Concern is the kind of Being belonging to all ways of Being-in (§12, H.56–57)."
Call-of-conscience,Discourse,operationalizes,existentiale-structural,BT-D2-U2,"Calling is a mode of discourse (§55–56, H.271–274)."
Care,Being-a-whole,presupposes,existentiale-structural,BT-D2-U1,"Care's ahead-of-itself generates the problem of wholeness (§45, H.231–233)."
Care,Being-ahead-of-itself,presupposes,existentiale-structural,BT-D1-U8,"Being-ahead-of-itself is the first moment of care (§41, H.191–192)."
Care,Being-alongside,presupposes,existentiale-structural,BT-D1-U8,"Being-alongside is the third moment (§41, H.192–193)."
Care,Being-already-in-the-world,presupposes,existentiale-structural,BT-D1-U8,"Being-already-in-the-world is the second moment (§41, H.192)."
Care,Being-in-the-world,explains,existentiale-structural,BT-D1-U8,"Care is the formal existential totality of being-in-the-world (§41, H.192–193)."
Care,Concern,explains,existentiale-structural,BT-D1-U8,"Concern is grounded in care (§41, H.193)."
Care,Existentiality,depends_on,existentiale-structural,BT-D1-U8,"Existentiality is one of three characteristics unified in care (§41, H.191)."
Care,Facticity,depends_on,existentiale-structural,BT-D1-U8,"Facticity is one of the three characteristics (§41, H.191)."
Care,Solicitude,explains,existentiale-structural,BT-D1-U8,"Solicitude is grounded in care (§41, H.193)."
Care,Temporality,presupposes,temporal,BT-D1-U8,"The cura fable assigns primordial Being to Saturn/Time (§42, H.199)."
Certainty-of-death,Truth-as-disclosedness,depends_on,ontological,BT-D2-U1,"Certainty is grounded in Being-in-the-truth (§52, H.256–257)."
Circumspection,Readiness-to-hand,explains,existential,BT-D1-U2,"Circumspection is the sight in which readiness-to-hand is disclosed (§15, H.69)."
Circumspective-concern,Temporality,depends_on,temporal,BT-D2-U4,Concern is grounded in the ecstatical unity (§69a).
Clock,Time-reckoning,operationalizes,existential,BT-D2-U6,The clock operationalizes time-reckoning (§80).
Closeness,Readiness-to-hand,depends_on,existentiale-structural,BT-D1-U4,"Closeness is intimated in readiness-to-hand (§22, H.102)."
Conscience,Care,operationalizes,existentiale-structural,BT-D2-U2,"Conscience manifests as the call of care (§57, H.277–278)."
Conscience,Disclosedness,refines,existentiale-structural,BT-D2-U2,"Conscience belongs to disclosedness (§55, H.270–271)."
Conscience,They-self,contrasts_with,existential,BT-D2-U2,"The call passes over the they-self (§56, H.272–273)."
Conspicuousness,Readiness-to-hand,operationalizes,ontological,BT-D1-U2,"Conspicuousness makes readiness-to-hand phenomenally visible (§16, H.73)."
Cura-fable,Care,supports,methodological,BT-D1-U8,"The Hyginus fable confirms care (§42, H.197–199)."
Curiosity,Care,presupposes,existential,BT-D1-U7,"Curiosity is grounded in care (§36, H.171)."
Curiosity,Circumspection,refines,existentiale-structural,BT-D1-U7,"Curiosity arises when circumspection is released from concern (§36, H.172)."
Curiosity,Sight,is_meaning_of,existentiale-structural,BT-D1-U7,"Curiosity is the fallen mode of seeing (§36, H.170)."
Das-Man,Being-with,presupposes,existential,BT-D1-U4,"The 'they' presupposes Being-with (§27, H.126)."
Das-Man,Evasion,explains,existential,BT-D2-U1,"The 'they' is the source of everyday evasion (§51, H.252–254)."
Dasein,Being,depends_on,ontological,BT-Intro-U1,Dasein's ontical priority: its Being is an issue for it; its ontological priority: it has an understanding of Being.
Dasein-spatiality,Cartesian-extension,contrasts_with,ontological,BT-D1-U4,Existential spatiality contrasts with Cartesian extension (§24).
Dasein-spatiality,De-severance,depends_on,existentiale-structural,BT-D1-U4,De-severance and directionality constitute Dasein's spatiality (§23).
Dasein-spatiality,Directionality,depends_on,existentiale-structural,BT-D1-U4,Directionality is the second constitutive existentiale of spatiality (§23).
Dasein-spatiality,Temporality,presupposes,temporal,BT-D1-U4,§70 will ground spatiality in temporality.
Dasein-with,Being-with,depends_on,existential,BT-D1-U4,"Others' Being-in-themselves is disclosed through Being-with (§26, H.120)."
Datability,Temporality,operationalizes,existentiale-structural,BT-D2-U6,Datability operationalizes ecstatical temporality in concern (§79).
