source,relation,target,locus,note
bor-sec-42,treats-construct,flow / engagement (contrast pole),pp.795-797,"Central to Sense of Content ('Flow through World'); interviewees describe frictionless engagement once physical-world constraints (walls, injury) are lifted; no Csikszentmihalyi-style theory cited (FAITHFUL-Haj-Bolouri)."
bor-sec-42,treats-construct,monotony / meaninglessness,"pp.791-792, 802-803","Meaninglessness (not monotony) operative throughout as meaningfulness's contrast term; an experience can be 'filled with meaning' without becoming meaningful (FAITHFUL-Haj-Bolouri, p.803)."
bor-sec-42,treats-construct,attentional disengagement / meta-awareness,p.787,"Treated only in the engaged/absorbed direction (inverse of controlled-vocabulary framing): presence defined as attention 'fully directed towards the IVR environment' (FAITHFUL-Haj-Bolouri, quoting Biocca & Levy 2013)."
bor-sec-42,treats-construct,temporality of boredom (time-drag),"pp.787, 801","Near-miss: documents temporal compression ('forgetting about time') under immersion and a temporality-of-mattering tied to Sense of Care, not felt time-dilation (FE)."
bor-sec-42,operationalizes-measure,self-report / survey scale,pp.793-795,"Qualitative-interview modality: Bevan (2014) phenomenological-interview structure, N=12 (SJ train operators/drivers/instructor); Eatough & Smith (2017) IPA in NVivo 12, 812 open codes -> 17 themes -> 4 characteristics; memo count internally inconsistent (50 in prose vs. 46 in Table 4, both p.794) (FAITHFUL-Haj-Bolouri)."
bor-sec-42,construct-measured-by,flow / engagement (contrast pole),pp.795-797,Sense of Content characteristic operationalized via the same phenomenological-interview/IPA instrument (FE).
bor-sec-42,construct-measured-by,monotony / meaninglessness,pp.802-803,Meaningfulness/meaninglessness distinction operationalized via the same phenomenological-interview/IPA instrument (FE).
bor-sec-42,defines,meaning vs. meaningfulness (TERM),"Table 2, pp.791-792","Meaning = representational/created/attributed intelligibility; meaningfulness = subjective/experienced/significant mattering to the lifeworld via mood and care (FAITHFUL-Haj-Bolouri)."
bor-sec-42,defines,Virtual Dasein (TERM),pp.804-805,"Proposes 'Virtual Dasein' (being-in-the-virtual-world) as an extension of Heidegger's Dasein (being-in-the-world) (FAITHFUL-Haj-Bolouri)."
bor-sec-42,defines,meaningful escapism (TERM),pp.788-789,"Frames the IVR experience as a fleeting feeling of escape that becomes meaningful through Content, Familiarity, Mood, and Care (FE)."
bor-sec-42,defines,breakdown situation: obstinate vs. obstructive (TERM),p.803,"Borrowed from Dreyfus (1991, 2002), explicitly conceded as not Heidegger's own term; obstinate = temporary malfunction that can stimulate care, obstructive = permanent failure collapsing the experience to present-at-hand (FAITHFUL-Haj-Bolouri)."
bor-sec-42,cites,"Heidegger, Martin (1962) -- Being and Time (AUTHOR)","throughout, esp. pp.790-792","Primary theoretical framework: Dasein, being-in-the-world, meaning/meaningfulness, mood, care. Fundamental Concepts of Metaphysics is never cited (FAITHFUL-Haj-Bolouri)."
bor-sec-42,cites,"Husserl, Edmund (1962) (AUTHOR)",p.790,"Named as an alternative phenomenological stream (consciousness) and explicitly set aside in favor of Heidegger (FAITHFUL-Haj-Bolouri)."
bor-sec-42,cites,"Merleau-Ponty, Maurice (1982) (AUTHOR)",p.790,"Named as an alternative phenomenological stream (bodily perception) and explicitly set aside in favor of Heidegger (FAITHFUL-Haj-Bolouri)."
bor-sec-42,cites,"Van Manen, Max (2016, 2017) (INTERLOCUTOR)","pp.784, 790-792, 801-803",Phenomenological methodology and lifeworld concept cited extensively through the meaning/meaningfulness discussion (FE).
bor-sec-42,cites,"Dreyfus, Hubert (1991, 2002) (INTERLOCUTOR)",pp.786; 803-805,"Source of the 'breakdown' (obstinate/obstructive) vocabulary, explicitly borrowed rather than Heidegger's own term (FAITHFUL-Haj-Bolouri)."
bor-sec-42,cites,"Eatough, Virginia & Smith, Jonathan A. (2017) (INTERLOCUTOR)",pp.793-795,Interpretive Phenomenological Analysis methodology adopted for data analysis (FE).
bor-sec-42,cites,"Bevan, Mark T. (2014) (INTERLOCUTOR)","Table 3, pp.793-794",Phenomenological interview-structure framework adapted for data collection (FE).
bor-sec-42,cites-cluster-author,bor-sec-02,p.784,"Cites Elpidorou & Freeman 'Affectivity in Heidegger I: Moods and emotions in Being and Time' (2015) for its general mood/meaning claims only -- not engaged for boredom content (FAITHFUL-Haj-Bolouri)."
bor-sec-42,cites-cluster-author,bor-sec-03,"pp.784, 791, 803, 804","Cites Freeman & Elpidorou 'Affectivity in Heidegger II: Temporality, boredom, and beyond' (2015) four times for general mood/care/meaningfulness claims; never once for its boredom argument despite the boredom-referencing title -- the key evidentiary basis for this unit's no-FCM-bridge verdict (FAITHFUL-Haj-Bolouri)."
bor-sec-42,contests-reading-of,representationalist/presence-theory ontology of IVR (Biocca; Durlach & Slater; Heeter; Held & Durlach; Lombard & Ditton; Loomis) (READING/CLAIM),"pp.784-785, 793","Positions its Heideggerian, meaning/meaningfulness-based approach as going 'beyond the ontological assumptions of representationalism' that dominate Computer Science/HCI conceptualizations of the IVR experience (FAITHFUL-Haj-Bolouri)."
bor-sec-42,qualifies,escapism-as-negative-avoidance (Evans 2001) (READING/CLAIM),"pp.788-789, 806","Synthesizes Evans's negative view with Hazzard's (2016) positive view into a 'dual sword' framing rather than adopting either wholesale (FE)."
bor-sec-42,extends,Dasein / being-in-the-world (Heidegger 1962) (READING/CLAIM),pp.804-805,"Extends Dasein into 'Virtual Dasein' (being-in-the-virtual-world) as an alternative mode of being-in for IVR end-users (FAITHFUL-Haj-Bolouri)."
bor-sec-42,shifts-debate-axis,phenomenological-disclosure vs. representationalist-ontology accounts of the IVR/presence experience (DEBATE-AXIS),pp.784-785,"Surfaces and takes a side in the tension between representationalist presence-theory (dominant in CS/HCI) and a Heideggerian phenomenological account of meaningfulness (FE)."
bor-sec-42,instances-in-text,Sense of Content (Train Operator 1 and Train Operator 2 excerpts) (THEME),pp.795-797,"Illustrates Flow through World via freedom from real-world consequence and constraint ('I feel much freer to express myself...,' Train Operator 1) (FAITHFUL-Haj-Bolouri, direct quotes <=12 words)."
bor-sec-42,instances-in-text,Sense of Familiarity (Train Operator 3 and Train Operator 4 excerpts) (THEME),pp.797-799,"Illustrates orientation via prior real-train knowledge and disorientation via teleportation-induced dizziness (FAITHFUL-Haj-Bolouri)."
bor-sec-42,instances-in-text,Sense of Mood (Train Driver 2 fire-hose glitch excerpt) (THEME),pp.799-800,"Illustrates enactment of meaning via a mood shift from serious to funny triggered by an obstinate breakdown (FAITHFUL-Haj-Bolouri)."
bor-sec-42,instances-in-text,"Sense of Care (Instructor 1, Train Operator 6, Train Driver 2 excerpts) (THEME)",pp.801-802,"Illustrates actualization of meaning contingent on transferability of virtual-world skills to real-world practice (FAITHFUL-Haj-Bolouri)."
bor-sec-42,instances-in-text,SJ IVR fire-safety training empirical case (THEME),pp.792-793,"Five-step training scenario (HMD/hose-replica equip -> instructor briefing -> teleport -> trial-and-error extinguishing -> debrief) with 12 participants (FAITHFUL-Haj-Bolouri)."
bor-sec-42,qualifies,Dasein always in some mood incl. indifference (Being and Time Sec.29) (TERM),p.791,"P/anticipatory-application: this is the doctrinal home from which FCM's boredom analysis later specializes, but the paper stops at the general-mood level and never makes that specialization itself -- the single closest approach to FCM content in the source, still judged insufficient for a bridge."
bor-sec-42,grounds-measure,Boredom Experiment (VR Attention Study) -- presence/immersion self-report or qualitative-interview supplement,n/a,"****** UNVERIFIED: contributes no hard physiological/behavioral channel; Bevan's (2014) three-stage interview structure is a reusable qualitative-interview template for a possible future presence/immersion probe, not a physiological instrument; linkage unverified until the dataset entry specifies its own instrumentation (P/anticipatory-application)."
bor-sec-42,bridges-to-part-iii,Part III lab-VR vs. deployment-2D-PC engagement/affect interpretation,n/a,"P/anticipatory-application: the Sense of Content/Familiarity/Mood/Care quartet offers a qualitative vocabulary for interpreting why lab-VR participants might report different engagement/affective profiles than deployment-2D-PC participants, independent of any boredom claim."
bor-sec-42,bridges-to-part-iii,Part III VR-session technical-hiccup coding (obstinate vs. obstructive breakdown),n/a,"P/anticipatory-application: the obstinate/obstructive breakdown distinction (borrowed from Dreyfus) supplies a ready-made qualitative vocabulary for coding technical glitches (tracking loss, control glitches, latency) in Part III's own VR sessions and their effect on participant mood."
bor-sec-42,bridges-to-part-iii,Part III methodological negative-control on phenomenology-inspired sourcing,n/a,"P/anticipatory-application: demonstrates that 'phenomenology-inspired' and 'Heideggerian' are not proxies for genuine engagement with FCM's boredom analysis -- a caution for how Strand F sources are triaged for bridging in the cluster's own synthesis."
