concept,DISS-00,DISS-01,DISS-02,DISS-03,DISS-04,DISS-05,sections_used,centrality
A_4 (completed cognitive actuality),3,1,1,3,1,3,6,core
actualization chain (Aₙ),3,3,3,3,3,3,6,core
kinēsis (motion),3,3,3,2,2,1,6,core
moved mover,3,1,1,1,2,3,6,core
orexis (desire),2,2,3,3,3,3,6,core
pathos / pathē (emotion),1,1,3,2,3,3,6,core
phantasia,3,2,2,3,2,1,6,core
phantasma / phantasmata,3,1,2,3,3,2,6,core
A_0 (motion-time as first actuality),3,3,2,1,0,2,5,core
A_1 (preconditions for perception),3,2,3,1,0,1,5,core
A_3 (phantasma proper),3,1,2,3,1,0,5,core
aisthēsis (sense-perception),3,1,3,2,2,0,5,core
doxa (opinion/belief),2,0,1,3,3,3,5,core
dunamis / potentiality,2,3,3,1,1,0,5,core
resonant kinēsis,2,0,3,2,2,1,5,core
resonant orexis,1,0,3,3,2,1,5,core
rhetorical phantasia / soul's rhetorical nature,3,0,1,2,3,2,5,core
three-factor schema (DA III.10),3,1,1,0,1,3,5,core
A_2 (completed perception with dual trace),3,1,3,1,0,0,4,core
dual-trace thesis,2,0,3,2,1,0,4,core
ecstatic temporality (past/present/future horizon),2,2,0,2,2,0,4,core
orthogonal committal doxa,1,0,0,3,2,2,4,core
pathos simpliciter,0,0,3,2,2,1,4,core
resonant aisthēma,1,0,3,2,1,0,4,core
articulational concretion,0,0,0,1,3,1,3,core
basic affective valence,0,0,2,0,3,1,3,core
energeia ateles,2,3,1,0,0,0,3,core
motion-time parallel,3,3,0,1,0,0,3,core
unmoved originator (relative),3,1,2,1,1,2,6,important
Dasein,1,2,2,1,1,0,5,important
Heidegger Being and Time (SZ),1,2,0,1,2,1,5,important
alloiōsis (alteration),1,1,3,0,2,1,5,important
logos (account),1,1,2,2,2,0,5,important
ontological/ontic distinction,2,2,1,1,3,0,5,important
Heidegger BCAP (Basic Concepts of Aristotelian Philosophy),0,1,2,1,2,0,4,important
aisthēma,1,0,3,2,1,0,4,important
disclosedness (Erschlossenheit),0,0,1,2,2,1,4,important
entelecheia (complete actuality),2,3,1,1,0,0,4,important
hexis (bivalent: technē vs praxis),0,0,1,1,2,3,4,important
realizable good (to orekton / to prakton),2,0,0,2,1,3,4,important
residual motion / residual trace,2,0,3,1,1,0,4,important
Befindlichkeit (state-of-mind/attunement),0,0,2,0,3,1,3,important
central organ / kardia (common sense),2,0,1,3,0,0,3,important
doxa-gate / content-conditional gating,0,0,0,1,2,3,3,important
krisis / diakrisis (discrimination),2,0,0,1,2,0,3,important
logos enulos / enmattered accounts,1,0,3,0,2,0,3,important
"perception as joint energeia (single event, two logoi)",2,1,3,0,0,0,3,important
priority of actuality,2,3,1,0,0,0,3,important
sense-organ,2,2,3,0,0,0,3,important
Being-in-the-world,0,1,1,1,2,1,5,supporting
aretē / virtue,1,0,1,1,1,2,5,supporting
being-affected / pathein,1,1,1,1,3,0,5,supporting
memory (mnēmē),1,1,1,3,1,0,5,supporting
practical syllogism,1,0,0,1,1,2,4,supporting
Burke (entelechy / Grammar of Motives),2,1,0,1,0,0,3,supporting
Frede threefold (capacity/activity/product),2,0,1,1,0,0,3,supporting
Stimmung (mood),0,0,1,0,3,1,3,supporting
bouleutikē / deliberative phantasia,1,0,0,3,0,1,3,supporting
eidos (form),0,1,0,2,1,0,3,supporting
noēsis / nous (intellection),1,0,1,3,0,0,3,supporting
praxis (action),1,0,0,0,1,3,3,supporting
scale-invariance of unmoved originators,3,1,0,0,0,1,3,supporting
Geworfenheit (thrownness),0,0,1,0,3,0,2,supporting
Nussbaum (1985),1,0,1,0,0,0,2,supporting
O'Gorman (Aristotle's Phantasia),1,0,0,1,0,0,2,supporting
Papachristou (three grades of phantasia),1,0,0,1,0,0,2,supporting
Uexküll / Umwelt,1,0,2,0,0,0,2,supporting
aspectual presentation (the 'as'-structure),1,0,0,2,0,0,2,supporting
habituation / ethos (sedimentation),0,0,0,0,1,3,2,supporting
hylomorphism,1,0,3,0,0,0,2,supporting
kairos,0,0,0,0,1,1,2,supporting
phasis (predication),0,0,0,1,0,1,2,supporting
preservative alteration (perfective alloiōsis),1,0,3,0,0,0,2,supporting
sumplokē (combination),1,0,0,1,0,0,2,supporting
synthesis of phantasmata (compositional mode),1,0,0,2,0,0,2,supporting
taking-as-something,0,0,0,3,0,1,2,supporting
technē (craft),0,0,0,0,1,3,2,supporting
three orientational modes (intellection/memory/deliberative),1,0,0,3,0,0,2,supporting
Mitsein (being-with),0,0,0,0,2,0,1,supporting
Rickert,1,0,0,0,0,0,1,supporting
White (1985),1,0,0,0,0,0,1,supporting
