source_id,relation,target_id,domain,centrality_tier,book_page,provenance,supporting_unit_ids,notes,source_id_original,target_id_original,resolution_status
C-002,defines,IG-00:six-dimensions-preview,game-studies,1,4,text-anchored,IG-00-INTRO,Lines 119-136 — involvement umbrella covers the six dimensions named in tight succession with one-clause glosses,,,partial
C-002,defines,IG-00:macro-micro-preview,game-studies,1,4,text-anchored,IG-00-INTRO,Lines 110-118 — PIM spans macro (off-line) and micro (moment-to-moment) phases; involvement is the genus spanning both,,,partial
C-002,extends,C-003,game-studies,1,3,text-anchored,IG-00-INTRO,Lines 79-82 — incorporation is the most intensified and internalized blend of involvement dimensions; species within the involvement genus,,,resolved
IG-00:presence-immersion-quandary,defines,C-003,virtual-worlds-theory,1,3,text-anchored,IG-00-INTRO,Lines 79-87 — incorporation announced as the book's answer to the presence/immersion quandary,,,partial
C-003,defines,IG-00:incorporation-as-metaphor,virtual-worlds-theory,2,3,text-anchored,IG-00-INTRO,Lines 83-87 — Calleja concedes incorporation is 'ultimately a metaphor like presence or immersion' but claims it avoids problematic connotations and is more robust scaffolding,,,partial
C-003,defines,IG-00:blending-of-experiential-phenomena,virtual-worlds-theory,1,3,text-anchored,IG-00-INTRO,"Lines 75-79 — presence/immersion reframed as blending of experiential phenomena, not stand-alone phenomena",,,partial
C-003,defines,IG-00:intensified-internalized-blend,virtual-worlds-theory,1,3,text-anchored,IG-00-INTRO,"Lines 79-82 — culmination requires both intensification AND internalization (two operative criteria, thresholds unspecified at Intro level)",,,partial
C-017,defines,C-008,virtual-worlds-theory,1,2,text-anchored,IG-00-INTRO,Lines 63-66 — shortening of subjective distance yields sensation of inhabiting the on-screen space; habitation is the surviving metaphor,,,resolved
C-012,defines,IG-00:cybernetic-native-standpoint,game-studies,2,2,text-anchored,IG-00-INTRO,Lines 35-44 — Calleja positions himself as first-generation cybernetic native; the Gzira vignette grounds the authorial standpoint,,,partial
C-001,announces,IG-03:player-involvement-model,game-studies,1,2,text-anchored-forward-pointer,IG-00-INTRO,Lines 56-66 — PIM announced as ranging from general motivations to moment-to-moment gameplay; full elaboration in Ch.3,,,partial
IG-00:six-dimensions-preview,announces,D-001,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,Line 130 — 'control and movement (kinesthetic involvement)' named with one-clause gloss; full elaboration in Ch.4,,,partial
IG-00:six-dimensions-preview,announces,D-002,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,Lines 130-131 — 'exploration and learning of the game's spatial domain (spatial involvement)'; full elaboration in Ch.5,,,partial
IG-00:six-dimensions-preview,announces,D-003,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,"Lines 131-133 — 'co-presence, collaboration, and competition with other agents (human or AI)'; full elaboration in Ch.6",,,partial
IG-00:six-dimensions-preview,announces,D-004,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,Lines 133-134 — 'formation of an ongoing story and interaction with the scripted narrative (narrative involvement)'; full elaboration in Ch.7,,,partial
IG-00:six-dimensions-preview,announces,D-005,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,Lines 134-135 — 'affect generated during gameplay (affective involvement)'; full elaboration in Ch.8,,,partial
IG-00:six-dimensions-preview,announces,D-006,game-studies,1,4,text-anchored-forward-pointer,IG-00-INTRO,Lines 135-136 — 'decision making undertaken in the pursuit of both game- and self-assigned goals (ludic involvement)'; full elaboration in Ch.9,,,partial
