source,relation,target,locus,note
ped-sec-17,treats-construct,learning outcomes: retention & transfer,p.4,"Knowledge MCQ d=0.73 (67%->79% correct); 4-item transfer/relevance Likert battery, 90% agreement lab procedures improved understanding, 78% greater counseling confidence (FE)."
ped-sec-17,treats-construct,affect: enjoyment & intrinsic motivation,p.5,"Intrinsic Motivation Inventory Interest/Enjoyment-derived items, d=0.24 overall; significant for medium/high-knowledge tertiles, not the low tertile (FE)."
ped-sec-17,treats-construct,self-efficacy,p.5-6,"MSLQ-derived items, d=0.46 overall; largest for low-knowledge (d=0.61) and high-knowledge (d=0.52) tertiles (FE)."
ped-sec-17,treats-construct,situational interest,p.4,"Single appraisal item: 82% of students found medical genetics more interesting post-simulation; not a validated scale (FE)."
ped-sec-17,treats-construct,learning outcomes: procedural / skills,p.3-4,"Operationalized loosely via in-simulation laboratory tasks (amniocentesis, array CGH, karyotyping) and the counseling-confidence item rather than a separate skills assessment (FE)."
ped-sec-17,tests-condition,desktop-3D / non-immersive VR,p.2-3,"Labster desktop simulation; students perform amniocentesis and karyotyping on a virtual fetal-DNA sample in a non-immersive, screen-based laboratory (FE)."
ped-sec-17,tests-condition,screen-based virtual patient / sim,p.3-4,"Virtual pregnant-couple counseling scenario embedded in the same session as the laboratory task; 78% reported greater counseling confidence afterward (FE)."
ped-sec-17,cites-cluster-author,ped-sec-15,p.6,"Discussion cites Cook, Erwin & Triola's meta-analytic finding of positive effects for virtual-patient interaction vs. non-computer instruction or no intervention (the companion review to this cluster's ped-sec-15 Cook et al. 2011 meta-analysis), read as corroborating the counseling-confidence result (FE)."
ped-sec-17,cites,"Bandura, Albert (INTERLOCUTOR)",p.6,"Cited for self-efficacy's link to persistence, effort, and long-term educational/career outcomes (FE, citing Bandura 1997)."
ped-sec-17,cites,"Zimmerman, Barry (INTERLOCUTOR)",p.6,"Cited alongside Bandura on self-efficacy as an essential motive to learn (FE, citing Zimmerman 2000)."
ped-sec-17,cites,"Pekrun, Reinhard (INTERLOCUTOR)",p.6,"Control-value theory of achievement emotions cited to explain why weaker students report boredom and demotivation under high academic demand in traditional classrooms (FE, p.6, citing Pekrun 2006)."
ped-sec-17,cites,"Deci, Edward (INTERLOCUTOR)",p.5,"Self-determination-theory source underlying the Intrinsic Motivation Inventory items used to assess motivation (FE, citing Deci et al. 1994)."
ped-sec-17,cites,"Pintrich, Paul (INTERLOCUTOR)",p.4,"Source of the Motivated Strategies for Learning Questionnaire (MSLQ), adapted for the self-efficacy items (FE, citing Pintrich et al. 1991)."
ped-sec-17,instances-in-text,Rasch measurement model (TERM),p.4,"Post-hoc psychometric fit check confirming acceptable fit of the Likert scales to the Rasch model (FE, citing Rasch 1960)."
ped-sec-17,instances-in-text,Labster genetics case (THEME),p.2-3,"Case story of a pregnant couple whose fetus may have a chromosomal abnormality; students perform amniocentesis and array CGH, karyotype the DNA, then counsel the virtual couple (FE)."
ped-sec-17,qualifies,learning outcomes: retention & transfer,p.4-6,"Prior-knowledge tertile strongly moderates knowledge-gain effect size: largest for low-knowledge students (d=3.35), smallest for high-knowledge students (d=0.36, attributed to a ceiling effect at 85% pre-test correct) (FE)."
ped-sec-17,bridges-to-vle,vle-01-deployment-survey,n/a,"(P/anticipatory-application) This unit's validated knowledge/motivation/self-efficacy battery is offered as an instrument model for the learning-outcome channel vle-01's own 'F8 Limits' note flags as absent from the Part III deployment survey; not a claim Makransky et al. make about the VLE. The title's shared phrase 'virtual learning environment' is a naming coincidence, not the basis for this bridge."
ped-sec-17,bridges-to-part-iii,Part III dissertation (boredom of weaker/lower-performing students),p.6,"(P/anticipatory-application) The source's own citation of Pekrun's control-value theory to explain weaker students' boredom and demotivation under high academic demand is direct external corroboration relevant to Part III's boredom framing, proposing hands-on simulation as a compensating format for this population."
ped-sec-17,bridges-to-part-iii,Part III dissertation (learning-outcome instrument gap),p.4-6,"(P/anticipatory-application) The knowledge/motivation/self-efficacy battery used here is a concrete example of the kind of learning-outcome measurement channel absent from Part III's own survey instrument, relevant if a future extension incorporates outcome measures alongside self-report presence/engagement items."
