source,relation,target,locus,note
bor-sec-24,treats-construct,attentional disengagement / meta-awareness,p.1-2 (approx.),"STRETCH — source never mentions boredom; '(pre)attention demand or load' and preattentive/non-conscious monitoring level are discussed only re: memory-confidence judgments in Paulus et al.'s (2013) preschooler study, not boredom-related attentional lapse. Treated here as touching the general meta-awareness construct by analogy only (P/anticipatory-application)."
bor-sec-24,operationalizes-measure,self-report / survey scale,p.1-2 (approx.),"Explicit verbal confidence judgments ('scalar feelings') of memory accuracy, contrasted with implicit indices in Paulus et al.'s (2013) design (FAITHFUL-Clark & Hassert, p.1-2)."
bor-sec-24,operationalizes-measure,pupil dilation / pupillometry,p.2 (approx.),"'Pupil area' and 'pupil dilation' reported as an implicit confidence-judgment index, at times superior in accuracy to explicit self-report (FAITHFUL-Clark & Hassert, p.2)."
bor-sec-24,operationalizes-measure,gaze variance / fixation dispersion,p.2 (approx.),"'Traceable voluntary gaze' direction/duration and involuntary saccades used as implicit indices of memory-confidence monitoring (FAITHFUL-Clark & Hassert, p.2)."
bor-sec-24,operationalizes-measure,behavioral (RT / errors / performance-monitoring),p.1 (approx.),"Forced-choice declarative recognition accuracy/efficiency scoring of primary and secondary behaviors, cross-correlated to assess monitoring and control (FAITHFUL-Clark & Hassert, p.1)."
bor-sec-24,cites,"Gödel, Kurt (1931)",p.1,"Formal undecidability proof for Principia Mathematica, extended by analogy to the nested self-referential structure of metacognitive statements (FE, p.1)."
bor-sec-24,cites,"Kreisel, Georg (1967)",p.1,"Consistency/completeness tradeoff in logicomathematical formalism, applied to argue metacognitive claims may be undecidable (FE, p.1)."
bor-sec-24,cites,"Koriat, Asher (2007)",p.1,"Source of the epistemological (knowledge about knowledge) vs. operational (behavior about behavior) definitions of metacognition adopted as the paper's opening frame (FE, p.1)."
bor-sec-24,cites,"Paulus, Malte, Proust, Joëlle, and Sodian, Beate (2013)",p.1-3,"Central empirical case: implicit metacognition (eye-tracking/pupillometry) in 3.5-year-old preschoolers performing a paired-associates learning/memory task (FE, p.1-3)."
bor-sec-24,cites,"Flavell, John H. (1979)",p.2,"Founding reference for the cognitive-developmental metacognition-monitoring research program the paper situates itself within (FE, p.2)."
bor-sec-24,cites,"Thorndike, Edward L. (1911) and Köhler, Wolfgang (1927)",p.2,"Foundational animal-cognition researchers whose inference-of-mentality-from-behavior approach anticipates the behavioral paradigm discussed (FE, p.2)."
bor-sec-24,cites,"Nisbett, Richard E., and Wilson, Timothy D. (1977)",p.2,"Classic demonstration that verbal self-report is often inaccurate ('telling more than we can know'), cited to motivate the shift away from introspective techniques (FAITHFUL-Clark & Hassert, p.2)."
bor-sec-24,cites,"Penn, Derek C., and Povinelli, Daniel J. (2007) / Hampton, Robert R. (2009)",p.2-3,"Reports, with alarm, their claim that behaviorally measured 'metacognition' in animals/language-challenged humans could be nothing more than automatic, non-reflective, low-level associative response contingencies; not rebutted (FAITHFUL-Clark & Hassert, p.2-3)."
bor-sec-24,concedes,"Penn, Derek C., and Povinelli, Daniel J. (2007) / Hampton, Robert R. (2009)",p.3,"Concedes that Paulus et al. (2013) themselves could not negate the automaticity reading for some of their pupil-size/memory-retrieval/metacognition findings (FAITHFUL-Clark & Hassert, p.3)."
bor-sec-24,cites,"Fleming, Stephen M., and Dolan, Raymond J. (2012)",p.3,"Cited as source of correlative neurometric (EEG/PET/fMRI/SQUID) findings on the neural basis of metacognitive ability, offered as inconclusive counter-evidence to the automaticity indictment (FE, p.3)."
bor-sec-24,qualifies,"Gödel, Kurt (1951/1995)",p.3,"Gödel's own Gibbs-lecture position — logicomathematical formalism exists independently of mentality, and his theorems do not prove humanly unsolvable problems exist — used by the authors to ground their closing optimism (FAITHFUL-Clark & Hassert, p.3)."
bor-sec-24,defines,metacognition (epistemological vs. operational),p.1,"Opening definitional move: metacognition as either 'knowledge about knowledge' or 'behavior about behavior' (Koriat, 2007) (FAITHFUL-Clark & Hassert, p.1)."
bor-sec-24,shifts-debate-axis,self-report vs. implicit behavioral/physiological measurement of opaque internal states,p.1-3,"Reframes the metacognition-measurement debate around explicit/implicit dissociation (self-report vs. gaze/pupillometry), a debate axis directly transferable to this cluster's boredom self-report vs. physiological-measure discussions (FE)."
bor-sec-24,bridges-to-part-iii,Part III mixed self-report + physiological/behavioral measurement design,n/a,"P/anticipatory-application — the paper's core epistemological argument (self-report is real-but-partial; implicit gaze/pupil measures can access monitoring at a preattentive/non-conscious level) is a transferable warrant for triangulating Part III's own survey self-report against any physiological/behavioral boredom index, despite the source never discussing boredom itself."
bor-sec-24,bridges-to-part-iii,Part III interpretation of physiological/behavioral boredom proxies,n/a,"P/anticipatory-application — the automaticity/non-reflective-responding alternative explanation (Penn & Povinelli, 2007), which even Paulus et al. (2013) could not rule out, cautions Part III against treating any EEG/gaze/behavioral 'attention lapse' signal as proof of a genuinely meta-aware boredom state rather than mere low-level associative response."
bor-sec-24,grounds-measure,Boredom Experiment (VR Attention Study) dataset channels,n/a,"****** UNVERIFIED: this source's own measures (pupillometry, gaze/fixation, forced-choice behavioral accuracy) are modality-plausible matches for a VR attention-tracking study, but the source contains no boredom content whatsoever; any grounds-measure linkage is speculative on measure-type alone and must not be read as boredom-construct validation (P/anticipatory-application)."
