source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
IG-10:incorporation,defines,IG-10:canonical-definition,game-studies,1,169,text-anchored,"Canonical definition (lines 5949-5952): absorption of virtual environment into consciousness yielding sense of habitation, supported by systemically upheld embodiment of player in single location via avatar"
IG-10:incorporation,defines,IG-10:double-axis-structure,game-studies,1,169,text-anchored,"Lines 5934-5944 — player incorporates environment INTO consciousness AND is simultaneously incorporated via avatar INTO environment"
IG-10:incorporation,defines,IG-10:simultaneity-condition,game-studies,1,169,text-anchored,"Lines 5944-5948 — both axes must obtain concurrently. Strictest gatekeeper of incorporation"
IG-10:incorporation,defines,IG-10:metaphor-of-habitation,game-studies,1,168,text-anchored,"Lines 5916-5924 — habitation metaphor draws on everyday-habitation experiential gestalts"
IG-10:incorporation,extends,IG-10:two-traditional-senses,game-studies,2,169,text-anchored,"Lines 5952-5957 — preserves both 'assimilation to mind' AND 'embodiment' senses; etymology-as-argument"
IG-10:incorporation,replaces-prior-construct,IG-02:murray-1998-deep-immersion,virtual-worlds-theory,1,172,text-anchored-implicit-displacement,"ABSORBS (preserves-and-expands). Lines 6058-6062: incorporation IS Calleja's term for immersion-as-transportation, expanded by double-axis"
IG-10:incorporation,replaces-prior-construct,IG-02:ryan-2001-spatial-immersion,virtual-worlds-theory,1,170,text-anchored-implicit-displacement,"ABSORBS (reframes). Spatiality elevated to cornerstone status but plunge-metaphor refused for bidirectional structure"
IG-10:incorporation,replaces-prior-construct,IG-02:slater-1997-2003-fidelity-determinism,presence-research,1,173,text-anchored-implicit-displacement,"REFUSES. Lines 6076-6081 — subjective disposition required in addition to medium acknowledgment; explicit anti-Slater move"
IG-10:incorporation,replaces-prior-construct,IG-02:witmer-singer-1998-envelopment,presence-research,1,167,text-anchored-implicit-displacement,"REFUSES. Envelopment-as-submersion is exactly the unidirectional-plunge/exclusionary-logic position critiqued lines 5871-5878 + 5932-5934"
IG-10:incorporation,replaces-prior-construct,IG-02:lombard-ditton-1997-perceptual-illusion-non-mediation,presence-research,1,171,text-anchored-implicit-displacement,"REFUSES. Intrusion-integration thesis lines 6019-6042 explicitly admits stimulus-blending — what an illusion-of-non-mediation must deny"
IG-10:incorporation,replaces-prior-construct,IG-02:mcmahan-2003-perceptual-psychological-social-realism,virtual-worlds-theory,1,173,text-anchored-implicit-displacement,"REFUSES. Feature-list pigeonholing incompatible with Challenge-4 resolution (multidimensional non-monolithic experience)"
IG-10:incorporation,replaces-prior-construct,IG-02:salen-zimmerman-2003-immersive-fallacy,game-studies,1,170,text-anchored-implicit-displacement,"MIXED (absorbs transportation pole, refuses Tetris-incorporation via cornerstone requirement). Tetris excluded from incorporation; reframed as involvement-not-incorporation"
IG-10:incorporation,replaces-prior-construct,IG-02:douglas-hargadon-2001-attentional-continuum,virtual-worlds-theory,1,178,text-anchored-implicit-displacement,"MIXED (absorbs attentional continuum, corrects ergodic restoration). Lines 6270-6273 (temporal-axis culmination) absorb attentional-continuum; line 6067-6068 restores ergodic distinction"
IG-10:incorporation,replaces-prior-construct,IG-02:brown-cairns-2004-three-degree-ladder,game-studies,1,169,text-anchored-implicit-displacement,"REFUSES (metaphor-mixing). Three-degree ladder mixes absorption (levels 1-2) and transportation (level 3); incorporation is single coherent metaphor"
IG-10:incorporation,replaces-prior-construct,IG-02:ermi-mayra-2005-sensory-challenge-imaginative,game-studies,1,170,text-anchored-implicit-displacement,"ABSORBS (reconstituted as 6-dim PIM). Three-category SCI typology replaced by more granular 6-dim model"
IG-10:incorporation,contests,IG-10:unidirectional-plunge-metaphor,virtual-worlds-theory,1,167,text-anchored,"Lines 5871-5878 — 'unidirectional plunge into a virtual world' presupposes excludability of external world. Bidirectional habitation is correction"
IG-10:incorporation,contests,IG-10:exclusionary-logic,virtual-worlds-theory,1,169,text-anchored,"Line 5933 — 'metaphors of immersion and presence, founded as they are on an exclusionary logic, do not enable such a perspective'"
IG-10:incorporation,extends,IG-03:player-involvement-model,game-studies,1,169,text-anchored,"Lines 5958-5961 — PIM provides foundation for incorporation; incorporation = intensification of internalized involvement blending dimensions"
IG-10:incorporation,extends,IG-03:macro-micro-temporal-phase,game-studies,1,178,text-anchored,"Lines 6270-6273 — temporal axis from off-line involvement to conscious attention culminating in dimensional blending = incorporation"
IG-10:incorporation,defines,IG-10:spatial-kinesthetic-cornerstone,game-studies,1,170,text-anchored,"Lines 5972-5975 — spatial+kinesthetic are necessary minimum-pair; 'without them, incorporation cannot take place'"
IG-10:spatial-kinesthetic-cornerstone,defines,IG-10:kinesthetic-to-spatial-dependency,game-studies,2,170,text-anchored,"Lines 5975-5985 — internalization of spatial depends on internalization of kinesthetic; spatial-ability ↔ spatial-knowledge cycle"
IG-10:incorporation,instances-in-text,IG-10:counter-strike-source-double-door,game-studies,2,170,text-anchored,"Lines 5980-6012 + Figure 10.2 — new-player double-door fumbling demonstrates kinesthetic→spatial dependency and incorporation-failure under cognitive load"
IG-10:incorporation,defines,IG-10:sustainment-but-fleeting,game-studies,2,171,text-anchored,"Lines 6013-6015 — slips back to involvement when any dimension demands full conscious attention"
IG-10:incorporation,defines,IG-10:intensity-proportional-to-duration,game-studies,2,171,text-anchored,"Lines 6015-6016 — incorporation intensifies when sustained for extended period"
IG-10:incorporation,defines,IG-10:intrusion-integration,game-studies,1,171,text-anchored,"Lines 6019-6042 — non-game stimuli can be absorbed into incorporated experience rather than rupturing it; Left 4 Dead 2 'cry for help' example"
IG-10:incorporation,instances-in-text,IG-10:left-4-dead-2-cry-for-help,game-studies,2,171,text-anchored,"Lines 6028-6034 — friend's real-world cry can intensify incorporation by blending stimuli from game world and immediate surroundings"
IG-10:incorporation,contests,IG-09:magic-circle,game-studies,2,172,text-anchored,"Lines 6038-6042 — 'we do not need to view the game environment as a special, other space that requires protection from real world intrusion'"
IG-10:incorporation,extends,IG-02:four-conceptual-challenges,game-studies,1,172,text-anchored,"Lines 6043-6090 — resolves all four challenges via involvement/incorporation distinction + ergodic specificity + subjective disposition + multidimensionality"
IG-10:incorporation,defines,IG-10:ergodic-specificity,game-studies,1,173,text-anchored,"Lines 6067-6075 — incorporation precludes application to non-ergodic media; books and films cannot acknowledge presence or offer agency"
IG-10:incorporation,defines,IG-10:subjective-disposition-requirement,game-studies,1,173,text-anchored,"Lines 6076-6081 — acknowledgment of presence necessary but not sufficient; player mindset essential. Anti-fidelity-determinism core"
IG-10:incorporation,instances-in-text,IG-10:rheric-guild-wars-ruined-cathedral,game-studies,1,173,text-anchored,"Lines 6099-6168 + Figure 10.3 — exploration-mode incorporation; spatial+kinesthetic+ludic+narrative+affective synthesis"
IG-10:incorporation,instances-in-text,IG-10:kumacho-planetside-gotr-raid,game-studies,1,176,text-anchored,"Lines 6179-6264 + Figure 10.4 — collaborative-mode incorporation; shared+kinesthetic+ludic+affective synthesis; 'incorporation becomes viral' line 6221"
IG-10:rheric-guild-wars-ruined-cathedral,operationalizes-via-game,Guild Wars (ArenaNet 2005),game-studies,2,173,text-anchored,"Lines 6100-6113 — Rheric's discovery of war-torn-Ascalon cathedral with intact stained-glass; synesthesiac 'feel the breeze' testimony"
IG-10:kumacho-planetside-gotr-raid,operationalizes-via-game,Planetside (SOE 2003),game-studies,2,176,text-anchored,"Lines 6180-6191 — Ghosts of the Revolution outfit on Emerald server; Magrider tanks + Galaxy air transport + TeamSpeak coordination; up to 85 players"
