source,relation,target,domain,provenance,book_page
RM-04,defines,hierarchy,rhetoric,burke-direct,137
RM-04,defines,hierarchic-psychosis,rhetoric,burke-direct,137
RM-04,defines,entelechial-principle,rhetoric,burke-direct,141
RM-04,defines,administrative-rhetoric,rhetoric,burke-direct,158
RM-04,defines,infancy,rhetoric,burke-direct,174
RM-04,defines,pantomime,rhetoric,burke-direct,142
RM-04,defines,comic-primness,rhetoric,burke-direct,126
RM-04,defines,directing-the-intention,rhetoric,burke-direct,154
RM-04,defines,imitation,rhetoric,burke-direct,131
hierarchy,extends,identification,rhetoric,burke-direct,141
hierarchy,extends,consubstantiality,rhetoric,burke-direct,131
hierarchy,extends,courtship,rhetoric,burke-direct,142
hierarchy,extends,mystery,rhetoric,burke-direct,141
hierarchy,cites,entelechial-principle,rhetoric,burke-direct,141
imitation,consubstantial-with,consubstantiality,rhetoric,burke-direct,131
imitation,qualifies,the-invidious,rhetoric,burke-direct,131
imitation,qualifies,competition,rhetoric,burke-direct,131
consubstantiality,identifies-with,community-of-ways,rhetoric,burke-direct,131
courtship,extends,mystery,rhetoric,burke-direct,176
mystery,extends,pure-persuasion,rhetoric,burke-direct,178
hierarchic-psychosis,extends,scapegoat,rhetoric,burke-direct,141
entelechial-principle,extends,mystification,rhetoric,burke-direct,142
pantomime,identifies-with,hierarchic-psychosis,rhetoric,burke-direct,143
comic-primness,qualifies,courtship,rhetoric,burke-direct,126
directing-the-intention,extends,administrative-rhetoric,rhetoric,burke-direct,157
RM-04,cites,Empson,rhetoric,burke-direct,123
RM-04,cites,Veblen,rhetoric,burke-direct,127
RM-04,cites,Rochefoucauld,rhetoric,burke-direct,145
RM-04,cites,De-Gourmont,rhetoric,burke-direct,149
RM-04,cites,Pascal,rhetoric,burke-direct,154
RM-04,cites,Machiavelli,rhetoric,burke-direct,158
RM-04,cites,Dante,rhetoric,burke-direct,167
RM-04,cites,McKeon,rhetoric,burke-direct,170
RM-04,cites,Diderot,rhetoric,burke-direct,142
RM-04,cites,Bacon,rhetoric,burke-direct,133
RM-04,cites,Dewey,rhetoric,burke-direct,134
Machiavelli,cites,scene-act-ratio,rhetoric,burke-direct,162
Machiavelli,cites,agent-act-ratio,rhetoric,burke-direct,163
scene-act-ratio,bridges-to-pipeline,Grammar-of-Motives-RM-04,grammar,burke-direct,162
agent-act-ratio,bridges-to-pipeline,Grammar-of-Motives-RM-04,grammar,burke-direct,163
hierarchy,maps-to-pim-dimension,Calleja-Shared-involvement,game-behavior,anticipatory-projection,141
out-imitation-competition,maps-to-pim-dimension,Calleja-Shared-involvement,game-behavior,anticipatory-projection,131
administrative-rhetoric,maps-to-pim-dimension,Calleja-Spatial-involvement,game-behavior,anticipatory-projection,158
directing-the-intention,maps-to-pim-dimension,Calleja-Narrative-involvement,game-behavior,anticipatory-projection,154
infancy,maps-to-pim-dimension,Calleja-Affective-involvement,game-behavior,anticipatory-projection,175
entelechial-principle,maps-to-pim-dimension,Calleja-Shared-involvement,game-behavior,anticipatory-projection,141
hierarchy,maps-to-pentad-term,Scene,pentad,anticipatory-projection,138
administrative-rhetoric,maps-to-pentad-term,Scene,pentad,anticipatory-projection,161
agent-act-ratio,maps-to-pentad-term,Agent,pentad,anticipatory-projection,163
pantomime,maps-to-pentad-term,Act,pentad,anticipatory-projection,143
mystery,maps-to-pentad-term,Agent,pentad,anticipatory-projection,178
