source,relation,target,locus,note
bor-sec-21,treats-construct,situational vs. trait/state boredom,"p.2452, pp.2455-2456 (approx.)","Explicit scoping to state boredom only ('this review encompasses the correlates of boredom as a transient state'); trait boredom appears only as an occasional secondary covariate (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,treats-construct,boredom proneness,"p.2452, p.2456 (approx.)","Narrow treatment as what the BPS (Farmer and Sundberg 1986) operationalizes; cited as a trait-level covariate of time-overestimation and heart rate (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,treats-construct,mind-wandering / task-unrelated thought,"pp.2453-2454","Dedicated subsection; deliberate terminological correction from 'mind-wandering' to 'task-unrelated thoughts' (citing Christoff et al. 2016) (FAITHFUL-Raffaelli et al., p.2453 n.1)."
bor-sec-21,treats-construct,attentional disengagement / meta-awareness,"p.2452, p.2454","Organizing frame for the paper's middle third ('Boredom as an attentional failure'); Critcher and Gilovich's metacognitive-appraisal argument (FAITHFUL-Raffaelli et al., p.2454)."
bor-sec-21,treats-construct,boredom-as-regulatory-signal (functional account),p.2452,"Bench and Lench's (2013) functional/adaptive-emotion account adopted directly into the review's own working definition of boredom (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,treats-construct,flow / engagement (contrast pole),"pp.2452-2453, p.2458","Csikszentmihalyi's flow as boredom's structural opposite; Ulrich et al. (2014) fMRI directly contrasts flow/boredom/anxiety conditions (FAITHFUL-Raffaelli et al., pp.2452-2453, 2458)."
bor-sec-21,treats-construct,temporality of boredom (time-drag),"pp.2454-2455","Dedicated 'Time perception' subsection; overestimation of elapsed time named among the review's most consistent correlates (FAITHFUL-Raffaelli et al., pp.2454-2455)."
bor-sec-21,treats-construct,monotony / meaninglessness,p.2452,"Single glancing citation to Frankl's (1992) existentialist meaninglessness account as one of several competing definitional schools; not adopted or returned to (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,operationalizes-measure,self-report / survey scale,"p.2452, pp.2456-2457","BPS (Farmer and Sundberg 1986) and Goetz et al. (2014) experience-sampling ratings surveyed from the literature; none administered by this review (FAITHFUL-Raffaelli et al., p.2452, pp.2456-2457)."
bor-sec-21,operationalizes-measure,heart rate / HRV,"pp.2455-2456 (approx.)","London et al. (1972) and Merrifield and Danckert (2014) autonomic-arousal findings surveyed; central to the directional fractionation hypothesis (FAITHFUL-Raffaelli et al., pp.2455-2456)."
bor-sec-21,operationalizes-measure,behavioral (RT / errors / performance-monitoring),"pp.2452-2453, p.2459","Vigilance-task decrement (Freeman et al. 2004), attentional blink, SART, and Stroop-task findings surveyed as attention/mood-linked performance measures (FAITHFUL-Raffaelli et al., pp.2452-2453, 2459)."
bor-sec-21,operationalizes-measure,EEG alpha/theta power,"pp.2458-2459","Oswald's (1962) alpha hypothesis and the beta/(alpha+theta) engagement-index formula (Pope, Bogart, and Bartolome 1995) surveyed; flagged as scarce, high-value future-work territory (FAITHFUL-Raffaelli et al., pp.2458-2459)."
bor-sec-21,construct-measured-by,boredom proneness,p.2456 (approx.),"BPS treated as the standard trait-level measure discussed (not administered) (FAITHFUL-Raffaelli et al., p.2456)."
bor-sec-21,construct-measured-by,mind-wandering / task-unrelated thought,"pp.2453-2454","Corroborated in the surveyed studies via task-unrelated-thought frequency counts/probes used to validate successful boredom inductions (FAITHFUL-Raffaelli et al., p.2453)."
bor-sec-21,defines,"boredom (Eastwood et al. 2012 definition, adopted) (TERM)",p.2452,"Adopts the phrase 'wanting, but being unable, to engage in satisfying activity' (quoted <=12 words) as the review's working definition (FAITHFUL-Raffaelli et al., p.2452, quoting Eastwood et al. 2012, p.482)."
bor-sec-21,defines,task-unrelated thought (terminological choice) (TERM),p.2453,"Stipulates 'task-unrelated thoughts' over 'mind-wandering' as the more precise term for what most cited studies actually measure, citing Christoff et al. (2016) (FAITHFUL-Raffaelli et al., p.2453 n.1)."
bor-sec-21,instances-in-text,flow / engagement (contrast pole),p.2458,"Ulrich et al. (2014) fMRI: boredom (easy arithmetic) vs. flow (adaptive-difficulty arithmetic) vs. anxiety (hard arithmetic); boredom showed greater mPFC/MTL activation than flow (FAITHFUL-Raffaelli et al., p.2458)."
bor-sec-21,instances-in-text,attentional disengagement / meta-awareness,p.2458,"Danckert and Merrifield (2016) four-condition fMRI (rest, sustained attention, boring video, interesting video): DMN-insula anticorrelation during boring/sustained-attention conditions vs. no correlation at rest vs. positive correlation when engaged (FAITHFUL-Raffaelli et al., p.2458)."
bor-sec-21,instances-in-text,five-type taxonomy of boredom (Goetz et al. 2014) (THEME),"pp.2456-2457","Fig. 1 re-creation of indifferent/calibrating/searching/reactant/apathetic clusters by valence x arousal, from two experience-sampling studies (FAITHFUL-Raffaelli et al., pp.2456-2457)."
bor-sec-21,cites,"Eastwood, Frischen, Fenske, Smilek (2012) The Unengaged Mind (INTERLOCUTOR)","p.2452, pp.2455-2456","Supplies the review's adopted working definition of boredom and its attentional-failure framing throughout (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,cites,"Csikszentmihalyi, Mihaly (INTERLOCUTOR)","pp.2452-2453","Flow theory (1975, 1990, 1991) as boredom's arousal-mismatch contrast pole; also cited (with Moneta, 1996) for high-achieving students' propensity to get bored at school (FAITHFUL-Raffaelli et al., pp.2452-2453)."
bor-sec-21,cites,"Bench, Shane and Lench, Heather (2013) On the Function of Boredom (AUTHOR)",p.2452,"Functional/adaptive-emotion account of boredom adopted into the review's working definition (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,cites,"Goetz, Thomas et al. (2014) Types of Boredom (AUTHOR)","pp.2456-2457","Five-type experience-sampling taxonomy; central evidence for the heterogeneity hypothesis, treated with explicit caution (FAITHFUL-Raffaelli et al., pp.2456-2457)."
bor-sec-21,cites,"Danckert, James and Merrifield, Colleen (2014, 2016) (AUTHOR)","pp.2455-2456, p.2458","Psychophysiological signature of boredom (BPS + heart rate); four-condition fMRI study (DMN/insula dissociation) (FAITHFUL-Raffaelli et al., pp.2455-2456, 2458)."
bor-sec-21,cites,"Pekrun, Reinhard et al. (INTERLOCUTOR)","p.2452, p.2456","Control-value theory of academic emotions; academic boredom and achievement outcomes cited across several sections (FAITHFUL-Raffaelli et al., p.2452, p.2456)."
bor-sec-21,cites,"Frankl, Viktor (1992) Man's Search for Meaning (AUTHOR)",p.2452,"Existentialist meaninglessness account of boredom, cited once as one of several competing definitional schools and not adopted (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,contests,boredom is a low-arousal state (subjective-report consensus) (READING/CLAIM),"pp.2455-2456","Autonomic-arousal literature (London et al. 1972; Merrifield and Danckert 2014) contests the subjective-report low-arousal consensus, motivating the directional fractionation hypothesis (FAITHFUL-Raffaelli et al., pp.2455-2456)."
bor-sec-21,qualifies,situational <-> trait framing (DEBATE-AXIS),p.2452,"Explicit scope restriction to state boredom only ('this review encompasses the correlates of boredom as a transient state, rather than boredom as a trait'); brackets trait boredom to a handful of secondary citations (FAITHFUL-Raffaelli et al., p.2452)."
bor-sec-21,shifts-debate-axis,boredom as unified construct <-> heterogeneous family (Raffaelli review),"p.2451 (abstract), pp.2456-2457, p.2460","PRIMARY GROUNDING for this cluster axis: diagnoses two separable causes of field-wide inconsistency (non-standardized operationalization of one construct vs. genuine subtype heterogeneity); treats heterogeneity as a serious, evidence-backed but unconfirmed hypothesis (citing Goetz et al. 2014) and recommends validating a boredom-type taxonomy, without resolving the axis to either pole (FAITHFUL-Raffaelli et al., p.2451, pp.2456-2457, p.2460)."
bor-sec-21,shifts-debate-axis,self-report <-> physiological-marker as ground truth,"pp.2455-2457","Directional fractionation hypothesis: subjective arousal reports (low) diverge in direction from autonomic arousal measures (high); flagged as a known, unresolved discrepancy requiring resolution (FAITHFUL-Raffaelli et al., pp.2455-2457)."
bor-sec-21,bridges-to-part-iii,Part III survey construct-operationalization caution,P/anticipatory-application,"Caution that Part III's survey should be explicit about which operational definition of 'boredom' its own items instantiate (Eastwood-style unmet-engagement-want vs. Mikulas-and-Vodanovich low-arousal-dissatisfaction), since this review's own diagnosis is that conflating distinct operationalizations under one label drives field-wide inconsistency."
bor-sec-21,bridges-to-part-iii,Part III heterogeneity-as-interpretive-lens,P/anticipatory-application,"Goetz et al. (2014) five-type taxonomy offered as a candidate (unconfirmed) lens for interpreting heterogeneous student boredom reports in Part III's survey data -- e.g. restless/high-arousal vs. flat/low-arousal patterns -- without importing the five-type classification wholesale."
bor-sec-21,bridges-to-part-iii,Part III physiological-divergence caution,P/anticipatory-application,"Caution that any future pairing of self-report boredom items with autonomic/EEG channels (in Part III or the VR Attention Study dataset) should expect divergence rather than convergence, per the directional fractionation hypothesis this review synthesizes."
bor-sec-21,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study),P/anticipatory-application,"Dataset entry not yet built as of 2026-07-14; this review's surveyed measurement channels (self-report/survey scale, heart rate/HRV, behavioral/vigilance performance, EEG alpha/theta power) are plausible candidate components of that dataset's eventual protocol, but no grounding is confirmed yet."
