canonical_id,label,IG-00,IG-01,IG-02,IG-03,IG-04,IG-05,IG-06,IG-07,IG-08,IG-09,IG-10,IG-11,IG-APX,tier,centrality_score,volume_spread
C-001,Player Involvement Model (PIM),S,,,P,S,S,S,S,S,S,S,S,,1,25,10
C-002,Involvement (umbrella analytic),S,,S,P,S,S,S,S,S,S,S,S,,1,27,11
C-003,Incorporation,S,,,,,,,,,,P,S,,1,7,3
C-004,Macro temporal phase,S,,,P,S,S,S,S,S,S,,,,1,19,8
C-005,Micro temporal phase (in ludo res),S,,,P,S,S,S,S,S,S,,,,1,19,8
C-006,Three-tier attentional hierarchy (attention - involvement - presence/immersion),,,S,P,,,,,,,,,,1,5,2
C-007,Family-resemblance methodology (Wittgensteinian),,P,,S,,,,,,,S,,,1,7,3
C-008,Virtual environment habitation,S,,S,,,S,p,,,,P,S,,1,14,6
C-009,Alterbiography (emergent player-narrative),,,,,,,,P,,S,S,S,,1,9,4
C-010,Ergodicity as dispositional readiness to act,,S,S,P,S,,,,,S,,,,1,11,5
C-011,Internalization,,,,P,S,S,S,,,,,,,1,9,4
C-012,Cybernetic circuit / cybernetic feedback loop,S,,,P,,,,,S,,S,S,,2,11,5
C-013,Spatial+kinesthetic cornerstone of incorporation,,,,,,,,,,,P,,,1,3,1
C-014,Double-axis structure / bidirectional metaphor of incorporation,,,,,,,p,,,,P,S,,1,6,3
C-015,Simultaneity condition for incorporation,,,,,,,p,,,,P,,,2,4,2
C-016,Experiential gestalts (Lakoff+Johnson via Calleja),,,,,,,,,,,P,,,2,3,1
C-017,Subjective distance (player <-> game environment),P,,S,,,,,,,,S,,,2,7,3
C-018,Four conceptual challenges of presence/immersion,S,,P,,,,,,,,S,,,1,7,3
C-019,Avatar anchoring + system reactivity,,,P,,S,S,,,,,,,,2,7,3
C-020,Symbolic / mimetic / symbiotic control continuum,,,,,P,,,,,,,,,2,3,1
C-021,Agency (Murray/Schott vs. Giddens/capability),,,,,P,,,,,S,,,,2,5,2
C-022,Contingency (Malaby — performative + social),,,,,P,,S,,,S,,,,2,7,3
C-023,Five-structure spatial taxonomy (Calleja),,,,,,P,,,,,,,,2,3,1
C-024,Cognitive mapping / mental cartography,,,,,,P,,,,,,,,2,3,1
C-025,Space - place transition (Tuan),,,,,,P,p,,S,,S,,,2,8,4
C-026,MMOGs as third places / on-line societies,,,,,,,P,,,,,,,2,3,1
C-027,Cohabitation/cooperation/competition (three-not-four shared subtypes),,,,S,,,P,,,,,,,2,5,2
C-028,Human-vs-AI co-agent distinction,,,,,,,P,,,,,,,3,3,1
C-029,Scripted narrative vs. alterbiography (co-constitutive),,,,,,,p,P,,S,,,,1,6,3
C-030,Push narrative vs. pull narrative,,,,,,,p,P,,,,,,2,4,2
C-031,Excitatory homeostasis + rhetorical strategies of affect,,,,,,,,,P,,,,,2,3,1
C-032,Escapism vs. escape (round-trip vs. one-way),,,,,,,,,P,,,,,2,3,1
C-033,Strategy / tactics / microtactics three-tier hierarchy,,,,,,,,,,P,,,,2,3,1
C-034,Goal-source taxonomy (system / self / community),,,,,,,,,,P,,,,2,3,1
C-035,Magic-circle excision,,,,P,,,S,,,,S,,,1,7,3
C-036,Lusory-attitude excision,,,,P,,,,,,,,,,2,3,1
C-037,Fun-essentialism excision,,,,P,,,,,,,,,,2,3,1
C-038,Grounded-theoretic qualitative methodology (WoW + Planetside),,,,P,,,,,,,,S,S,1,7,3
D-001,KINESTHETIC involvement,S,,,S,P,,,,,,S,,,1,9,4
D-002,SPATIAL involvement,S,,,S,,P,,,,,S,,,1,9,4
D-003,SHARED involvement,S,,,S,,,P,,,,,,,1,7,3
D-004,NARRATIVE involvement,S,,,S,,,,P,,,S,,,1,9,4
D-005,AFFECTIVE involvement,S,,,S,,,,,P,,,,,1,7,3
D-006,LUDIC involvement,S,,,S,,,,,,P,,,,1,7,3
T-001,macro phase (=C-004),S,,,P,S,S,S,S,S,S,,,,1,19,8
T-002,micro phase / in ludo res (=C-005),S,,,P,S,S,S,S,S,S,,,,1,19,8
