source,relation,target,locus,provenance,note
profound-boredom,instances-in-text,es-ist-einem-langweilig,(p.134 / GA p.203 / pdf 79),faithful,"the third form bores whenever we silently know 'it is boring for one'"
es-ist-einem-langweilig,glosses-german,it-is-boring-for-one,(p.134 / GA p.203 / pdf 79),faithful,"impersonal 'es'; 'for one' not for me-as-me"
es-ist-einem-langweilig,defines,undifferentiated-no-one,(p.135 / GA p.203 / pdf 79),faithful,"name/standing/vocation/age/fate disappear; not a universal ego"
profound-boredom,contests,man-as-consciousness,(p.133 / GA p.201 / pdf 79),faithful,"subject/person/rational-being must be put in question as chief obstacle to original time"
man-as-consciousness,contests,cartesian-method,(p.133 / GA p.201 / pdf 79),faithful,"not merely Cartesian access but the initial positing of man as consciousness"
profound-boredom,defines,no-longer-permitting-passing-the-time,(p.136 / GA p.205 / pdf 80),faithful,"passing-the-time not merely missing but no longer permitted; let boredom be overpowering"
no-longer-permitting-passing-the-time,discloses,being-compelled-to-listen,(p.136 / GA p.205 / pdf 80),faithful,"compelling force of what is authentic about Dasein; related to innermost freedom"
profound-boredom,defines,being-left-empty,(p.137 / GA p.207 / pdf 80),faithful,"being delivered over to beings' telling refusal of themselves as a whole"
being-left-empty,discloses,telling-refusal,(p.139 / GA p.210 / pdf 81),faithful,"beings as a whole refuse the possibilities of Dasein's doing and acting"
telling-refusal,glosses-german,versagen,(p.140 / GA p.212 / pdf 82),faithful,"Versagen; the refusal of beings as a whole"
telling-refusal,grounds-question,beings-as-a-whole,(p.138 / GA p.208 / pdf 80),faithful,"beings become indifferent all at once yet show themselves; not the Nothing"
being-left-empty,qualifies,emptiness-is-not-the-nothing,(p.140 / GA p.210 / pdf 81),faithful,"the emptiness concerns beings as a whole yet is not the Nothing"
telling-refusal,extends,telling-sagen,(p.140 / GA p.212 / pdf 82),faithful,"all telling refusal (Versagen) is in itself a telling (Sagen), a making-manifest"
telling-sagen,deepens-into,telling-announcement-ansagen,(p.141 / GA p.212 / pdf 82),faithful,"announcement (Ansagen) of unexploited possibilities of Dasein"
telling-announcement-ansagen,deepens-into,calling-anrufen,(p.143 / GA p.215 / pdf 83),faithful,"a calling (Anrufen) that properly makes possible the Dasein in me"
profound-boredom,defines,being-held-in-limbo,(p.144 / GA p.216 / pdf 84),faithful,"being impelled toward the originary making-possible of Dasein as such"
being-held-in-limbo,discloses,singular-extremity-spitze,(p.144 / GA p.216 / pdf 84),faithful,"Spitze: the utmost making-possible of all Dasein's possibilities"
being-left-empty,extends,being-held-in-limbo,(p.144 / GA p.217 / pdf 84),faithful,"structural unity: expanse of refusal + singular extremity oscillating as one"
being-left-empty,temporalizes-as,gebanntheit,(p.147 / GA p.222 / pdf 84),faithful,"being entranced by the single threefold horizon is the temporal character of being-left-empty"
gebanntheit,glosses-german,bannt,(p.147 / GA p.222 / pdf 84),faithful,"Time entrances (bannt) Dasein; the whole time Dasein itself is, as horizon"
gebanntheit,discloses,single-threefold-horizon,(p.145 / GA p.219 / pdf 85),faithful,"respect/retrospect/prospect (Hinsicht/Rucksicht/Absicht) -> present/having-been/future, one universal horizon"
single-threefold-horizon,glosses-greek,horizein,(p.147 / GA p.220 / pdf 86),faithful,"horizein (to delimit) invoked for the horizon-character of time; deferred as abyssal"
being-held-in-limbo,temporalizes-as,augenblick,(p.149 / GA p.224 / pdf 87),faithful,"impelled through entrancement toward the moment of vision as temporal character of being-held-in-limbo"
augenblick,defines,resolute-disclosedness,(p.149 / GA p.224 / pdf 87),faithful,"the look of resolute disclosedness (Blick der Entschlossenheit) for action; ruptures entrancement"
augenblick,cites,kierkegaard,(p.150 / GA p.225 / pdf 87),faithful,"first comprehended in philosophy by Kierkegaard; opens a new epoch"
augenblick,cites,being-and-time-65,(p.150 / GA p.225 / pdf 87),faithful,"self-citation B&T §65 as external aid; problem grasped 'in its nucleus' there"
profound-boredom,defines,langeweile-lengthening-of-the-while,(p.152 / GA p.229 / pdf 88),faithful,"the while (Weile) becomes long (lang); tarrying-while (Verweilen) allotted to Dasein"
langeweile-lengthening-of-the-while,temporalizes-as,expansion-of-temporal-horizon,(p.153 / GA p.229 / pdf 88),faithful,"horizon expands and oppresses Dasein rather than liberating it"
langeweile-lengthening-of-the-while,qualifies,vanishing-of-the-augenblick,(p.153 / GA p.229 / pdf 88),faithful,"vanishing of the possibility of the Augenblick, which still presses as what is refused"
profound-boredom,defines,entrancement-of-the-temporal-horizon,(p.153 / GA p.230 / pdf 88),faithful,"summary definition: entrancement that lets the Augenblick vanish and impels Dasein into it"
entrancement-of-the-temporal-horizon,grounds-question,essence-of-time,(p.150 / GA p.226 / pdf 87),faithful,"the path runs through boredom to time; straight into the dark"
profound-boredom,deepens-into,temporality-temporalizing,(p.157 / GA p.236 / pdf 90),faithful,"what properly bores is temporality as such in a particular way of its temporalizing"
temporality-temporalizing,grounds-question,subjectivity-of-subjects,(p.158 / GA p.236 / pdf 90),faithful,"temporality grounds the subjectivity of subjects; hence the legitimate illusion that things bore us"
profound-boredom,extends,first-form-of-boredom,(p.156 / GA p.235 / pdf 90),faithful,"third form is condition of possibility of first and second; first holds the third at bay"
ordinary-assessment-of-boredom,contests,profound-boredom,(p.159 / GA p.238 / pdf 91),faithful,"ordinary morality (unpleasant/worthless) suppresses profound boredom; hypocritical self-assuredness"
profound-boredom,bridges-to-pipeline,king-salvo-third-pole,(p.134 / GA p.203 / pdf 79),faithful,"silent/low-arousal 'zombie stare' pole; impersonal de-individuated attunement"
gebanntheit,bridges-to-pipeline,dragging-time-without-search,(p.153 / GA p.229 / pdf 88),faithful,"Langeweile as horizon-expansion explains reported dragging time decoupled from gaze-search and clock"
vanishing-of-the-augenblick,interprets-experiment-finding,refused-call-to-action-marker,(p.153 / GA p.229 / pdf 88),faithful,"third pole marker: not absence of stimulation but a refused possibility of situated action"
