source,relation,target,locus,note
ped-sec-26,defines,community of inquiry (THEORY-MODEL),p.88-89,"The composite structure of teachers and students interacting through cognitive presence, social presence, and teaching presence within which a worthwhile educational experience is embedded (Fig. 1) (FE, p.88)."
ped-sec-26,defines,cognitive presence (THEORY-MODEL component),p.89,"The extent to which participants construct meaning through sustained communication; the most basic of the three elements (FAITHFUL-Garrison-Anderson-Archer, p.89)."
ped-sec-26,defines,social presence (CONSTRUCT),p.94,"Participants' capacity to present themselves as genuine 'real' people, socially and emotionally, through whatever communication medium is in use (FAITHFUL-Garrison-Anderson-Archer, p.94)."
ped-sec-26,defines,teaching presence (THEORY-MODEL component),p.95-96,"Two functions (design, facilitation) that bind cognitive and social presence toward educational outcomes; 'the binding element' (FAITHFUL-Garrison-Anderson-Archer, p.95-96)."
ped-sec-26,defines,practical inquiry model (THEORY-MODEL),p.98-99,"Four-phase model of cognitive presence (triggering event, exploration, integration, resolution) built on Dewey's pre-reflection/reflection/post-reflection phases (FE, p.98-99)."
ped-sec-26,defines,collaborative constructivist perspective (TERM),p.92-93,"Garrison & Archer's (in press) framing of an educational experience as a collaborative communication process for constructing worthwhile knowledge (FAITHFUL-Garrison-Anderson-Archer, p.92-93)."
ped-sec-26,treats-construct,social presence / co-presence,"p.94-95, 99-101","Canonical definition and three-indicator operationalization (emotional expression, open communication, group cohesion); explicit departure from media-richness theory (FAITHFUL-Garrison-Anderson-Archer, p.94-95, 99-101)."
ped-sec-26,treats-construct,engagement / flow,p.94,"Analogical only: approached via 'group cohesion' and the hypothesis that high social presence with commitment/participation is necessary for higher-order thinking; not named or measured as a distinct construct (FE, qualified P/anticipatory-application)."
ped-sec-26,treats-construct,learning outcomes: retention & transfer,"p.89, 93","Analogical only: critical thinking framed as higher education's ostensible goal; Newman et al.'s CMC-vs-face-to-face finding reported secondhand, not this article's own data (FAITHFUL-Garrison-Anderson-Archer, qualified P/anticipatory-application)."
ped-sec-26,instances-in-text,triggering event (cognitive-presence indicator category),p.98-99,"First phase of the practical inquiry model: sense of puzzlement, recognizing the problem (FE, p.98-99)."
ped-sec-26,instances-in-text,exploration (cognitive-presence indicator category),p.98-99,"Second phase: information exchange, discussion of ambiguities (FE, p.98-99)."
ped-sec-26,instances-in-text,integration (cognitive-presence indicator category),p.98-99,"Third phase: connecting ideas, creating solutions (FE, p.98-99)."
ped-sec-26,instances-in-text,resolution (cognitive-presence indicator category),p.98-99,"Fourth phase: vicariously applying new ideas, critically assessing solutions (FE, p.98-99)."
ped-sec-26,instances-in-text,emotional expression (social-presence indicator category),p.99-100,"Emoticons, self-disclosure, humor as compensations for lost visual cues (FAITHFUL-Garrison-Anderson-Archer, p.99-100)."
ped-sec-26,instances-in-text,open communication (social-presence indicator category),p.100-101,"Mutual awareness and recognition; reply/quoting behaviors as respectful attending to others' contributions (FAITHFUL-Garrison-Anderson-Archer, p.100-101)."
ped-sec-26,instances-in-text,group cohesion (social-presence indicator category),p.101,"Activities building and sustaining a sense of group commitment; focused collaborative communication (FAITHFUL-Garrison-Anderson-Archer, p.101)."
ped-sec-26,instances-in-text,instructional management (teaching-presence indicator category),p.101-102,"Setting curriculum, designing methods and assessment, establishing time parameters (FAITHFUL-Garrison-Anderson-Archer, p.101-102)."
ped-sec-26,instances-in-text,building understanding (teaching-presence indicator category),p.102,"Productive/valid knowledge acquisition; sharing meaning, seeking consensus (FAITHFUL-Garrison-Anderson-Archer, p.102)."
ped-sec-26,instances-in-text,direct instruction (teaching-presence indicator category),p.102-103,"Focusing/pacing discussion, answering questions, diagnosing misconceptions, summarizing outcomes (FAITHFUL-Garrison-Anderson-Archer, p.102-103)."
ped-sec-26,instances-in-text,emoticons (TERM),p.99-100,"Unconventional symbolic representations compensating for lost visual/paralinguistic cues in text-based CMC (FAITHFUL-Garrison-Anderson-Archer, p.99-100)."
ped-sec-26,cites,"Dewey, John (INTERLOCUTOR)","p.92-93, 98-99","Source of practical inquiry's pre-reflection/reflection/post-reflection phases and the psychological/sociological duality of education (FAITHFUL-Garrison-Anderson-Archer, p.92-93, 98-99)."
ped-sec-26,cites,"Lipman, Matthew (INTERLOCUTOR)",p.92,"Source of the community-of-inquiry pedagogy concept as a valuable context for critical thinking (FAITHFUL-Garrison-Anderson-Archer, p.92)."
ped-sec-26,cites,"Ramsden, Paul (INTERLOCUTOR)",p.92,"Cited on negotiating meaning, diagnosing misconceptions, challenging accepted beliefs (FAITHFUL-Garrison-Anderson-Archer, p.92)."
ped-sec-26,cites,"Short, Williams & Christie (1976) (INTERLOCUTOR)",p.94-95,"Media-richness/social-presence theorists whose medium-determines-presence position this article explicitly departs from (FAITHFUL-Garrison-Anderson-Archer, p.94-95)."
ped-sec-26,cites,"Daft & Lengel (1986) (INTERLOCUTOR)",p.94-95,"Media-richness theorists cited alongside Short/Williams/Christie as the departed-from position (FAITHFUL-Garrison-Anderson-Archer, p.94-95)."
ped-sec-26,cites,"Sproull & Kiesler (1986) (INTERLOCUTOR)",p.94-95,"Media-richness theorists ('reducing social context cues'), cited alongside the above (FAITHFUL-Garrison-Anderson-Archer, p.94-95)."
ped-sec-26,cites,"Walther, Joseph (INTERLOCUTOR)","p.95, 100","Cited for CMC users' compensating linguistic/textual behaviors when visual cues are reduced (FAITHFUL-Garrison-Anderson-Archer, p.95, 100)."
ped-sec-26,cites,"Schrage, Michael (INTERLOCUTOR)","p.93, 95","Cited on collaboration as shared creation/discovery and technology shaping how people relate (FAITHFUL-Garrison-Anderson-Archer, p.93, 95)."
