source,relation,target,locus,note
bor-sec-28,defines,Potential Boredom Regions (PBR) / gaze fixation threshold detection algorithm,~p.309-311,"The paper's central methodological contribution: windows where EEG-derived non-stable amplitude epochs (via Signal Magnitude Area thresholding) coincide with reduced gaze-fixation counts on a defined Area of Interest, cross-detected via Algorithm 1 (FAITHFUL-Kim et al., ~p.309-311)."
bor-sec-28,treats-construct,situational vs. trait/state boredom,~p.304,"Explicitly adopted and operationalized as state boredom, since the video stimulus is an external factor: 'we treat the boredom as a state rather than a trait' (FAITHFUL-Kim et al., p.304)."
bor-sec-28,treats-construct,boredom proneness,~p.304/312-313,"Discussed only as background (trait boredom, Boredom Proneness Scale, Farmer & Sundberg 1986); explicitly named as an unaddressed limitation and proposed future-work parameter (FAITHFUL-Kim et al., p.304, 312-313)."
bor-sec-28,treats-construct,attentional disengagement / meta-awareness,~p.303-305,"Conceptual and experimental core: Eastwood et al.'s attention-based definition and Fisher/Hamilton's attentional-failure account ground Hypothesis 1, operationalized via gaze-AOI deviation plus EEG amplitude instability (FAITHFUL-Kim et al., p.304-305)."
bor-sec-28,treats-construct,flow / engagement (contrast pole),~p.302-303,"Engagement/flow named as what emotion-aware systems should help users reach ('engagement... is a prerequisite for reaching the flow state,' citing Csikszentmihalyi); Chanel et al.'s boredom/anxiety/engagement 3-class scheme cited (FAITHFUL-Kim et al., p.302-303)."
bor-sec-28,treats-construct,monotony / meaninglessness,~p.307/312,"Monotony operationalized directly as the boredom-induction stimulus (slow, generic circular-motion video); Discussion credits 'the monotonous video stimulus' with eliciting boredom in all participants (FAITHFUL-Kim et al., p.307, 312)."
bor-sec-28,treats-construct,temporality of boredom (time-drag),~p.304,"Cited only, as one of Fahlman et al.'s five manifestations of boredom ('experiencing a slow passage of time'); not independently developed or measured (FE, p.304)."
bor-sec-28,operationalizes-measure,gaze variance / fixation dispersion,~p.307-311,"Eye Tribe eye tracker (30 fps binocular) + Ogama v5 heat maps and 1-s hitbox/AOI fixation counting; N=13; 11/13 showed lost-focus regions; all participants' PBR fixation averages <17, fixing threshold=17 (FAITHFUL-Kim et al., p.309-311)."
bor-sec-28,operationalizes-measure,self-report / survey scale,~p.307/311-312,"Single-item post-stimulus 1-9 boredom rating; N=13; mean 6.38, 11/13 'answered over 6'; no correlation found with any extracted physiological feature (FAITHFUL-Kim et al., p.311-312)."
bor-sec-28,operationalizes-measure,EEG alpha/theta power [background/cited],~p.305-306/312,"Table 3 documents band definitions generically; Shen et al. [24] (cited related work, not Kim et al.'s own analysis) extracted alpha/beta/theta/delta/gamma power densities via SVM/kNN, 67.1%/62.5% accuracy; Kim et al. explicitly state they did not perform band-specific analysis (FAITHFUL-Kim et al., p.305-306, 312)."
