subject,stimulus,round,engaged_composite,boredom,engagement,composite,physiology_engaged,selfreport_bored,category
R2-01,BOR,2,-0.759196054686,8,2,A,False,True,concordant-bored
R2-02,BOR,2,-0.792943932006,9,1,A,False,True,concordant-bored
R2-03,BOR,2,-0.210695152124,3,6,A,False,False,reverse
R2-04,BOR,2,-0.885175625797,7,1,A,False,True,concordant-bored
S01,BOR,1,-0.640903143236,6,3,A,False,True,concordant-bored
S02,BOR,1,-0.821710196489,9,2,A,False,True,concordant-bored
S03,BOR,1,-0.761791147799,9,1,A,False,True,concordant-bored
S04,BOR,1,-1.07856793157,1,7,A,False,False,reverse
S05,BOR,1,-0.907474390009,9,2,A,False,True,concordant-bored
S06,BOR,1,-1.05803868041,4,5,A,False,False,reverse
S07,BOR,1,-0.342622387247,9,2,A,False,True,concordant-bored
S08,BOR,1,-1.1537925835,9,1,A,False,True,concordant-bored
R2-01,CLC,2,0.083939126574,6,4,A,True,True,divergent
R2-02,CLC,2,0.833860258721,8,4,A,True,True,divergent
R2-03,CLC,2,0.425193649935,1,8,A,True,False,concordant-engaged
R2-04,CLC,2,0.486279303817,2,3,A,True,False,concordant-engaged
S01,CLC,1,1.08485596824,3,5,A,True,False,concordant-engaged
S02,CLC,1,0.0527009824369,8,3,A,True,True,divergent
S03,CLC,1,0.281428798239,3,7,A,True,False,concordant-engaged
S04,CLC,1,0.805279843583,9,1,A,True,True,divergent
S05,CLC,1,0.0594087642088,6,5,A,True,True,divergent
S06,CLC,1,0.483605569049,6,3,A,True,True,divergent
S07,CLC,1,0.784086954272,6,7,A,True,True,divergent
S08,CLC,1,0.542460135134,7,3,A,True,True,divergent
R2-01,INT,2,0.675256928112,3,6,A,True,False,concordant-engaged
R2-02,INT,2,-0.0409163267156,7,6,A,False,True,concordant-bored
R2-03,INT,2,-0.214498497811,2,8,A,False,False,reverse
R2-04,INT,2,0.39889632198,3,7,A,True,False,concordant-engaged
S01,INT,1,-0.443952825003,2,7,A,False,False,reverse
S02,INT,1,0.769009214053,3,6,A,True,False,concordant-engaged
S03,INT,1,0.48036234956,3,7,A,True,False,concordant-engaged
S04,INT,1,0.273288087986,3,7,A,True,False,concordant-engaged
S05,INT,1,0.848065625801,5,4,A,True,True,divergent
S06,INT,1,0.57443311136,8,2,A,True,True,divergent
S07,INT,1,-0.441464567026,7,6,A,False,True,concordant-bored
S08,INT,1,0.61133244837,5,4,A,True,True,divergent
