source,relation,target,locus,note
bor-sec-43,defines,cognitive / behavioral / affective engagement (tripartite model),~p.1-2,"Wang and Degol's (2014) tripartite engagement model -- cognitive (attention, comprehension, retention), behavioral (attendance, participation), affective (motivation, passion, learning efficacy) -- adopted by Lin et al. as the review's organizing framework throughout (FAITHFUL-Lin et al., ~p.1-2)."
bor-sec-43,treats-construct,flow / engagement (contrast pole),"~p.1-2, 4-6","Core, source-native construct: 'engagement' (cognitive/behavioral/affective) organizes the entire positive-impact section and structured abstract; the cross-walk to this cluster's boredom-contrast label is this entry's own mapping, since the source cites no flow theory and never opposes engagement to boredom (FAITHFUL-Lin et al., ~p.1-2, 4-6, with P/anticipatory-application for the construct mapping)."
bor-sec-43,treats-construct,attentional disengagement / meta-awareness,~p.3,"Thin, single-line treatment: Table 1 credits Misak (2018) only as an 'introduction to VR improves students' meta-cognition,' never developed in body text; no attention-failure or meta-awareness literature cited (FAITHFUL-Lin et al., ~p.3, with P/anticipatory-application for the construct mapping)."
bor-sec-43,operationalizes-measure,self-report / survey scale,~p.6-7,"Alfalah (2018): online questionnaire, N=30 IT teachers, quantitative approach to VR-training impact; Fransson et al. (2020): semi-structured interviews, N=28 teachers, on VR-implementation barriers -- the review's only two explicitly sampled/instrumented sources of 33 (FAITHFUL-Lin et al., ~p.6-7)."
bor-sec-43,cites,"Wang, M.T., & Degol, J. (2014) -- Staying engaged: knowledge and research need in student engagement","~p.1-2, 4","Source of the tripartite engagement model organizing the whole review; most-cited article in the reviewed corpus at 450 citations (FAITHFUL-Lin et al., ~p.1-2, 4)."
bor-sec-43,cites,"Grant, M.J., & Booth, A. (2009) -- A typology of reviews",~p.2,"Definitional source for 'critical review' as a method, directly quoted: 'presents, analyses and synthesizes material from diverse sources' (FAITHFUL-Lin et al., ~p.2)."
bor-sec-43,cites,"Moher, D., Liberati, A., Tetzlaff, J., & Altman, D.G. (2009) -- PRISMA statement",~p.2-3,"Source of the PRISMA-based screening procedure used to narrow 97/63/20 candidate articles plus 13 reference-mined articles to the final N=33 (FAITHFUL-Lin et al., ~p.2-3)."
bor-sec-43,cites,"Papanastasiou, G., Drigas, A., Skianis, C., Lytras, M., & Papanastasiou, E. (2019)",~p.4,"Cited finding that immersive VR aids comprehension of complex/abstract knowledge, supporting the cognitive-engagement claim (FAITHFUL-Lin et al., ~p.4)."
bor-sec-43,cites,"Pellas, N. (2016)",~p.4,"Cited finding that VR encourages self-directed inquiry and scenario reenactment over teacher-centered instruction, supporting the cognitive-engagement claim (FAITHFUL-Lin et al., ~p.4)."
bor-sec-43,cites,"Maples-Keller, J.L., Bunnell, B.E., Kim, S.-J., & Rothbaum, B.O. (2017)",~p.4,"Cited finding that VR's personalized/adaptive environments benefit at-risk students, including those with learning difficulties and anxiety disorders (FAITHFUL-Lin et al., ~p.4)."
bor-sec-43,cites,"Pirker, J., & Dengel, A. (2021)",~p.4-5,"Cited finding, closely paraphrased, that 3-D virtual-learning-environment tasks foster intrinsic motivation and engagement with learning content; anchors the positive side of the behavioral-engagement debate (FAITHFUL-Lin et al., ~p.4-5)."
bor-sec-43,cites,"Sun, S.Y., & Peng, L.H. (2020); Rzanova, S., Yushchik, E., Markova, S., & Sergeeva, A. (2023); Freina, L., & Ott, M. (2015)",~p.4-5,"Cited findings (Confucian teaching-for-fun combined with VR; poetry-scenario VR; escape-room safety-training VR) each supporting the positive side of the behavioral-engagement debate (FAITHFUL-Lin et al., ~p.4-5)."
bor-sec-43,cites,"Wong, B.M., Etchells, E.E., Kuper, A., Levinson, W., & Shojania, K.G. (2010); Allcoat, D., & Von Muhlenen, A. (2018)",~p.4-5,"Cited in direct support of the view that hands-on VR exploration stimulates interest and behavioral engagement (FAITHFUL-Lin et al., ~p.4-5)."
bor-sec-43,contests,"Cheng, M.-T., Chen, J.-H., Chu, S.-J., & Chen, S.-Y. (2015); Greenwald, S.W., Corning, W., Funk, M., & Maes, P. (2018); Makransky, G., Terkildsen, T.S., & Mayer, R.E. (2019)",~p.4-5,"Cited counter-findings contesting the positive behavioral-engagement reading: VR use associated with absorption into the virtual world at the expense of real-life tasks and responsibilities (FAITHFUL-Lin et al., ~p.4-5)."
bor-sec-43,qualifies,"Makransky, G., & Petersen, G.B. (2021) -- The cognitive-affective model of immersive learning",~p.4-5,"Cited caveat qualifying both sides of the behavioral-engagement debate: a persistent gap between virtual-environment learning experiences and real-world knowledge transfer (FAITHFUL-Lin et al., ~p.4-5)."
bor-sec-43,shifts-debate-axis,VR's effect on student behavioral engagement (positive-participation vs. negative-absorption),~p.4-5,"The review explicitly states there is debate about whether VR positively affects behavioral engagement, but resolves it only by invoking 'complexities and diversities' rather than adjudicating between the two readings (FAITHFUL-Lin et al., ~p.4-5)."
bor-sec-43,cites,"Schutte, N.S., & Stilinovic, E.J. (2017)",~p.5-6,"Cited finding that VR contexts teach communication/emotion-management skills and foster empathy in children with emotional impairments, supporting affective engagement (FAITHFUL-Lin et al., ~p.5-6)."
