source,relation,target,locus,note
Immersion-UX FDP,defines,driving question (good things outshined by problems?),(slide 2),frames the study
Immersion-UX FDP,instances-in-text,three-method design (heuristic + usability + immersion),(slide 4),user-facing methodology
Immersion-UX FDP,instances-in-text,heuristic evaluation (~70 problems),(slide 5),narrative/structural/mechanics categories
Immersion-UX FDP,treats-game-element,interface / HUD (interface awareness),(slide 7),immersion dimension + structural problems
Immersion-UX FDP,treats-game-element,control scheme / mechanics,(slide 5),mechanics problems + sense-of-control
Immersion-UX FDP,treats-game-element,audio / sound design (auditory presence),(slide 8),rated exceptional / highest
Immersion-UX FDP,treats-game-element,onboarding / 7-task flow,(slide 6),usability test
Immersion-UX FDP,defines,immersion test (5 dimensions),(slide 7),control/visual/auditory presence + interface/real-world awareness
Immersion-UX FDP,concedes,RDR2 has many usability problems,(slide 9),~70 issues; could use changes
Immersion-UX FDP,extends,RDR2 engages well despite problems,(slide 9),answer = NO (not outshined)
Immersion-UX FDP,instances-in-text,auditory presence exceptional,(slide 8),standout immersion strength
Immersion-UX FDP,qualifies,usability struggle localized to two tasks,(slide 8),corroborates heuristic findings
