source,relation,target,locus,note
bor-sec-52,treats-construct,profound/deep boredom (FCM 3rd form),pp.205-206,"Named once as a Grundstimmung example alongside Angst/restraint/presentiment/wonder; cited once (GA 29/30:238) to support the historicity-of-grounding-attunements claim; no engagement with FCM's tripartite structure (FAITHFUL-Vallega-Neu)."
bor-sec-52,treats-construct,being-bored-by (1st form),p.216,"(P/anticipatory-application) 'Something appears as...boring' cited as her own example of a non-fundamental, thing-directed attunement; structurally parallel to FCM's first form though never named or mapped as such by the author."
bor-sec-52,treats-construct,being-bored-with (2nd form),p.216,"(P/anticipatory-application) Same passing example as being-bored-by; undifferentiated from the first form by the author."
bor-sec-52,treats-construct,situational vs. trait/state boredom,"pp.205-206, 215-216","(P/anticipatory-application) Analogical mapping of the grounding/non-grounding attunement distinction onto the situational/trait axis; register mismatch (ontological-historical vs. nomothetic-individual) flagged as a caution on reuse."
bor-sec-52,treats-construct,monotony / meaninglessness,pp.213-214,"(P/anticipatory-application) Thematic resonance only, via errancy's 'driven around from one thing to the next' structure and the critique of Erlebnis as foreclosing genuine questioning of meaning; not a boredom claim in the source."
bor-sec-52,treats-construct,temporality of boredom (time-drag),pp.220-221,"(P/anticipatory-application) General temporality-of-attunement/bodying thesis ('temporal texture' of bodily spacing; bodies as ecstatically spatializing and temporalizing), never extended by the author to boredom's time-drag specifically."
bor-sec-52,defines,Grundstimmung (grounding/fundamental attunement),pp.205-206,"Distinguished from non-grounding attunements; examples Angst/deep boredom/restraint/presentiment/wonder; historically epoch-determining (FAITHFUL-Vallega-Neu, citing GA 29/30:238)."
bor-sec-52,defines,Befindlichkeit (bodily disposition),"pp.206-207, 217","Her translation choice ('disposition'); 'the attunedness that attunes and determines Dasein' in relation to world/others/self (FAITHFUL-Vallega-Neu, citing Heidegger 1987, 182)."
bor-sec-52,defines,Stimmung / Gestimmtheit (attunement / being-attuned),pp.209-210,"Distinguished from Erlebnis (lived experience) and Gefuehl (feeling) in 'On the Essence of Truth' §5 (FAITHFUL-Vallega-Neu, citing GA 9:192/PM 147)."
bor-sec-52,defines,Irre (errancy),pp.212-213,"'Driven around, away from the mystery' toward readily available beings; belongs to the inner constitution of Da-sein and cannot be removed (FAITHFUL-Vallega-Neu, citing GA 9:196/PM 149-150)."
