source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
scholastic-realism,features-as-locus,C01,philosophy-of-history-of-philosophy,1,227-228,exegetical-direct,Realism features Act as featured locus of motive in pentad-mapped diagnosis.
C30,presupposes,scholastic-realism,dramatism,1,247-249,exegetical-direct,Act-genus-generation tie-up is realism's grammatical reason for Act-featuring.
act-agent-ratio,ratio-of,C01,dramatism,1,227-228,exegetical-direct,Aquinas: every thing acts according as it is in act; agent constituted by acts.
act-purpose-ratio,ratio-of,C01,dramatism,1,230-231,exegetical-direct,Plot-as-Act tied to end-of-life as activity; entelechy as end-within-itself.
act-scene-ratio,ratio-of,C01,dramatism,1,232-235,exegetical-direct,Pathetic-fallacy reverses materialism's scene-act direction.
scene-agent-ratio,ratio-of,C12,dramatism,2,233,exegetical-direct,Miss Miles's pathetic-fallacy is technically scene-agent (lyric) ratio.
act-agency-ratio,ratio-of,C07,dramatism,2,228-229,exegetical-direct,Aquinas's Ibn-Sina auxiliary-efficient-cause = agent/agency overlap.
C41,extends,C03,dramatism,1,262,exegetical-direct,Every ratio in potential-to-actual form; 10 ratios expand to 20 reversible.
C01,constituted-by,C02,philosophy,1,227,exegetical-direct,Act is actualization in Aristotelian energeia/actu sense.
C01,constituted-by,C04,philosophy,1,"231,249",exegetical-direct,Aristotelian entelechy: each kind strives to be perfectly its kind.
C02,in-tension-with,C03,philosophy,1,242-243,exegetical-direct,Metaphysics IX.8 reciprocity: every potency is potency of the opposite.
C05,instances,C01,philosophy,1,228-229,exegetical-direct,Aristotle's formal cause maps to Burke's Act in pentad-as-four-causes.
C06,operationalizes,C01,dramatism,1,228-229,exegetical-direct,Pentad-as-four-causes mapping: formal cause = Act; material=Scene; etc.
C08,operationalizes,C06,dramatism,1,228,exegetical-direct,Scholastic hexameter as negative-way confirmation of pentad-as-four-causes.
C11,operationalizes,C01,dramatism,1,230-231,exegetical-direct,Six tragic elements aligned with five pentad terms; plot=Act foremost.
C09,instances,C01,philosophy,1,"230-231,253",exegetical-direct,Aristotle's pure-act unmoved-mover as paradigm case of complete actualization.
C09,in-tension-with,C26,dramatism,2,"245,253",exegetical-direct,Pure act dramatist-conceived but lyrically structured (perfect rest).
C12,extends,C13,rhetorical-theory,1,232-235,exegetical-direct,Burke extends Ruskin/Miles pathetic-fallacy to broader motion-action ambiguity.
C13,contrasts-with,C01,dramatism,1,234,exegetical-direct,Action-motion watershed divides dramatism from operationalism.
C14,decomposes-into,C13,rhetorical-theory,2,235,exegetical-direct,Policy-making function as proverbial-realism vs managerial-idealism axis.
C15,extends,C03,rhetorical-theory,1,"235,242-243",exegetical-direct,Richards' incipient act = special application of Aristotelian potentiality.
C16,extends,C15,rhetorical-theory,1,236,exegetical-direct,Burke's central extension: attitude as substitute-for OR first-step-toward act.
