subject,stimulus,round,engaged_composite,boredom,engagement,physiology_engaged,selfreport_bored,category
R2-01,BOR,2,-0.490144321366,8,2,False,True,concordant-bored
R2-02,BOR,2,-0.696923838289,9,1,False,True,concordant-bored
R2-03,BOR,2,-0.394249912541,3,6,False,False,reverse
R2-04,BOR,2,-0.751474329615,7,1,False,True,concordant-bored
S01,BOR,1,-0.346633904888,6,3,False,True,concordant-bored
S02,BOR,1,-0.911900103313,9,2,False,True,concordant-bored
S03,BOR,1,-0.543934784991,9,1,False,True,concordant-bored
S04,BOR,1,-0.703799055618,1,7,False,False,reverse
S05,BOR,1,-0.226908704029,9,2,False,True,concordant-bored
S06,BOR,1,-0.552142572434,4,5,False,False,reverse
S07,BOR,1,-0.590660936287,9,2,False,True,concordant-bored
S08,BOR,1,-1.15391212796,9,1,False,True,concordant-bored
R2-01,CLC,2,-0.286395886432,6,4,False,True,concordant-bored
R2-02,CLC,2,0.34851531695,8,4,True,True,divergent
R2-03,CLC,2,-0.510464198976,1,8,False,False,reverse
R2-04,CLC,2,0.140807801303,2,3,True,False,concordant-engaged
S01,CLC,1,1.00387472118,3,5,True,False,concordant-engaged
S02,CLC,1,0.336136370903,8,3,True,True,divergent
S03,CLC,1,0.528704607211,3,7,True,False,concordant-engaged
S04,CLC,1,0.87582140057,9,1,True,True,divergent
S05,CLC,1,-0.215992353647,6,5,False,True,concordant-bored
S06,CLC,1,-0.0811659124198,6,3,False,True,concordant-bored
S07,CLC,1,0.650711717716,6,7,True,True,divergent
S08,CLC,1,0.565121163355,7,3,True,True,divergent
R2-01,INT,2,0.776540207798,3,6,True,False,concordant-engaged
R2-02,INT,2,0.348408521339,7,6,True,True,divergent
R2-03,INT,2,0.904714111517,2,8,True,False,concordant-engaged
R2-04,INT,2,0.610666528312,3,7,True,False,concordant-engaged
S01,INT,1,-0.657240816293,2,7,False,False,reverse
S02,INT,1,0.57576373241,3,6,True,False,concordant-engaged
S03,INT,1,0.0152301777806,3,7,True,False,concordant-engaged
S04,INT,1,-0.172022344952,3,7,False,False,reverse
S05,INT,1,0.442901057676,5,4,True,True,divergent
S06,INT,1,0.633308484854,8,2,True,True,divergent
S07,INT,1,-0.060050781429,7,6,False,True,concordant-bored
S08,INT,1,0.588790964605,5,4,True,True,divergent
