subject,stimulus,fs,duration_min,n_epochs,retained_epoch_pct,mean_workload,median_workload,pct_boredom,pct_ideal,pct_overload,qc_flag
S01,BOR,200,17.8,534,62.9,0.2943,0.2028,74.7,14.9,10.4,chan-id-assumed(avg4)
S01,CLC,200,18.0,539,56.4,0.1883,0.1621,94.1,5.6,0.3,chan-id-assumed(avg4)
S01,INT,200,16.7,502,54.8,0.2087,0.1832,92.0,6.5,1.5,chan-id-assumed(avg4)
S02,BOR,200,17.1,513,50.7,0.2484,0.1805,81.9,12.3,5.8,chan-id-assumed(avg4)
S02,CLC,200,17.0,508,62.8,0.3353,0.2613,67.4,21.9,10.7,chan-id-assumed(avg4)
S02,INT,200,17.0,510,57.1,0.2177,0.1836,88.0,10.7,1.4,chan-id-assumed(avg4)
S03,BOR,200,17.4,523,74.2,0.2328,0.1729,84.0,11.6,4.4,chan-id-assumed(avg4)
S03,CLC,200,16.1,482,69.7,0.2806,0.2067,78.3,14.6,7.1,chan-id-assumed(avg4)
S03,INT,200,16.0,481,74.0,0.2693,0.2032,79.5,13.8,6.7,chan-id-assumed(avg4)
S04,BOR,200,17.0,510,63.5,0.3213,0.2609,71.6,20.4,8.0,chan-id-assumed(avg4)
S04,CLC,200,17.1,514,62.8,0.2451,0.2077,86.1,11.8,2.2,chan-id-assumed(avg4)
S04,INT,200,16.9,507,70.2,0.2172,0.1778,89.6,8.1,2.2,chan-id-assumed(avg4)
S05,BOR,200,17.2,517,65.8,0.1456,0.106,92.6,6.8,0.6,chan-id-assumed(avg4)
S05,CLC,200,16.1,482,47.1,0.4228,0.3825,52.0,28.2,19.8,chan-id-assumed(avg4)
S05,INT,200,16.9,505,68.1,0.2576,0.2119,79.9,16.0,4.1,chan-id-assumed(avg4)
S06,BOR,200,17.0,510,63.5,0.301,0.2469,74.1,18.2,7.7,trimmed;chan-id-assumed(avg4)
S06,CLC,200,16.9,505,64.0,0.3015,0.2476,74.0,18.3,7.7,chan-id-assumed(avg4)
S06,INT,200,19.0,569,70.7,0.2391,0.2132,84.6,13.9,1.5,chan-id-assumed(avg4)
S07,BOR,200,18.9,568,73.4,0.2267,0.1585,82.0,12.0,6.0,chan-id-assumed(avg4)
S07,CLC,200,18.6,558,71.1,0.2624,0.2111,83.4,11.8,4.8,chan-id-assumed(avg4)
S07,INT,200,17.0,510,68.0,0.3008,0.2505,74.1,17.6,8.4,trimmed;chan-id-assumed(avg4)
S08,BOR,200,17.0,509,66.0,0.0957,0.0662,98.5,1.2,0.3,chan-id-assumed(avg4)
S08,CLC,200,17.3,520,36.3,0.2148,0.1859,91.0,5.3,3.7,chan-id-assumed(avg4)
S08,INT,200,16.8,504,44.0,0.3452,0.2625,69.4,15.8,14.9,chan-id-assumed(avg4)
