source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-02-WHITE,reads,Aristotle:DA-III.3,aristotle,1-23,427a17-429a8,White,Entire essay is a sustained reading of DA III.3 (the phantasia chapter)
PHX-02-WHITE,reads,Aristotle:DA-III.4-8,aristotle,16-21,429a13-432a10,White,Section 4 of essay reads DA III.4-8 (the nous chapters)
PHX-02-WHITE,cites-locus,Aristotle:DA-427b15-16,aristotle,1,427b15-16,White,Opening epigraph: no thought without phantasia no phantasia without sensation
PHX-02-WHITE,cites-locus,Aristotle:DA-427b21-24,aristotle,12,427b21-24,White,Signature picture-vs-encounter passage
PHX-02-WHITE,cites-locus,Aristotle:DA-428a1-2,aristotle,5,428a1-2,White,Kath' hen formula defining phantasia
PHX-02-WHITE,cites-locus,Aristotle:DA-428a5-16,aristotle,13,428a5-16,White,Five indications distinguishing phantasia from sensation
PHX-02-WHITE,cites-locus,Aristotle:DA-428b10-11,aristotle,14,428b10-11,White,Primary phantasia definition: kinesis hypo tes aistheseos kat' energeian gignomenes
PHX-02-WHITE,cites-locus,Aristotle:DA-429a1-2,aristotle,14,429a1-2,White,Restatement of kinesis-definition
PHX-02-WHITE,cites-locus,Aristotle:DA-429a3-4,aristotle,3,429a3-4,White,Aristotle's etymology of phantasia from phaos
PHX-02-WHITE,cites-locus,Aristotle:DA-429a4-8,aristotle,11;22,429a4-8,White,Men act according to phantasia when mind clouded by emotion/disease/sleep
PHX-02-WHITE,cites-locus,Aristotle:DA-429a13-18,aristotle,16,429a13-18,White,Nous as paschein dektikon dunamei eide amige
PHX-02-WHITE,cites-locus,Aristotle:DA-429b10-22,aristotle,18,429b10-22,White,Nous distinguishes form from matter
PHX-02-WHITE,cites-locus,Aristotle:DA-430a17-18,aristotle,14,430a17-18,White,Nous's passionless incorporeity (fn. 59)
PHX-02-WHITE,cites-locus,Aristotle:DA-430a22,aristotle,21,430a22,White,Thinking tends to constant uninterrupted actualization
PHX-02-WHITE,cites-locus,Aristotle:DA-431a14-15,aristotle,18,431a14-15,White,Nous thinks the eide in the phantasmata
PHX-02-WHITE,cites-locus,Aristotle:DA-431b2-10,aristotle,19,431b2-10,White,Soul calculates and plans future via phantasmata
PHX-02-WHITE,cites-locus,Aristotle:DA-431b21-432a1,aristotle,17,431b21-432a1,White,Soul is in a way all the beings (onta)
PHX-02-WHITE,cites-locus,Aristotle:DA-432a3-10,aristotle,18-19,432a3-10,White,Aisthesis confined to the now; soul never thinks without phantasma
PHX-02-WHITE,cites-locus,Aristotle:DA-432a15-17,aristotle,9,432a15-17,White,To kritikon vs. to kinetikon division
PHX-02-WHITE,cites-locus,Aristotle:DA-433a9-12,aristotle,11,433a9-12,White,Phantasia may be called a kind of noesis
PHX-02-WHITE,cites-locus,Aristotle:DA-403a3-10,aristotle,7;9,403a3-10,White,Pre-thematic remark on thinking related to phantasia
PHX-02-WHITE,cites-locus,Aristotle:DA-413b22-23,aristotle,7,413b22-23,White,Phantasia + desire concomitant with sensation
PHX-02-WHITE,cites-locus,Aristotle:DA-414b16,aristotle,7,414b16,White,Place of phantasia among soul-powers is unclear
PHX-02-WHITE,cites-locus,Aristotle:DA-414a32-415a13,aristotle,8-9,414a32-415a13,White,Five powers and four grades of living things
PHX-02-WHITE,cites-locus,Aristotle:DA-425b23-25,aristotle,7;16,425b23-25,White,Phantasiai persist in sense-organs; sensation receives form without matter
PHX-02-WHITE,cites-locus,Aristotle:DeInsomniis-459a15-22,aristotle,15,459a15-22,White,Imaginative same as sensitive but different in einai
PHX-02-WHITE,cites-locus,Aristotle:DeInsomniis-460b28-461a8,aristotle,15,460b28-461a8,White,Alloiosis analogy and dreams
PHX-02-WHITE,cites-locus,Aristotle:DeInsomniis-459b9-30,aristotle,14,459b9-30,White,Projectile-motion analogy for persistence of pathos
PHX-02-WHITE,cites-locus,Aristotle:DeInsomniis-460b4-11,aristotle,22,460b4-11,White,Cowardly erotic angry deceived by phantasia
PHX-02-WHITE,cites-locus,Aristotle:DeMemoria-449b31-450a9,aristotle,20,449b31-450a9,White,Impossible to think without mental picture; geometer-diagram analogy
PHX-02-WHITE,cites-locus,Aristotle:DeMemoria-450a25-451a14,aristotle,19,450a25-451a14,White,Memory as special activity of phantasia; phantasmata as eikones
PHX-02-WHITE,cites-locus,Aristotle:Metaphysics-IV.5-1010b3,aristotle,13,1010b3,White,Phantasia not the same as aisthesis
PHX-02-WHITE,cites-locus,Aristotle:Metaphysics-V.18-1022a19-20,aristotle,5,1022a19-20,White,Kath' ho = aition; unpacks the DA 428a1-2 formula
PHX-02-WHITE,cites-locus,Aristotle:NicomacheanEthics-X.7-1177a23-25,aristotle,21,1177a23-25,White,Thinking man performs most continuously
PHX-02-WHITE,cites-locus,Aristotle:NicomacheanEthics-X.4-1174a13-17,aristotle,19,1174a13-17,White,Experience for practical wisdom rests on phantasia
PHX-02-WHITE,cites-locus,Aristotle:Rhetoric-II.2-6,aristotle,22,1378a30-1384a22,White,Passions of anger fear confidence shame involve phantasia
PHX-02-WHITE,cites-locus,Aristotle:Rhetoric-I.11-1370a27,aristotle,12,1370a27,White,Phantasia as aisthesis tis asthenes (weak sensation)
PHX-02-WHITE,cites-locus,Aristotle:Physics-IV.10-14,aristotle,19,Phys IV.10-14,White,Preserved phantasmata for learning
PHX-02-WHITE,advances-reading,READING:phantasia-as-preparation-for-noein,reading,1-2;16-21,—,White,Organizing thesis: phantasia in DA III.3-8 is preparation for nous
PHX-02-WHITE,advances-reading,READING:picture-vs-encounter-distinction,reading,11-12,427b21-24,White,Signature exegetical move
PHX-02-WHITE,advances-reading,READING:phantasia-temporal-mediator,reading,18-19,432a3-10;431b2-10,White,Phantasia lends stability to appearances; gives nous foothold in time
PHX-02-WHITE,advances-reading,READING:reproductive-faculty-metaphor,reading,14,428b10-11,White,Phantasia perpetuates 'stillborn life of sensations' in offspring
PHX-02-WHITE,advances-reading,READING:interior-landscape-thesis,reading,22-23,—,White,Phantasia provides familiar interior landscape; Thomistic-humanist culmination
PHX-02-WHITE,advances-reading,READING:man-made-phantasmata-contemporary,reading,23,—,White,Contemporary-relevance coda
PHX-02-WHITE,advances-reading,READING:phantasia-unifies-nous-aisthesis,reading,21-22,431b21-432a1,White,Phantasia mediates the unity of nous and aisthesis
PHX-02-WHITE,uses-greek-term,GREEK:phantasia,greek-term,2-3,—,White,Refused translation; left untranslated throughout
PHX-02-WHITE,uses-greek-term,GREEK:phantasma,greek-term,3-5,—,White,Inner appearance restricted to interior reflection in Aristotle
PHX-02-WHITE,uses-greek-term,GREEK:phaos-phao,greek-term,3,—,White,Etymological root: light/shine
PHX-02-WHITE,uses-greek-term,GREEK:kinesis,greek-term,9-10;14,—,White,Genus of phantasia definition
PHX-02-WHITE,uses-greek-term,GREEK:einai,greek-term,15;18,—,White,Phantasia and aisthesis same but different in einai
PHX-02-WHITE,uses-greek-term,GREEK:amige,greek-term,16,—,White,Unmixed character of nous; distinguishing mark
PHX-02-WHITE,uses-greek-term,GREEK:noein-noesis,greek-term,16-21,—,White,Unifying theme of DA III.3-11
PHX-02-WHITE,uses-greek-term,GREEK:aisthesis-aisthemata,greek-term,12-21,—,White,Phantasia rooted in aisthesis
PHX-02-WHITE,uses-greek-term,GREEK:hypolepsis-doxazein,greek-term,11-12,—,White,Judgment distinguished from phantasia by reference to truth/falsity
PHX-02-WHITE,uses-greek-term,GREEK:kath-hen,greek-term,5,428a1-2,White,Formula read through Met V.18 as kath' ho = aition
