source,relation,target,locus,note
bor-sec-19,treats-construct,monotony / meaninglessness,"p.249, 253-254","Enframing (Gestell) reduces entities incl. students/teachers to 'resources' (Bestand) lacking intrinsic meaning, producing an 'ontological drift toward meaninglessness' increasingly obscured by information (FAITHFUL-Thomson, p.249, 253-254)."
bor-sec-19,defines,essence of paideia (TERM),p.252-253,"Genuine education 'lays hold of the soul itself' and transforms it by leading the learner to the place of essential being (Wesensort) (FAITHFUL-Thomson, p.252-253, quoting Plato's Teaching on Truth p.167)."
bor-sec-19,defines,apaideusia (TERM),p.256,"Contrast term: 'lack of education' (Bildungslosigkeit), a state in which no fundamental comportment is awakened, no measure-giving preconception established (FAITHFUL-Thomson, p.256)."
bor-sec-19,defines,Gestell / enframing (THEORY-MODEL),p.248-249,"Names the contemporary technological 'mode of revealing' that forces entities into a calculative stamp or mould, reducing them to optimizable resources (FAITHFUL-Thomson, p.248-249)."
bor-sec-19,defines,Bildung twofold sense (TERM),p.255,"Bildung's naming force runs two directions: forming (impressing an unfolding character) and pre-conception (Vor-bild, a measure-giving vision) that antecedently guides the forming (FAITHFUL-Thomson, p.255)."
bor-sec-19,instances-in-text,four-stage cave-allegory pedagogy (THEORY-MODEL),p.256-258,"Maps Plato's cave onto four pedagogical stages: captivity to shadows/resources, negative freedom (recognizing the fire as enframing), positive freedom/dwelling (ascent to the open), and return to teach (FAITHFUL-Thomson, p.256-258)."
bor-sec-19,instances-in-text,teaching as letting-learn (THEME),p.259-260,"Cites Heidegger's What Is Called Thinking? claim that teaching is harder than learning because the real teacher lets nothing else be learned than learning; lehren (teaching) as lernen lassen, not belehren (instructing) (FAITHFUL-Thomson, p.259-260)."
bor-sec-19,extends,history of being / Seinsgeschichte (THEORY-MODEL),p.245-248,"Extends the historical 'essence of truth' doctrine of 'On the Essence of Truth' (1929) into an account of how ontotheological epochs ground the historical development of educational institutions (FAITHFUL-Thomson, p.245-248)."
bor-sec-19,cites,Plato (INTERLOCUTOR),p.252-253,"Republic Book VII allegory of the cave read as the founding pedagogical text disclosing (and ambiguating) the essence of paideia (FAITHFUL-Thomson, p.252-253)."
bor-sec-19,cites,Werner Jaeger (INTERLOCUTOR),p.253 n.30,"Cites Jaeger's Paideia as the philological source establishing paideia as a key term, while flagging its resonance with Nazi-adjacent vitalist rhetoric (FAITHFUL-Thomson, p.253, note 30)."
bor-sec-19,contests,Bill Readings (INTERLOCUTOR),p.251-252 n.25,"Contests Readings' materialist account (The University in Ruins) of Bildung's obsolescence as reducible to bourgeois economic revolution, arguing Heidegger's ontohistorical account of a dissolving guiding idea is more satisfactory (FAITHFUL-Thomson, p.251-252, note 25)."
bor-sec-19,contests,Saul Kripke (INTERLOCUTOR),p.245-246 n.4,"Contests Kripke's rigid-designator conception of essence as inapplicable to Heidegger's verbal, historical sense of Wesen (essence as how beings essence or remain in play) (FAITHFUL-Thomson, p.245-246, note 4)."
bor-sec-19,contests,Andrew Feenberg (INTERLOCUTOR),p.246 n.6,"Flags Feenberg's 'Hegelian misinterpretation' of Heidegger's understanding of essence as a targeted counter-reading (FAITHFUL-Thomson, p.246, note 6)."
bor-sec-19,cites,Friedrich Nietzsche (INTERLOCUTOR),p.248-249,"Reads enframing as grounded in an 'unthought' Nietzschean ontotheology of beings as eternally recurring will-to-power, the metaphysics underwriting the reduction of beings to resources (FAITHFUL-Thomson, p.248-249)."
bor-sec-19,cites,Jacques Derrida (INTERLOCUTOR),p.251-252 n.26,"Invokes Derrida's 'phoenix motif' reading of Heidegger's Inaugural Lecture and Derrida's own restaging of it in 'The Principle of Reason' (FAITHFUL-Thomson, p.251-252, note 26)."
bor-sec-19,cites,Wilhelm von Humboldt (INTERLOCUTOR),p.261,"Cites Humboldt's humanist ideal linking 'objective Wissenschaft' to 'subjective Bildung' as the historical unifying strategy Heidegger's re-ontologized education recombines (FAITHFUL-Thomson, p.261)."
bor-sec-19,cites,Clark Kerr (INTERLOCUTOR),p.250-251,"Notes Kerr's satirical label 'Multi-versity' for the internally fragmented, uni-versity-in-name-only that Heidegger's 1929 diagnosis anticipates (FAITHFUL-Thomson, p.250-251)."
bor-sec-19,qualifies,Bildung modern/subjective misinterpretation (TERM),p.255,"Qualifies the modern, nineteenth-century understanding of Bildung as deliberate cultivation of 'subjective qualities' as a misinterpretation, while preserving the word once its 'original naming power' is restored (FAITHFUL-Thomson, p.255)."
bor-sec-19,shifts-debate-axis,deconstruction as destruction vs. recovery (DEBATE-AXIS),p.243-244,"Insists Heidegger's Destruktion of education has an inseparable positive (recovery) moment alongside its negative (clearing-away) moment, against a polemical reduction of deconstruction to mere destruction (Zerstorung) (FAITHFUL-Thomson, p.243-244)."
bor-sec-19,cites,Heidegger -- What is Metaphysics? (AUTHOR),p.249-251,"Draws the 1929 Inaugural Lecture's diagnosis that the rootedness of the sciences in their essential ground has dried up and died as evidence of hyper-specialized fragmentation (FAITHFUL-Thomson, p.249-251)."
bor-sec-19,cites,Heidegger -- Plato's Teaching on Truth (AUTHOR),p.252-259,"Primary text for the recovered 'essence of paideia' and the cave-allegory pedagogy of ontological freedom (FAITHFUL-Thomson, p.252-259)."
bor-sec-19,cites,Heidegger -- What Is Called Thinking? (AUTHOR),p.259-260,"Source of the 'teaching is harder than learning' passage and the definition of learning as bringing what we do into co-respondence with what addresses us as essential (FAITHFUL-Thomson, p.259-260)."
bor-sec-19,instances-in-text,positive sciences / ontological posits (THEME),p.261-262,"Illustrates via biology (the logos of the bios) that positive sciences rest on unexamined ontological posits Heidegger's ontological education would teach students to interrogate (FAITHFUL-Thomson, p.261-262)."
bor-sec-19,extends,ontological perfectionism / excellence -- arete (THEORY-MODEL),p.260-262,"Re-essentializes the empty formal ideal of educational 'excellence' as Aristotelian arete grounded in Dasein's essence as world-disclosure, aiming to reunify teaching/research and the fragmented departments (FAITHFUL-Thomson, p.260-262)."
bor-sec-19,bridges-to-part-iii,Part III dissertation (enframing/meaninglessness as institutional-affective backdrop),p.249-250,"(P/anticipatory-application) Thomson's account of enframing's 'ontological drift toward meaninglessness' -- entities including students reduced to optimizable resources, an effect that becomes harder to notice the more it proceeds -- offers Part III a structural, institutional-level analogue to the affective flattening (monotony/meaninglessness) the survey-analysis chapter attributes to VLE/deployment design, though Thomson himself never frames this in terms of boredom or mood."
bor-sec-19,bridges-to-part-iii,Part III dissertation (teaching-as-letting-learn / pedagogy-of-attunement precedent),p.259-260,"(P/anticipatory-application) Heidegger's 'letting learn' pedagogy -- the teacher's task is to attune students' receptive comportment (horen) rather than transmit information -- is a resource Part III's discussion of VLE/instructor design could draw on when arguing that mood/attunement, not information delivery, is the relevant unit of pedagogical analysis; this is our own extension, not a claim Thomson makes about boredom."
bor-sec-19,bridges-to-part-iii,bor-sec-17 Mertel Heidegger Technology and Education 2020 -- forward-looking thematic parallel not citation,p.248-249,"(P/anticipatory-application) Thomson's 1929/1930s-era account of enframing's technologization of the university plausibly anticipates themes Mertel's later (2020) 'Heidegger, Technology and Education' would independently develop; no literal citation is possible (Mertel postdates Thomson by nineteen years), so this is flagged strictly as a forward-looking cross-link for future concordance work, not as a citation relation."
bor-sec-19,bridges-to-part-iii,****** UNVERIFIED: Boredom Experiment (VR Attention Study) dataset entry (not yet built),n/a,"(P/anticipatory-application) No grounds-measure bridge is asserted -- Thomson's source contains zero empirical measures of any kind and is not a plausible candidate for a construct-measured-by/grounds-measure edge; flagged per cluster instructions only to close out the required bridge fields, not because a link is anticipated."
