anchor_stimulus,channel,subject,round,stimulus,value,poolable
BOR,eye openness,S01,1,BOR,0.904,True
BOR,eye openness,S01,1,CLC,0.954,True
BOR,eye openness,S01,1,INT,0.926,True
BOR,eye openness,S02,1,BOR,0.805,True
BOR,eye openness,S02,1,CLC,0.796,True
BOR,eye openness,S02,1,INT,0.937,True
BOR,eye openness,S03,1,BOR,0.823,True
BOR,eye openness,S03,1,CLC,0.937,True
BOR,eye openness,S03,1,INT,0.867,True
BOR,eye openness,S04,1,BOR,0.916,True
BOR,eye openness,S04,1,CLC,0.951,True
BOR,eye openness,S04,1,INT,0.948,True
BOR,eye openness,S05,1,BOR,0.212,True
BOR,eye openness,S05,1,CLC,0.865,True
BOR,eye openness,S05,1,INT,0.852,True
BOR,eye openness,S06,1,BOR,0.83,True
BOR,eye openness,S06,1,CLC,0.914,True
BOR,eye openness,S06,1,INT,0.89,True
BOR,eye openness,S07,1,BOR,0.562,True
BOR,eye openness,S07,1,CLC,0.931,True
BOR,eye openness,S07,1,INT,0.791,True
BOR,eye openness,S08,1,BOR,0.421,True
BOR,eye openness,S08,1,CLC,0.882,True
BOR,eye openness,S08,1,INT,0.889,True
BOR,eye openness,R2-01,2,BOR,0.771792246124,True
BOR,eye openness,R2-01,2,CLC,0.907995241907,True
BOR,eye openness,R2-01,2,INT,0.862150533031,True
BOR,eye openness,R2-02,2,BOR,0.712359542105,True
BOR,eye openness,R2-02,2,CLC,0.908713257349,True
BOR,eye openness,R2-02,2,INT,0.916171521325,True
BOR,eye openness,R2-03,2,BOR,0.845229125743,True
BOR,eye openness,R2-03,2,CLC,0.889747449725,True
BOR,eye openness,R2-03,2,INT,0.904281075001,True
BOR,eye openness,R2-04,2,BOR,0.868846494918,True
BOR,eye openness,R2-04,2,CLC,0.901331333072,True
BOR,eye openness,R2-04,2,INT,0.874604602354,True
BOR,pupil dilation,S01,1,BOR,2.96459598529,True
BOR,pupil dilation,S01,1,CLC,3.21186217079,True
BOR,pupil dilation,S01,1,INT,2.88737145557,True
BOR,pupil dilation,S02,1,BOR,3.4959007483,True
BOR,pupil dilation,S02,1,CLC,3.62450116223,True
BOR,pupil dilation,S02,1,INT,3.59970275916,True
BOR,pupil dilation,S03,1,BOR,3.06636286403,True
BOR,pupil dilation,S03,1,CLC,3.0981248372,True
BOR,pupil dilation,S03,1,INT,3.56273225743,True
BOR,pupil dilation,S04,1,BOR,2.91097288492,True
BOR,pupil dilation,S04,1,CLC,3.34825748441,True
BOR,pupil dilation,S04,1,INT,3.13173740749,True
BOR,pupil dilation,S05,1,BOR,3.21932954417,True
BOR,pupil dilation,S05,1,CLC,3.22895257973,True
BOR,pupil dilation,S05,1,INT,3.32115745159,True
BOR,pupil dilation,S06,1,BOR,3.24475014203,True
BOR,pupil dilation,S06,1,CLC,3.42582329341,True
BOR,pupil dilation,S06,1,INT,3.57030055319,True
BOR,pupil dilation,S07,1,BOR,3.57928615005,True
BOR,pupil dilation,S07,1,CLC,3.76035407177,True
BOR,pupil dilation,S07,1,INT,2.65056949185,True
BOR,pupil dilation,S08,1,BOR,3.60642993124,True
BOR,pupil dilation,S08,1,CLC,3.96997314774,True
BOR,pupil dilation,S08,1,INT,3.9934400817,True
BOR,pupil dilation,R2-01,2,BOR,2.81828830717,True
BOR,pupil dilation,R2-01,2,CLC,2.77381764708,True
BOR,pupil dilation,R2-01,2,INT,3.07500326427,True
BOR,pupil dilation,R2-02,2,BOR,3.41066599642,True
BOR,pupil dilation,R2-02,2,CLC,3.99876456794,True
BOR,pupil dilation,R2-02,2,INT,3.30190168557,True
BOR,pupil dilation,R2-03,2,BOR,3.87969830931,True
BOR,pupil dilation,R2-03,2,CLC,3.82873240456,True
BOR,pupil dilation,R2-03,2,INT,4.13041139322,True
BOR,pupil dilation,R2-04,2,BOR,3.78077315469,True
BOR,pupil dilation,R2-04,2,CLC,3.8494977729,True
BOR,pupil dilation,R2-04,2,INT,3.97498126541,True
BOR,cognitive load,S01,1,BOR,0.571258327824,True
BOR,cognitive load,S01,1,CLC,0.599619768242,True
BOR,cognitive load,S01,1,INT,0.506990623727,True
BOR,cognitive load,S02,1,BOR,0.421736980959,True
BOR,cognitive load,S02,1,CLC,0.499066908689,True
BOR,cognitive load,S02,1,INT,0.471481480363,True
BOR,cognitive load,S03,1,BOR,0.520318721513,True
