source,relation,target,locus,note
rdr-07,defines,nature representation as multimodal construction,sec 3.3,nature built through visual/textual/auditory/kinesthetic cues via Elleström's four modalities
rdr-07,defines,spatial narrative / environmental storytelling,sec 3.1.1,privileges spatial exploration over plot; player deduces story from environmental clues
rdr-07,defines,nature as the uncontrolled,sec 2,adopts Öhman et al.'s fluid definition so gravity/fatigue/weather count as nature
rdr-07,defines,nature-as-safe-space,sec 5.5,nature recurrently a site where NPCs open up emotionally without disturbance
rdr-07,defines,wilderness vs civilization opposition,sec 3.2,wilderness=freedom/respite vs civilization=cramped/polluted/unequal
rdr-07,defines,Old West / New West frontier nostalgia,sec 3.2,nostalgic remembrance of simpler times; man-vs-nature as simplest conflict
rdr-07,defines,contextual exploitation,sec 5.3,killing for food is self-preservation; killing for trophy is exploitation
rdr-07,cites,Öhman Öhman & Sandell (2016),sec 2,exergames indoorisation collateral learning and fluid nature definition
rdr-07,cites,Saxton Brown (2014),sec 2,anthropocentrism of game-nature and the eco-conundrum
rdr-07,cites,Bainbridge (2010),sec 2,virtual environmentalism and conspicuous consumption transfer
rdr-07,cites,Truong Prévot & Clayton (2018),sec 2,biophilia and player landscape preference; escapism motive
rdr-07,cites,Denham & Spokes (2021),sec 2,cornerstone Lefebvrian spatial study of RDR2
rdr-07,cites,Carter (2014),sec 2,Western-genre development; nostalgia vs revisionist critique
rdr-07,cites,McVeigh (2007),sec 3.2,post-9/11 re-emergence of the Western via political anxiety
rdr-07,cites,Walsh (2016),sec 2,John Ford's mythic West and Monument Valley iconography
rdr-07,cites,McFarlane (2019),sec 2,nature in Westerns as beauty/doom/neutral; universality of themes
rdr-07,cites,Domsch (2019),sec 3.1.1,spatial-narrative taxonomy (evocative/embedded/cause-effect)
rdr-07,cites,Eide & Schubert (2021),sec 3.1,realism and adjusted-real-world landscapes across media
rdr-07,cites,Elleström (2021a),sec 3.3,four media modalities (material/spatiotemporal/sensorial/semiotic)
rdr-07,cites,Shinkle (2020),sec 3.1,sensory vs nonsensory realism distinction
rdr-07,cites,McMahon (2010),sec 5.4,revisionist degradation of horses in the Western
rdr-07,cites,Tompkins (1992),sec 5.4,horses as unseen symbolic labor; man-nature link
rdr-07,cites,Balakrishnan & Sundar (2011),sec 3.1,navigation aid and spatial presence
rdr-07,cites,Hassan (2020),sec 3.1,graphics quality and purchase decisions
rdr-07,cites,Lastowka & Ogino (2014),sec 4,screenshot use in scholarly publications (fair use)
rdr-07,extends,Denham & Spokes (2021),sec 2,drops empirical participants; reads game-text directly with fuller nature-culture attention
rdr-07,extends,Öhman Öhman & Sandell (2016),sec 2,applies exergame/collateral-learning lens to a console open-world that is not an exergame
rdr-07,contests,Saxton Brown (2014),sec 5.3,disputes blanket claim that hunting mechanics are exploitative; survival-hunting is natural
rdr-07,qualifies,Saxton Brown (2014),sec 5.3,concedes exploitation holds for purely cosmetic trophy hunting
rdr-07,concedes,Saxton Brown (2014),sec 5.6,grants that legendary-bear hunt exploits and reduces nature's mythical spirit
rdr-07,concedes,McMahon (2010),sec 6,admits horse section adopts only the revisionist viewpoint
rdr-07,extends-reading-of,RDR2 horses,sec 5.4,reads white-Arabian taming through McMahon/Tompkins as conquest/mastery
rdr-07,contests-reading-of,RDR2 hunting mechanic,sec 5.3,reframes methodical clean kill as potentially humane against exploitation-reading
rdr-07,shifts-debate-axis,nature-as-resource <-> nature-as-aesthetic/ecological,sec 6,reframes either/or into both/and-in-tension; net lean aesthetic/ecological
rdr-07,shifts-debate-axis,nostalgic-Western <-> revisionist-Western,sec 6,reads RDR2 as predominantly nostalgic/Romantic while registering revisionist currents
rdr-07,instances-in-text,New Austin vs Annesburg opposition,sec 5.1.1,gated Old West desert vs polluted New West coal town as authored commentary
rdr-07,instances-in-text,nature-as-safe-space,sec 5.5.2,fishing trips and campfires where Kieran/Javier/Hosea disclose pasts
rdr-07,instances-in-text,man-vs-nature struggle,sec 5.6,legendary Bharati bear as antagonized adversary; man-over-nature asymmetry
rdr-07,instances-in-text,conservation vs player-freedom tension,sec 5.3,bison mission condemns excess killing yet game never prohibits it
rdr-07,instances-in-text,autonomy of nature,sec 5.4,hawks fishing and birds on bison act independently of the player
rdr-07,treats-game-element,five states + Guarma (biomes),sec 5.1,real-US analog regions establishing nature-culture geography
rdr-07,treats-game-element,Annesburg coal town,sec 5.1.1,polluted water/dead fish/sickly population embody industrial cost
rdr-07,treats-game-element,hunting mechanic (binoculars/Eagle Eye/clean kill),sec 5.3,star-rating tracking and correct-caliber kill read as conservationist
