source,relation,target,locus,note
ped-sec-24,extends-reading-of,ped-sec-04,p.236,"Explicit empirical follow-up: surveys 53 of 117 HE respondents on which of the 5 learning benefits from ped-sec-04's own model occurred, and tests via MANOVA whether grounded-coded afforded-task categories (from Q116) predict specific benefit ratings (Q120) — operationalizing ped-sec-04's Figure 2 model rather than a third party's reading of it (FE, p.236)."
ped-sec-24,treats-construct,representational fidelity,"p.241, Table 1","Q120(a) 'assisted learners in developing familiarity with a place and the objects within it' (M=5.0, N=53) operationalizes ped-sec-04's Affordance 1 (FE)."
ped-sec-24,treats-construct,affect: enjoyment & intrinsic motivation,"p.241, Table 1","Q120(b) 'was motivating and engaging for learners' (M=5.9, the highest-rated benefit) operationalizes ped-sec-04's Affordance 3 (FE)."
ped-sec-24,treats-construct,engagement / flow,"p.241, 243","Motivation/engagement was one of only two benefits showing a significant MANOVA activity-category effect, F(1,40)=4.136, p=.049, driven by the 'instruction' category (FE, p.243)."
ped-sec-24,treats-construct,learning outcomes: retention & transfer,"p.241, Table 1","Q120(c) 'led to improved transfer of learning to real situations' (M=5.5) operationalizes ped-sec-04's Affordance 4 (FE)."
ped-sec-24,treats-construct,social presence / co-presence,"p.241, 243","Q120(d) 'led to more effective collaborative learning' (M=5.6) operationalizes ped-sec-04's Affordance 5; no significant MANOVA effect found for the hypothesized 'communication' activity-category link (FE, p.241, 243)."
ped-sec-24,treats-construct,learning outcomes: procedural / skills,"p.241, Table 1","Q120(e) 'allowed learners to learn through experience in context' (M=5.8, the single highest-rated benefit) operationalizes ped-sec-04's Affordance 2 (FE)."
ped-sec-24,tests-condition,desktop-3D / non-immersive VR,p.238-240,"Survey population used mixed 3D VLE platforms (chiefly Second Life-type multi-user worlds) in HE teaching; no IVR/HMD contrast attempted — a general 3D-VLE deployment context rather than a controlled media comparison (FE)."
ped-sec-24,bridges-to-vle,vle-01-deployment-survey,n/a,"(P/anticipatory-application) The educator-perception survey design (open-ended activity description + 7-point Likert outcome ratings) is a structural precedent for the VLE deployment survey's own self-report methodology, though ped-sec-24 surveys instructors, not students."
ped-sec-24,bridges-to-vle,vle-03-exemplar-bank,n/a,"(P/anticipatory-application) The 'communication'/'role-play' activity categories and their collaborative-learning benefit ratings echo the exemplar bank's own student-voiced desire for interactivity and shared engagement, though this unit surveys educators, not students — a perspective gap its own Discussion explicitly flags (Norman's perceived-affordance divergence)."
ped-sec-24,cites,"Dalgarno, Barney & Mark J.W. Lee (AUTHOR)","p.236, throughout","Self-citation to the authors' own 2009/2010 BJET affordances model, the paper's entire theoretical scaffold (FE)."
ped-sec-24,cites,"Clark, Richard E. (INTERLOCUTOR)",p.243,"Cited (as in ped-sec-04) for the media-vs-method confound argument against controlled 3D-VLE-vs-non-3D-VLE comparison designs (FAITHFUL-Dalgarno & Lee, p.243)."
ped-sec-24,cites,"Norman, Donald A. (INTERLOCUTOR)","p.237, 244","Source of the real/perceived affordance distinction adopted (as in ped-sec-04), invoked again in the Discussion to flag the educator/student perceived-affordance gap this study leaves unaddressed (FE)."
ped-sec-24,cites,"Corbin, Juliet M. & Anselm C. Strauss (INTERLOCUTOR)",p.239,"Source of the constant-comparison grounded-coding method used to derive the ten activity categories from Question 116 responses (FE, p.239)."
ped-sec-24,instances-in-text,ten grounded activity categories (THEME),p.239-240,"Place exploration, concept exploration, task practice, role-play, gaming, communication, slide show, building/scripting, instruction, machinima — non-mutually-exclusive, inductively coded from open-ended educator descriptions (FE, p.239-240)."
ped-sec-24,instances-in-text,MANOVA null-result pattern (READING/CLAIM),p.242-243,"11 activity categories x 5 benefit ratings; significant main effect for only 2 of 5 benefits (place/object familiarity; motivation/engagement), both driven by the 'instruction' category scoring higher; no significant effects for place exploration, task practice, role-play, or communication despite the authors' a priori hypothesized links (FE, p.242-243)."
ped-sec-24,qualifies,ped-sec-04,p.243-244,"Dalgarno & Lee's own follow-up qualifies rather than confirms their 2009/2010 model: educators strongly endorsed all five benefits regardless of activity type, and the authors themselves propose this may reflect 'enthusiasm and positive attitude... more... than an evidence-based assessment' rather than genuine task-specific differentiation (FE, p.243-244) — a self-authored caution about their own theory's evidentiary strength."
ped-sec-24,defines,afforded learning task (TERM),p.237,"Distinguished from 'learning benefit': what is 'afforded' is the task the technology is perceived as being useable for (after Norman 1999), not the outcome/benefit itself, treated as downstream of task performance (FAITHFUL-Dalgarno & Lee, p.237)."
ped-sec-24,bridges-to-part-iii,Part III dissertation (task-type vs. self-reported-benefit dissociation),p.242-244,"(P/anticipatory-application) This unit's central finding — that educators report strong benefits regardless of activity/task design, with almost no task-specific differentiation — cautions against inferring activity/condition differences from self-reported outcome measures alone; enthusiast/positive-response bias should be considered as a rival explanation in Part III's own survey analysis."
