rcode	item	term	src	bin	evidence_p1
S25-R001	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	collaborative surgeries
S25-R002	Q10	S25	E-SHA	HYPOTHETICAL-USECASE	interactive place for group communications
S25-R002	Q6	S25	E-SHA+KW	COURSE-SOCIAL	more collaboration, such as class discussions
S25-R003	Q5	S25	E-SHA	COURSE-SOCIAL	class discussions and group projects helpful
S25-R009	Q6	S25	KW	COURSE-SOCIAL	the discord should not have been used
S25-R010	Q5	S25	KW	COURSE-SOCIAL	communicated with through different platforms: Discord
S25-R012	Q5	S25	E-SHA	COURSE-SOCIAL	Studying with my team
S25-R013	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	a virtual space where groups can meet up rather than zoom lectures
S25-R016	Q10	S25	E-SHA	HYPOTHETICAL-USECASE	still have communication with others
S25-R020	Q10	S25	E-SHA	HYPOTHETICAL-USECASE	group settings may be doing to much
S25-R024	Q10	S25	E-SHA+KW	NON-ACTIVATOR	difficult to get group members to meet up at one time
S25-R026	Q5	S25	KW	COURSE-SOCIAL	forced meeting with your group
S25-R029	Q6	S25	KW	COURSE-SOCIAL	better if there was more group work
S25-R030	Q10	S25	E-SHA+KW	NON-ACTIVATOR	My group and I communicated through discord
S25-R031	Q9	S25	KW	NOT-WE	grouped together
S25-R033	Q10	S25	E-SHA	HYPOTHETICAL-USECASE	students use real vr headsets around eachother
S25-R036	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	meeting teammate sounds so so cool
S25-R037	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	liked the idea of using the VR platform to do collaborative work
S25-R038	Q9	S25	E-SHA+KW	OPTATIVE-CAPABILITY	avatar feature that allows users to comment and interact with peers
S25-R039	Q10	S25	KW	HYPOTHETICAL-USECASE	meeting up in virtual spaces doesn't make much sense
S25-R040	Q10	S25	E-SHA+KW	OPTATIVE-MANDATE	remote teamwork VR space weekly meetings
S25-R041	Q6	S25	KW	COURSE-SOCIAL	very poor communication and one-sided
S25-R042	Q5	S25	KW	COURSE-SOCIAL	group work was very helpful
S25-R047	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	having discussions in a virtual space
S25-R053	Q6	S25	KW	COURSE-SOCIAL	hard to get in contact with other classmates
S25-R055	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	virtual space to work on group projects together
S25-R057	Q10	S25	KW	HYPOTHETICAL-USECASE	collaborative learning through shared virtual spaces
S25-R057	Q9	S25	E-SHA+KW	OPTATIVE-CAPABILITY	incorporating multi-user collaboration features
S25-R062	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	virtual classroom idea with avatars
S25-R062	Q5	S25	KW	COURSE-SOCIAL	group work was the most useful
S25-R068	Q10	S25	E-SHA+KW	HYPOTHETICAL-USECASE	Meeting up with professionals around the world but in VR
S25-R068	Q5	S25	KW	COURSE-SOCIAL	meeting up with the professor in office hours
S25-R069	Q5	S25	KW	COURSE-SOCIAL	meeting with the professor ... through zoom
S25-R072	Q10	S25	KW	NON-ACTIVATOR	my group utilized discord a lot
S25-R072	Q6	S25	KW	COURSE-SOCIAL	struggle getting in contact with my team
S25-R074	Q10	S25	E-SHA+KW	OPTATIVE-CAPABILITY	meeting avatars for effective group work would be great for this class
S25-R074	Q6	S25	KW	COURSE-SOCIAL	my group was slow at replying
S25-R078	Q10	S25	KW	HYPOTHETICAL-USECASE	classroom with avatars to interact
S25-R078	Q5	S25	KW	COURSE-SOCIAL	opportunity to work in groups
S25-R079	Q10	S25	KW	HYPOTHETICAL-USECASE	team challenge setup where class groups compete
S25-R079	Q6	S25	KW	COURSE-SOCIAL	hard to meet classmates in an online class
W25-R001	Q10	W25	KW	HYPOTHETICAL-USECASE	all my classmates are also in the same game
W25-R004	Q10	W25	E-SHA	NON-ACTIVATOR	would have possibly been able to learn more working on the VR platform ... with a group
W25-R004	Q6	W25	KW	COURSE-SOCIAL	brainstorm ideas with their group
W25-R005	Q6	W25	KW	COURSE-SOCIAL	more collaborative assignments
W25-R011	Q10	W25	KW	HYPOTHETICAL-USECASE	used for online group meetings
W25-R014	Q10	W25	KW	NON-ACTIVATOR	I didn't actually experience it
W25-R017	Q10	W25	KW	HYPOTHETICAL-USECASE	virtual meet ups with groups
W25-R024	Q5	W25	KW	COURSE-SOCIAL	most useful was the discord
W25-R025	Q10	W25	E-SHA+KW	OPTATIVE-CAPABILITY	cool to have avatars and work in virtual space groups
W25-R028	Q10	W25	E-SHA	OPTATIVE-CAPABILITY	some sort of way for multiple people to watch a vr video
W25-R029	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	engaging with a group together on the platform
W25-R030	Q10	W25	KW	HYPOTHETICAL-USECASE	meeting virtually with avatars
W25-R030	Q5	W25	E-SHA	COURSE-SOCIAL	group project allowed for in depth discussions
W25-R031	Q10	W25	KW	HYPOTHETICAL-USECASE	meet in a virtual space would be helpful
W25-R032	Q10	W25	KW	NON-ACTIVATOR	my group already doesnt communicate
W25-R035	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	a group can work together to dissect/do surgery
W25-R036	Q5	W25	KW	COURSE-SOCIAL	responsiveness in the discord
W25-R038	Q10	W25	KW	NON-ACTIVATOR	when I did log in, I was usually alone in the platform
W25-R040	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	Have groups attend together
W25-R051	Q10	W25	KW	HYPOTHETICAL-USECASE	meeting even if it is virtually in a vr setting
W25-R053	Q10	W25	E-SHA	NON-ACTIVATOR	just watching the VR by ourselves
W25-R056	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	increasing community and interactability between classmates
W25-R057	Q10	W25	KW	HYPOTHETICAL-USECASE	avatars for standard lectures provide marginal improvement
W25-R058	Q10	W25	KW	HYPOTHETICAL-USECASE	requires everyone in the group to attend together
W25-R060	Q10	W25	E-SHA+KW	OPTATIVE-MANDATE	times are set by each group to enter the VR program
W25-R061	Q5	W25	KW	COURSE-SOCIAL	discord being very active was the most useful
W25-R066	Q10	W25	KW	HYPOTHETICAL-USECASE	for a group to work on virtually
W25-R068	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	online meeting spaces, in place of the traditional video call
W25-R068	Q6	W25	KW	NOT-WE	alone
W25-R069	Q10	W25	E-SHA+KW	NON-ACTIVATOR	Meeting with our groups would have been a great use of the VR platform
W25-R070	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	breakout rooms would be used in zoom would be a good time to apply the VR platform
W25-R071	Q9	W25	E-SHA	OPTATIVE-CAPABILITY	if there was a way to interact with other users
W25-R072	Q10	W25	E-SHA	HYPOTHETICAL-USECASE	virtual learning environment where everyone meets
W25-R073	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	everyone can meet with the instructor or their peers
W25-R073	Q6	W25	KW	COURSE-SOCIAL	benefit from one meeting a week
W25-R074	Q5	W25	KW	COURSE-SOCIAL	The Discord was useful for getting any questions asked
W25-R076	Q9	W25	KW	NOT-WE	peers
W25-R079	Q10	W25	KW	HYPOTHETICAL-USECASE	virtual classroom for classes that do not necessarily need an in-person meeting
W25-R079	Q9	W25	E-SHA	OPTATIVE-CAPABILITY	teams could share notes within the VR space
W25-R089	Q6	W25	E-SHA+KW	NON-ACTIVATOR	it just seemed isolating
W25-R090	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	meet up in groups for more effective remote teamwork
W25-R094	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	meet in virtual classrooms and work on projects together
W25-R097	Q6	W25	E-SHA	COURSE-SOCIAL	interact more with the class
W25-R097	Q9	W25	E-SHA+KW	OPTATIVE-CAPABILITY	more multiuser and collaborative features
W25-R098	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	virtual space to meet up for groups is helpful
W25-R098	Q9	W25	KW	NOT-WE	avatar
W25-R102	Q10	W25	E-SHA+KW	HYPOTHETICAL-USECASE	can enhances social presence and engagement
W26-R001	Q10	W26	E-SHA	HYPOTHETICAL-USECASE	a virtual group will be nice
W26-R006	Q10	W26	KW	HYPOTHETICAL-USECASE	collaborate in a shared virtual environment
W26-R008	Q10	W26	KW	NON-ACTIVATOR	I didn't use the VR program
W26-R016	Q10	W26	KW	HYPOTHETICAL-USECASE	a VR room for virtual group work is a start
W26-R021	Q10	W26	E-SHA+KW	HYPOTHETICAL-USECASE	Interactive online environments for teamwork would be helpful
W26-R023	Q10	W26	E-SHA	HYPOTHETICAL-USECASE	used during teamwork projects
W26-R034	Q10	W26	KW	NOT-WE	work together
W26-R036	Q6	W26	E-SHA+KW	COURSE-SOCIAL	hard time connecting with my group
W26-R037	Q10	W26	E-SHA+KW	ACTIVATOR	The main pro to the platform is you can watch with others
W26-R038	Q10	W26	E-SHA+KW	OPTATIVE-CAPABILITY	for there to be a virtual space where we could meet up with our group members
W26-R044	Q5	W26	KW	NOT-WE	discord
W26-R045	Q5	W26	E-SHA	COURSE-SOCIAL	teamwork
W26-R046	Q10	W26	E-SHA+KW	OPTATIVE-CAPABILITY	great if the virtual space could meet up in groups
W26-R049	Q10	W26	E-SHA	HYPOTHETICAL-USECASE	student conversation in large groups is useful
W26-R051	Q10	W26	E-SHA	NOT-WE	interact
W26-R052	Q10	W26	E-SHA+KW	HYPOTHETICAL-USECASE	students to work together in virtual spaces
W26-R052	Q9	W26	E-SHA+KW	OPTATIVE-MANDATE	a required group meetup within the VR simulation
W26-R053	Q10	W26	E-SHA+KW	HYPOTHETICAL-USECASE	group collaboration in virtual lab or case-study environments
W26-R056	Q10	W26	E-SHA	HYPOTHETICAL-USECASE	A virtual space for group meetings would be very useful
