source,relation,target,locus,note
bor-sec-22,defines,Boredom Feedback Model (BFM),~p.251-256,"The paper's central theoretical contribution: a componential feedback loop centered on attention shifts instigated by inadequate attentional engagement (IAE), defined as the discrepancy between actual and subjectively desired levels of attentional engagement (FAITHFUL-Tam et al., ~p.251-256)."
bor-sec-22,treats-construct,situational vs. trait/state boredom,~p.251,"Adopted as the paper's organizing distinction: 'This review focuses on boredom as a transient affective state,' with trait boredom (boredom proneness) reserved for separate treatment (FAITHFUL-Tam et al., p.251)."
bor-sec-22,treats-construct,boredom proneness,~p.264-265,"Independently theorized in 'Implications for Chronic Boredom'; bifurcated into trait-like attentional weakness vs. malleable non-trait 'long-term factors' (FAITHFUL-Tam et al., p.264-265)."
bor-sec-22,treats-construct,mind-wandering / task-unrelated thought,~p.256,"Named as one of three attention-shift routes ('turn inward, e.g., mind-wandering, self-reflection'); independently linked to boredom proneness (positive) and flow proneness (negative) (FAITHFUL-Tam et al., p.256, 264)."
bor-sec-22,treats-construct,attentional disengagement / meta-awareness,~p.256,"Conceptual core of BFM: IAE operationalized via dorsal attention network (DAN) vs. default mode network (DMN) activity, or via dual-task performance cost (FAITHFUL-Tam et al., p.256)."
bor-sec-22,treats-construct,boredom-as-regulatory-signal (functional account),~p.263,"BFM positioned as consistent with and complementary to functional accounts; boredom 'serves a vital function of prompting individuals to direct their attention to... something that is of value' (FAITHFUL-Tam et al., p.263)."
bor-sec-22,treats-construct,flow / engagement (contrast pole),~p.256,"'Humans desire to be optimally engaged' is the paper's foundational premise; flow proneness appears as a negative boredom-proneness correlate (FAITHFUL-Tam et al., p.256, citing Harris 2000 at p.264)."
bor-sec-22,treats-construct,monotony / meaninglessness,~p.258-259,"Both treated as cognitive-appraisal antecedents of IAE, each independently lowering 'intention to attend' (repetition/O'Hanlon 1981, Daschmann et al. 2011; meaninglessness/Fahlman et al. 2009, Van Tilburg & Igou) (FAITHFUL-Tam et al., p.258-259)."
bor-sec-22,treats-construct,temporality of boredom (time-drag),~p.259-260,"Listed among boredom's characteristic experiential features ('time passing slowly,' citing London & Monello 1974, Martin et al. 2006); not developed into an independent mechanism (FE)."
bor-sec-22,operationalizes-measure,self-report / survey scale,~p.255-256,"Multidimensional State Boredom Scale (Fahlman et al., 2013); Boredom Proneness Scale (Farmer & Sundberg, 1986); pre/post-block self-report ratings (Hunter & Eastwood, 2016) (FAITHFUL-Tam et al., p.255-256)."
bor-sec-22,operationalizes-measure,behavioral (RT / errors / performance-monitoring),~p.256,"Dual-task inference (RT slowing, error-rate increase) as behavioral index of attentional engagement; SART attentional errors correlated with self-reported boredom (Hunter & Eastwood, 2016) (FAITHFUL-Tam et al., p.256, 261)."
bor-sec-22,operationalizes-measure,heart rate / HRV,~p.255-256,"Rising heart rate and falling skin conductance reported as psychophysiological correlates of boredom, inverse of the engaged-attention profile (Merrifield & Danckert, 2014) (FAITHFUL-Tam et al., p.255-256)."
bor-sec-22,operationalizes-measure,general neuroimaging (fMRI DAN/DMN/anterior-insula) [unlisted sub-type],~p.255-257,"Danckert & Merrifield's (2018) four-condition fMRI study: anticorrelated DMN/anterior-insula activity common to boredom and sustained-attention conditions, distinct from the interest-mood condition; not an EEG-specific measure named anywhere in this source (FAITHFUL-Tam et al., p.255-257)."
bor-sec-22,cites,"Eastwood, John D., Frischen, A., Fenske, M.J., & Smilek, D. (2012) -- The Unengaged Mind",~p.251-253,"Foundational premise BFM builds on directly: boredom as 'aversive state of wanting but being unable to engage in satisfying activity' (Eastwood et al., 2012, p.484, quoted at ~p.252) (FAITHFUL-Tam et al.)."
bor-sec-22,extends,"Eastwood, John D., & Gorelik, D. (2019) -- Unused Cognitive Potential (UCP) model",~p.253,"BFM extends UCP's 'desire bind'/'unoccupied mind' framing and its bridge between attentional and functional theories into a full process/feedback-loop account (FAITHFUL-Tam et al., p.253, 256)."
bor-sec-22,contests-reading-of,"Westgate, Erin C., & Wilson, Timothy D. (2018) -- Meaning and Attentional Components (MAC) model",~p.263-264,"Contests MAC's claim that attention and meaning are orthogonal predictors permitting 'meaningless boredom' under full engagement; BFM argues meaning is a precursor to IAE, not an independent axis, and questions MAC's operationalization of 'attention' as mind-wandering tendency rather than task-related sustained attention (FAITHFUL-Tam et al., p.263-264)."
bor-sec-22,cites,"Bench, Shane W., & Lench, Heather C. (2013)",~p.253,"Boredom as both signal and driving force for pursuit of alternative goals; functional account BFM aligns with (FE)."
bor-sec-22,cites,"Elpidorou, Andreas (2014) -- The Bright Side of Boredom",~p.253,"Cited alongside Elpidorou (2018a) as consistent theorizing on boredom's motivating, regulatory function (FE)."
bor-sec-22,cites-cluster-author,"Elpidorou, Andreas (2018a) -- The Bored Mind Is a Guiding Mind: Toward a Regulatory Theory of Boredom",~p.253-254,"BFM explicitly positions itself as consistent with Elpidorou's (2018a) regulatory meta-model; 'this places boredom in the role of potentially facilitating personal growth' (FAITHFUL-Tam et al., p.253-254). Same-cluster unit bor-sec-25 (Strand C); direct citation match, not a speculative link."
bor-sec-22,cites-cluster-author,"Elpidorou, Andreas (2018b) -- The Good of Boredom",~p.264,"Cited as consistent with BFM's chronic-boredom account: 'boredom proneness may be a dysfunction of state boredom' (FAITHFUL-Tam et al., p.264). Same-cluster unit bor-sec-26 (Strand C); direct citation match, not a speculative link."
bor-sec-22,extends,"Pekrun, Reinhard (2006) -- Control-Value Theory of Achievement Emotions",~p.255/266,"BFM is 'in line with' control-value theory's value/control appraisal account of academic boredom and 'further incorporates appraisal into the attentional mechanism' (FAITHFUL-Tam et al., p.266)."
bor-sec-22,cites,"Smith, Craig A., & Ellsworth, Phoebe C. (1985)",~p.254-255,"Earliest cognitive-appraisal profile of boredom: comparatively low perceived control/responsibility, low uncertainty, low effort, low attention relative to other emotions (FAITHFUL-Tam et al., p.254-255)."
bor-sec-22,cites,"Fisher, Cynthia D. (1993)",~p.257,"Three-cause taxonomy of workplace boredom (external, internal, interaction of both); BFM's five-factor antecedent model extends this taxonomy (FAITHFUL-Tam et al., p.257)."
bor-sec-22,cites,"Leary, Mark R., Rogers, P.A., & Canfield, R.W. (1986)",~p.252,"Early attentional account: boredom as 'affective consequence of effortful maintenance of attention to a particular stimulus event' (p.968, quoted at ~p.252) (FAITHFUL-Tam et al.)."
bor-sec-22,cites,"Danckert, James, & Merrifield, Colleen (2018)",~p.255-257,"fMRI study establishing anticorrelated DMN/anterior-insula activity as a shared signature of boredom-induction and sustained-attention conditions (FAITHFUL-Tam et al., p.255-257)."
bor-sec-22,cites,"Hunter, Amara, & Eastwood, John D. (2016)",~p.255-256/261,"SART study linking attentional errors to self-reported boredom before/after each task block, cited twice as convergent evidence for IAE and for the feedback loop's dynamic nature (FAITHFUL-Tam et al., p.255-256, 261)."
