source,target,relation,domain,weight,works,units,evidence
ousia,to_on,is_meaning_of,ontological,0.95,"Met","META-03,META-04,META-05","Substance is the primary sense of being; 'what is being?' = 'what is substance?' (Gamma.2 1003a33; Z.1 1028a10)"
ousia,to_ti_en_einai,depends_on,ontological,0.90,"Met","META-05,META-06","Substance is specified by essence; essence belongs primarily to substance (Z.iv 1029b14)"
to_ti_en_einai,ousia,refines,ontological,0.90,"Met","META-06","Each primary thing is identical with its essence (Z.vi 1031b20)"
eidos,ousia,is_meaning_of,ontological,0.95,"Met,DA","META-06,META-09,DA-02","Form is substance in the primary sense (Met Z.xvii 1041b25); soul is substance as form (DA 412a6-9)"
hyle,eidos,presupposes,ontological,0.90,"Met,Phys,DA","META-06,META-07,PHYS-01,DA-02","Matter is the capacity for receiving form; body is matter to soul's form (Met Z.vii; DA 412a6-10)"
hyle,dynamis,operationalizes,ontological,0.85,"Met,Phys","META-07,META-09,PHYS-03","Matter just is potentiality in the domain of substance (Lambda.2 1069b3; Phys III)"
energeia,dynamis,contrasts_with,ontological,0.95,"Met,Phys,DA,SS","META-07,PHYS-02,DA-02,SS-01","Actuality prior to potentiality (Theta.8); sense is potentially what the sensible is actually (DA 425b26); threshold distinction (SS 446a20)"
energeia,kinesis,contrasts_with,ontological,0.90,"Met,Phys","META-07,PHYS-03","Complete actualities vs. incomplete movements: tense test (Theta.6 1048b18); motion as energeia ateles (Phys 201b31)"
energeia,telos,depends_on,teleological,0.85,"Met,Phys","META-07,PHYS-02","Actuality is the end; potentiality acquired for its sake (Theta.8 1050a7; Phys II nature acts for an end)"
energeia,metaphora,refines,rhetorical,0.95,"Rhet","RHET-06","Energeia specifies how metaphor achieves highest effect: conveying activity and life (1411b25-1412a10)"
synolon,eidos,depends_on,ontological,0.85,"Met","META-06,META-07","The composite depends on form as determining principle (Z.viii 1033b)"
synolon,hyle,depends_on,ontological,0.85,"Met","META-06,META-07","The composite depends on matter as substrate; all generated things have matter (Z.vii)"
to_on_hei_on,ousia,depends_on,ontological,0.95,"Met","META-03,META-05","Being qua being depends on substance via focal meaning (Gamma.2 1003a33-b19)"
pros_hen,ousia,operationalizes,methodological,0.85,"Met","META-03","Focal meaning shows how all senses of being refer to substance (Gamma.2 1003a33-b5)"
PNC,to_on_hei_on,presupposes,logical,0.90,"Met","META-03,META-08","PNC belongs to the science of being qua being (Gamma.3 1005a19-b34)"
unmoved_mover,energeia,is_meaning_of,ontological,0.95,"Met,Phys","META-09,PHYS-08","The unmoved mover's substance is pure actuality (Lambda.6 1071b20); first mover without magnitude (Phys 267b25)"
unmoved_mover,kinesis,explains,ontological,0.90,"Met,Phys","META-09,PHYS-08","Eternal movement requires eternal actual cause (Lambda.6 1071b4; Phys VIII.6 258b11)"
unmoved_mover,orexis,operationalizes,teleological,0.85,"Met,DA,MA","META-09,DA-04,MA-01","Moves by being loved/desired (Lambda.7 1072a26); the good is unmoved mover of action (DA 433a27; MA 700b25)"
unmoved_mover,hyle,contrasts_with,ontological,0.85,"Met","META-09","Must be without matter: eternal and purely actual (Lambda.6 1071b20-22)"
noesis,unmoved_mover,is_meaning_of,ontological,0.90,"Met","META-09","God's actuality is thought thinking itself (Lambda.9 1074b34)"
kinesis,chronos,presupposes,temporal,0.80,"Met,Phys,Mem","META-09,PHYS-04,MEM-01","Time = number of motion (Phys 219b1); eternal motion requires eternal time (Lambda.6); memory implies lapse of time (Mem 449b28)"
phusis,kinesis,is_principle_of,natural_philosophy,1.0,"Phys","PHYS-02,PHYS-03","Nature = internal principle of being moved and being at rest (192b20-23)"
eidos,phusis,is_meaning_of,ontological,0.95,"Phys","PHYS-02","Form is nature more properly than matter; actuality prior to potentiality (193b6-8)"
hyle,phusis,is_meaning_of,ontological,0.85,"Phys","PHYS-02","Matter is the first account of nature: primary underlying substrate (193a28-30)"
eidos,hyle,is_prior_to,ontological,0.95,"Phys,Met,DA","PHYS-01,META-06,DA-02","Form prior because actuality prior to potentiality (Phys 193b6; Met Z.xvii; DA soul as form)"
steresis,eidos,contrasts_with,ontological,0.90,"Phys,Met","PHYS-01,META-09","Privation is contrary of form; change proceeds from privation to form (Phys 190a10; Met Lambda.2)"
kinesis,entelecheia,defined_by,metaphysical,1.0,"Phys","PHYS-03","Motion = fulfilment of what is potentially as such (201a10-11)"
kinesis,dynamis,defined_by,metaphysical,1.0,"Phys","PHYS-03","Motion is the actuality of the potential qua potential (201a10-11)"
chronos,kinesis,depends_on,ontological,1.0,"Phys,Mem","PHYS-04,PHYS-08,MEM-01","Time = number of motion (219b1-2); memory implies time; recollection involves perception of time as magnitude (Mem 452b7)"
chronos,to_nun,operationalized_by,structural,1.0,"Phys","PHYS-04","The now makes time continuous and divisible (220a5)"
chronos,psyche,depends_on,ontological,0.80,"Phys,Mem","PHYS-04,MEM-01","Time qua numbered requires a counter/soul (223a21-26); memory belongs to primary perceptive faculty (Mem 450a12)"
topos,phora,enables,physical,0.90,"Phys","PHYS-04,PHYS-08","Natural places ground natural locomotion; elements carried to proper places"
techne,phusis,contrasts_with,natural_philosophy,0.90,"Phys,Met","PHYS-02,META-01","Art: principle in maker; nature: principle in thing itself (Phys 192b28; Met Z.vii form in soul of maker)"
aition,phusis,explains,causal,1.0,"Phys,Met","PHYS-02,META-01","Four causes structure explanation (Phys 194b16; Met A.3 983a24)"
telos,aition,is_species_of,causal,0.95,"Phys,Met,DA","PHYS-02,META-01,DA-02","Final cause is one of the four causes; soul is final cause of body (DA 415b16)"
phusis,telos,operates_through,teleological,0.95,"Phys","PHYS-02","Nature is a cause that operates for a purpose (199b32-33)"
prime_mover,kinesis,explains,cosmological,1.0,"Phys,Met","PHYS-08,META-09","The first mover grounds the eternity of motion (Phys 258b11; Met Lambda.6)"
prime_mover,circular_motion,causes,cosmological,0.95,"Phys,Met","PHYS-08,META-09","Unmoved mover causes continuous circular motion (Phys 267a21; Met Lambda 1071b10)"
ousia,phusis,is_subject_of,ontological,0.85,"Phys,Met","PHYS-02,META-04","Nature is always in a substance (Phys 192b33); nature in primary sense IS substance (Met Delta.4)"
rhetorike,dialektike,counterpart_of,methodological,1.0,"Rhet","RHET-01","Rhetoric is the antistrophos of dialectic (1354a1)"
rhetorike,pistis,depends_on,rhetorical,1.0,"Rhet","RHET-01","Rhetoric = faculty of observing available means of persuasion (1355b25-26)"
rhetorike,techne,species_of,methodological,0.90,"Rhet","RHET-01,RHET-05","Rhetoric is a genuine techne; yet art must conceal itself (1355b25; 1404b18)"
pistis,ethos,has_component,proof-structure,1.0,"Rhet","RHET-01,RHET-03","Ethos is the first technical pistis (1356a1-13)"
pistis,pathos,has_component,proof-structure,1.0,"Rhet","RHET-01,RHET-03","Pathos is the second technical pistis (1356a14-19)"
pistis,logos,has_component,proof-structure,1.0,"Rhet","RHET-01,RHET-04","Logos is the third technical pistis (1356a19-20)"
enthymema,pistis,operationalizes,rhetorical,1.0,"Rhet","RHET-01,RHET-04","The enthymeme is the body of persuasion (1355a5-8)"
enthymema,syllogismos,species_of,logical,0.95,"Rhet","RHET-01","The enthymeme is a sort of deduction (1355a8)"
pathos,pistis,operationalizes,rhetorical,1.0,"Rhet","RHET-01,RHET-03","Putting hearers into right emotional state is means of persuasion (1377b25)"
ethos,phronesis,has_component,proof-structure,0.90,"Rhet","RHET-03","Good sense is first source of character-trust (1378a5)"
lexis,sapheneia,depends_on,stylistic,1.0,"Rhet","RHET-05","Clarity is the constitutive condition of good style (1404b1-3)"
lexis,metaphora,depends_on,stylistic,1.0,"Rhet","RHET-05","Metaphor gives clearness charm and distinction as nothing else can (1405a8-9)"
metaphora,aisthesis,presupposes,psychological,0.90,"Rhet","RHET-05","Materials of metaphor must be beautiful to ear understanding eye (1405b18-20)"
