subject,round,category,engaged_composite,boredom,engagement
R2-02,2,divergent,0.34851531695,8,4
S02,1,divergent,0.336136370903,8,3
S04,1,divergent,0.87582140057,9,1
S07,1,divergent,0.650711717716,6,7
S08,1,divergent,0.565121163355,7,3
R2-04,2,concordant-engaged,0.140807801303,2,3
S01,1,concordant-engaged,1.00387472118,3,5
S03,1,concordant-engaged,0.528704607211,3,7
R2-01,2,concordant-bored,-0.286395886432,6,4
S05,1,concordant-bored,-0.215992353647,6,5
S06,1,concordant-bored,-0.0811659124198,6,3
R2-03,2,reverse,-0.510464198976,1,8
