subject,stimulus,round,engaged_composite,boredom,engagement,category,highlighted
R2-01,BOR,2,-0.955708900606,8,2,concordant-bored,False
R2-02,BOR,2,-1.15224362287,9,1,concordant-bored,False
R2-03,BOR,2,-1.14230070554,3,6,reverse,False
R2-04,BOR,2,-0.962952869016,7,1,concordant-bored,False
S01,BOR,1,-1.04957977453,6,3,concordant-bored,False
S02,BOR,1,-0.455648208987,9,2,concordant-bored,False
S03,BOR,1,-0.795697637977,9,1,concordant-bored,False
S04,BOR,1,-0.452415184175,1,7,reverse,False
S05,BOR,1,-0.377394194106,9,2,concordant-bored,False
S06,BOR,1,-0.791319406952,4,5,reverse,False
S07,BOR,1,-0.941717593957,9,2,concordant-bored,False
S08,BOR,1,-1.08825263793,9,1,concordant-bored,False
R2-01,CLC,2,0.295794992633,6,4,divergent,True
R2-02,CLC,2,0.587909135954,8,4,divergent,True
R2-03,CLC,2,0.576356184451,1,8,concordant-engaged,True
R2-04,CLC,2,0.649480274681,2,3,concordant-engaged,True
S01,CLC,1,0.774808700231,3,5,concordant-engaged,True
S02,CLC,1,-0.689703824867,8,3,concordant-bored,True
S03,CLC,1,0.319203124083,3,7,concordant-engaged,True
S04,CLC,1,-0.243594276207,9,1,concordant-bored,True
S05,CLC,1,-0.264750418808,6,5,concordant-bored,True
S06,CLC,1,0.121369627746,6,3,divergent,True
S07,CLC,1,0.986476156338,6,7,divergent,True
S08,CLC,1,0.7695059262,7,3,divergent,True
R2-01,INT,2,0.659913907974,3,6,concordant-engaged,False
R2-02,INT,2,0.564334486916,7,6,divergent,False
R2-03,INT,2,0.565944521087,2,8,concordant-engaged,False
R2-04,INT,2,0.313472594335,3,7,concordant-engaged,False
S01,INT,1,0.274771074299,2,7,concordant-engaged,False
S02,INT,1,1.14535203385,3,6,concordant-engaged,False
S03,INT,1,0.476494513894,3,7,concordant-engaged,False
S04,INT,1,0.696009460382,3,7,concordant-engaged,False
S05,INT,1,0.642144612914,5,4,divergent,False
S06,INT,1,0.669949779206,8,2,divergent,False
S07,INT,1,-0.0447585623811,7,6,concordant-bored,False
S08,INT,1,0.318746711727,5,4,divergent,False
