source_id,relation,target_id,domain,evidence_page,contributor,note
US-03-RADCLIFFE-thesis,defines,hostile-environment,affect-theory,87,Gross,Titular concept stated in opening paragraph
US-03-RADCLIFFE-thesis,cites,Lewis-The-Monk-1796-Antonia-undone,literary-history,87,Gross,Opening citation of Antonia's 'undone' fragment
US-03-RADCLIFFE-thesis,instances-in-text,Gothic-sentimental-subgenre,literary-history,87,Gross,Walpole-Monk-Radcliffe genealogy
hostile-environment,extends,Gibsonian-affordance,philosophy-of-perception,87,Gross,Core extension claim
negative-affordance-rhetorical,extends,Gibsonian-affordance,philosophy-of-perception,87,Gross,Negative-affordance as rhetorical extension
US-03-RADCLIFFE-S1,contests,Literary-Darwinism-Boyd,literary-theory,88,Gross,Boyd's kin-selection-to-Sopranos leap
US-03-RADCLIFFE-S1,contests,CAL-Zunshine-ToM,literary-theory,89,Gross,Zunshine's Turgenev-skipping anecdote
US-03-RADCLIFFE-S1,defines,affirming-the-consequent-fallacy,logic,91,Gross,Formal-fallacy diagnosis of Boyd's argument
US-03-RADCLIFFE-S1,defines,undistributed-middle-fallacy,logic,96,Gross,Second formal-fallacy diagnosis
US-03-RADCLIFFE-S1,defines,six-red-flags-of-bio-literary-criticism,literary-theory,93,Gross,Pleistocene/evolved-mind/consilience/modularity/neuron/plasticity
US-03-RADCLIFFE-S1,concedes,Scarry-Dreaming-by-the-Book,literary-theory,90,Gross,Scarry as the unassimilated good case of Gibson-humanities bridge
Scarry-narrative-imitates-cognition,cites,Gibson-kinetic-occlusion,philosophy-of-perception,90,Gross,Tess of the d'Urbervilles walker's legs reading
US-03-RADCLIFFE-S1,bridges-to-pipeline,Lakoff-embodied-cognition,cognitive-linguistics,91,Gross,Cultural variability of anger as emotional affordance
US-03-RADCLIFFE-S1,contests,Pinker-savanna-aesthetics,evolutionary-psychology,110,Gross,Geometry-of-beauty list as association-fallacy
US-03-RADCLIFFE-S1,contests,Dutton-Art-Instinct,evolutionary-psychology,110,Gross,Climbable-tree Pleistocene predator-escape
US-03-RADCLIFFE-S2,defines,Scarantino-affordance-taxonomy,philosophy-of-science,102,Gross,Symmetric threat-promise definition
Scarantino-affordance,extends,Gibsonian-affordance,philosophy-of-science,102,Gross,Four-fold taxonomy
US-03-RADCLIFFE-S2,cites,Aristotle-Rhetoric-1384b32-35-Cydias,classical-rhetoric,102,Gross,Tribunal-of-conscience as archetypal negative affordance
